"fimD",-2.7,-1.9,-1.7,-1.1,-1.2,-1.6,-3.4,-2
"yjaB",-1.2,-1.1,1.1,1.5,-1.1,-1.2,-1.9,-1.5
"rdcB",-2.2,-1.2,-1.1,1.3,-1.2,-1.4,-2.3,-1.6
"qorB",-2.1,-1.4,-1.9,1.2,-1.5,-1.4,-2.4,-1.2
"fimE",-2.5,-2.2,-1.9,-1.1,-1.4,-1.3,-1.7,-1.8
"nupX",-3,-3.2,-3.3,-3.6,-1.9,-1.7,-3.3,-2
"hisL",2.1,1.6,2.5,3.1,1.1,1.9,1.1,1.3
"ybaY",-2.3,-1.5,-1.4,1.1,-1.3,1.2,-1.5,-1.3
"tauC",-6.1,-2.5,-2.6,-1.8,-1.7,-2.1,-2.3,-2.1
"rhsE",-2,-1.8,-2,-1.3,-1.8,-1.5,-2.1,-1.5
"yafQ",-1.7,-1.4,-1.6,-1.7,-1.9,-1.3,-2.8,-1.8
"chaA",1.7,1.8,2.4,3.1,1.4,1.5,-1.4,1.2
"hns",1.8,1.7,2.4,2.9,1.5,2.4,-1.9,1.7
"rplN",1.7,1.5,2.1,2.2,1.4,1.7,-1,-1.1
"rpnC",-2.3,-1.2,-7.3,3.5,-1.5,1.5,-2.3,-1.4
"pepD",-2.3,-1.1,-5.3,3.4,-1.4,1.5,-2.1,-1.4
"codB",-1.8,1.8,-12.7,3.2,1.4,1.3,-2,-2
"fixA",-3.6,-2.5,-11.1,2.6,-2.2,1.4,-5,-2.4
"yadH",NA,-1.3,-5.9,3.5,-1.2,1.4,-3.4,-1.1
"yafO",-2.9,-1.2,-11.3,3.7,-1.7,1.4,-2.3,-1.5
"gcd",-1.9,-1,-10.6,1.5,-1.4,2.1,-1.6,-1.1
"rayT",-1.8,1.1,-1.8,1.6,-1.2,2.5,-1.8,-1.2
"yahN",-2.5,-1.6,-5.7,3.4,-1.4,1.8,-3,-1.6
"caiE",-2.5,-1.4,-7.7,3.6,-1.3,2,-2.1,-1.5
"speD",-1.5,1.2,-9.2,3.3,-1,2.2,-2,-1.3
"yafJ",-2,-1.1,-12.4,3.3,-1.5,2,-1.9,-1.3
"yahJ",-1.9,1.1,-122.7,3.1,-1.7,2.2,-3,-1.5
"dapB",-1.2,1.3,-99,3.3,-1.4,NA,-1.1,1.3
"lpd",1.1,1.2,-87.9,2.1,1.1,1.7,1.2,1.2
"yafV",-1.6,-1.5,-3.5,1.4,-1.1,1.2,-2.2,-1.6
"yahF",-3.7,-3,-13.1,NA,-3.4,NA,-6.7,-2.4
"lspA",-3,-2.1,-14,1.5,-2.7,NA,-3.4,-1.9
"aroP",-1.6,1.2,-6.3,1.3,-1.1,-1.3,-4.6,-1.7
"rnhA",-1.7,1,-10.4,1.2,-1.2,-1.1,-3.3,-1.4
"yahB",-2.2,-1.2,-8.8,1.1,-1.2,-2,-2.1,-2.1
"clpX",-1.1,1.5,-6.6,1.2,-1,-1,-1.1,1.1
"sfmF",-3.3,-2,-8.1,-1,-3.3,-2.9,-4,-2.2
"mrdB",-1.3,1.5,-7.8,1.2,-1.2,NA,1,-1
"nadA",-2.8,-1.9,-7.6,-1.1,-2,NA,-4.2,-2.3
"yajG",-2.3,1,-7.6,-1.5,-1.2,-2.7,-1.7,-1.1
"sfmA",-3.1,-1.6,-7.8,-1.9,-1.6,1,-3,-1.8
"dacA",1.1,1.9,-3.7,1.5,1.3,-1.4,1.4,1.3
"tolA",-4.1,-2.1,-7.7,-1.6,-2.3,-1.5,-4.5,-2
"cyoC",1.8,2.1,-2.6,1.2,1.3,1.3,1.5,1.2
"cysS",-1.8,1,-5.9,-1.1,-1.3,NA,-1.6,-1.3
"lipA",-2.4,-1.1,-17.5,-2,-1.1,NA,-1.5,-1.3
"ybgE",-1.8,-1,-16.8,-1.7,-1.2,2,-1.4,-1.3
"yajQ",-1.5,1.2,-1.2,1.5,-1.3,1.2,-1.4,-1.3
"purK",-2.1,-1.5,-2.8,-1.1,-2.1,-1.1,-4,-2.7
"crcB",-1.6,-1.1,-2.1,1.4,-1.2,1.4,-1.7,-1.4
"mngA",-2.2,-1.6,-2.4,1.4,-1.4,-1.3,-8.4,-2.2
"xseB",-1.2,1.4,1,2.1,-1,1.2,-2.3,-1.4
"fdrA",-3.1,-2.3,-4.7,-1.1,-2.2,-2.5,-3.5,-2.5
"dpiA",-2.9,-1.5,-4.8,-1.1,-1.8,-1.3,-3,-2.2
"sucB",1.9,2,2.2,2.5,1.4,1.4,1.2,1.3
"pgpA",-2.1,1.3,-1.7,1.5,-1.1,1.1,-1.2,-1
"glxK",-5.2,-2.6,-6,1.1,-2.7,NA,-4.8,-2.5
"citE",-4.3,-2.5,NA,1.1,-2.3,NA,-5.2,-2.5
"sdhA",1.7,1.9,1.1,2.9,1.5,1.3,1.1,1.3
"ybjM",-2,-1.9,NA,1.5,-1.1,NA,-2.3,-1.7
