"","0","216000","540000","972000","0 | 1","216000 | 1","540000 | 1","972000 | 1","0 | 2","216000 | 2","540000 | 2","972000 | 2"
"arfB",1081.3,1353.5,1239,1427.1,805.9,987.5,925.5,1430.3,417.7,174.6,721,250.3
"nlpE",314,363.8,651.7,409.8,410.3,636.1,652.7,817.6,185.2,89.2,451,216.1
"yaeF",79.7,133,151.5,123.6,143.3,174.8,71.7,59.1,26.3,17.8,40.1,25.4
"proS",2553.9,1785.9,1233.2,1673.3,3264.8,1670.7,1026.3,1391.6,748.8,365.6,641.3,427.2
"trmO",599.6,504.5,333.4,418.7,580.8,536.7,675.4,655,446,220.3,287.7,165.2
"rcsF",1587.4,1610.2,1369.7,737.8,1465.4,898.4,1207.9,1041.1,971.5,639.4,719.2,367.9
"metQ",688.4,768.8,1421.1,1027.1,1185.8,759.4,1239.4,1338.7,321.5,553.4,547.1,239.3
"metI",569.8,358.9,408.8,513.5,622.2,499.6,442.1,800.2,184.6,307.1,251.5,122.9
"metN",627,465,352.4,417.7,515,296.1,356,345.3,101.9,294.7,91.9,51.8
"gmhB",1737.6,2180,1834.2,1355.3,2017.6,2113.9,2170,1648,440.9,491.8,429.9,314.1
"rrsH",16862.2,24437.9,21473.4,56962.3,63228.8,108181.5,92831,73820,7133.6,8589.8,9664.2,9265
"rrlH",3052.6,9957.1,10609.6,54572.4,26607.7,22485.4,36366.7,8354,6042.7,6924.7,9426.7,8814.3
"rrfH",3469,9359.1,9062.9,22632.8,48408.9,88157.1,96823.6,82881.7,10596.5,14386.4,15072.1,14262.9
"aspU",7775.2,4497.7,4408.4,6759.8,11480.4,8004.5,4775,1942,580.8,1130.9,1255.3,1963.7
"dkgB",306.9,260.6,451.5,273.4,246.9,273.9,199.1,267.8,84.6,40.5,69.9,85.3
"yafC",191.7,304.2,467.1,295.7,91.5,221.6,342,247.1,20.6,33.2,117.9,91.5
"yafD",211.1,372.1,517.6,816.4,296.5,859.6,610.5,1121.5,16.5,83.3,291.2,433.5
