"","0","0 | 1","0 | 2","0 | 3","0 | 4","900","1800","2700","3600","5400","0 | 5","0 | 6","0 | 7","0 | 8","0 | 9"
"waaP",0.832198734711525,1.06954708788524,1.23114441334492,1.04463576286423,1.30585978708892,1.47324768581648,1.01818519976462,1.19168257457405,1.31221125459196,1.52837652076517,0.988285651500733,1.05409142329074,1.22348804113187,1.10956947206785,0.750019494642909
"fimA",0.751580739032781,0.678302163723836,0.680657058249737,0.688725023191569,0.717474767303352,1.46104437854568,1.46104437854568,1.44593229454575,1.41912335620038,1.55940968522265,0.685391402489852,0.66803703919505,0.705148980242195,0.651573574681647,0.690637224071928
"wza",0.853817714391245,1.31585452502901,1.16958766405195,0.90250072746243,0.998614666101029,0.951318276331799,0.807760777609608,1.00069338746258,1.11033883362864,1.28520633746937,0.865136690584988,1.14472416059868,0.947370070599268,0.886381699194867,0.534032704023926
"pbpC",0.875998315067126,0.792784136610284,0.90814841772151,0.761016690419679,1.05995278339728,1.67365248536678,0.960594863953477,1.06732533803996,1.20163604952685,1.40639319991312,0.721464343430814,0.964598184584138,0.748980467212091,0.853226098112067,0.496202187342909
"mtgA",0.76365874898035,0.870550563296124,1.16958766405195,1.03454758151891,1.29863860272988,0.954621014139717,0.945402116750744,1.11961288865424,1.11187915751711,1.2860974834306,0.859160754947185,1.11961288865424,0.759435844907265,0.84968499913865,0.587230985606827
"yiaT",0.664803554090857,0.877821797609519,1.07326028639345,0.788400174056278,1.06584673606794,1.06215918649537,0.912565488543452,1.12038921419418,0.895025070927972,1.18263100024414,0.837406487508427,0.911301280637142,0.794985250948974,0.847919964633148,0.574747424017338
"waaQ",0.936921446872426,1.04536010020516,1.32868581409651,0.976708528962227,1.21503679190502,1.12974721457012,0.989656656415207,1.29773876693918,1.22010051027222,1.45397251732031,1.00486382042379,1.19416318707459,0.900001929793512,0.896266699569405,0.671751712860648
"fimC",1.05921833468388,1.09733193757924,1.49484924863494,1.10266916306891,1.31950791077289,1.38031735339663,0.875391329694264,1.04102159768411,1.0747491728555,1.36509371788517,0.965267024871757,1.09505247079357,0.834509281155409,0.76312960448028,0.592135805926816
"yehD",0.862741344542656,0.840896415253715,0.862741344542656,0.840896415253715,0.862741344542656,1.18920711500272,1.15909595190446,1.18920711500272,1.15909595190446,1.18920711500272,0.862741344542656,0.840896415253715,0.862741344542656,0.840896415253715,0.862741344542656
"mltB",1.20413738123142,0.873572895916694,1.06732533803996,0.975355461527642,1.19416318707459,1.02526723788859,1.06215918649537,1.13366941277842,1.20246924889818,1.67946298588828,1.00905163384468,1.23285232546381,1.18099266142953,1.02101212570719,0.938221196500671
