"","0","0 | 1","420","420 | 1","600","600 | 1","600 | 2","1800","1800 | 1","0 | 2","0 | 3","420 | 2","420 | 3","600 | 3","600 | 4","1800 | 2","1800 | 3"
"talB",1.12663406594088,0.894421540889116,1.00345615431866,1.43883650904323,0.715487268134803,0.951139838677422,1.13065662556992,0.756539859379958,1.06922796056149,0.911128852157571,0.821489213376027,1.13025319823296,1.11932472861891,0.945018252785077,0.854082295373823,0.828774201557714,2.03359540129977
"tilS",0.721659901591187,0.617711992450138,0.895317319544112,0.783176233899693,1.00744969329636,0.623950215377788,0.626342635729583,0.481991630420472,0.715105498272784,0.317841629493021,0.788996228441859,0.789948222813726,0.448606088504597,0.953944474522987,0.872700013748376,0.852224244665373,0.801801936510597
"eaeH",0.55730654437504,0.460074212597096,0.547455270454265,0.345662999777208,0.954749391186694,0.53735754016559,0.565949306837053,0.373774486362619,0.635516321280521,0.596562831784918,0.543933366929684,0.730138975757431,0.444391269202259,0.835336278213559,1.01393422556012,0.752144624927384,0.760668827406302
"thrC",1.83515764526236,0.777708102177846,1.99855461751575,0.669312632560691,2.25348836299341,0.586790596631412,0.579320771594281,0.743068954641715,1.79623105557655,0.853692849219442,1.45088753019612,1.27086078446258,1.13493060889677,0.653234548592374,1.38249564803485,0.742032355267749,1.394740328123
"murF",1.38625436200879,0.927973228413663,1.25187541995019,1.23191494107307,0.994158812844059,0.631771017907246,0.994432610719989,0.760660186265764,0.968499076984499,0.861517495630869,0.910380112476238,0.921694150598316,0.953242286480375,0.89389172695148,0.786989969368648,0.833751871620462,0.889510386163286
"dnaE",1.00493803024742,0.985929231515461,0.932990955086597,1.36053772009531,1.11756674749265,0.678068741052507,0.847961980379116,0.869378908041204,0.790077562063827,0.834995310349903,0.856371648506317,0.985705034733304,1.04555166342484,0.707715293046676,0.709884434212936,0.975401773071924,0.521084219858593
"ecpA",0.886054288223119,0.735358363207624,1.34596882967755,0.721436839001369,1.04321686646737,1.07694419994646,0.873101798818511,0.732877003143183,0.49493772287561,0.735801743536561,0.78582109232932,1.24177517895966,0.840688302840896,0.925289676595864,0.740876819712149,0.643407206438002,1.0324306487182
"ribD",0.601563108488726,1.3197607807302,1.04382864615538,1.06641631842968,1.00556627491669,0.764687864506799,0.952209247506954,0.980088002275463,0.750840144691557,0.67382179556084,1.27595947390335,1.03225270566117,1.27487264901746,0.57978824954896,0.770816791068337,0.65323364301763,0.792766408869946
"citT",0.371743648977207,0.650063660149672,0.649525918125179,0.873562565293361,1.1983920846701,0.496029575426099,0.58290740651981,0.489489561703671,0.560369383290007,0.750041329664459,0.774590353108527,0.835365229264542,0.727146363979087,0.605218083480418,0.641329349220694,0.975002349164912,0.279777819159006
"ybgD",1.60648554540234,0.92575002149019,0.826055717561329,3.02229755394671,1.0275814130223,1.3962728765176,1.34516651904363,0.983820962270104,1.10759166646431,1.55581551604635,1.26251614753602,1.03630516365729,1.28486636237589,0.820200199676649,1.176290231598,2.22915973567121,1.06057155765484
