"","0","300","300 | 1","300 | 2","3300","3300 | 1","3300 | 2","2100","0 | 1","0 | 2","0 | 3","300 | 3","300 | 4","300 | 5","3300 | 3","3300 | 4","3300 | 5","2100 | 1"
"ytfP",10.92302652,10.47165017,10.61030222,11.11080508,10.32640528,10.57838663,10.56354059,9.720157139,10.61258219,10.879143,10.99383456,10.55014358,10.7698454,11.17754597,9.989142501,10.27135892,10.18119638,9.989019528
"yigL",7.230704239,7.480894616,7.631707799,6.207663503,7.995133573,7.275575438,6.816260385,6.407681258,6.714059949,7.015552138,7.002179126,7.631277503,7.46852149,6.752275157,7.975658212,7.110552741,6.935707157,5.60714515
"dmsC",6.445486448,6.790139259,6.421564821,6.758545722,6.72794108,6.801551193,6.703039314,6.743599895,6.721030161,6.732883267,6.745420594,6.697148672,6.696128395,6.90462795,6.508415457,6.697062868,6.597819281,6.829616787
"yeeT",4.753746443,5.812845616,5.128424464,5.146942476,6.029031467,5.157859165,5.313442268,5.845068536,5.051712648,5.165025839,5.073368925,5.97930876,4.912822864,5.062191032,6.041644551,5.263339767,4.962292021,6.023909004
"yfjZ",4.84375254,4.472763025,4.262579321,4.800581246,4.521004855,4.117453973,4.510775294,4.061450503,4.526550492,4.362451882,4.53543389,3.834314221,4.468636135,4.655147041,4.018966303,4.540563673,4.632085979,4.041304448
"insA1",8.551355784,8.37636447,8.613626553,8.280493297,7.556653694,7.97829758,7.535864888,7.209907031,7.891678587,8.398416755,8.074164021,8.332234284,8.791320366,8.337745234,7.406290957,7.620422732,7.927117046,6.584222502
"rluF",10.36785684,9.90828097,9.977956894,10.16221984,9.804640211,10.24353651,10.18730172,10.05448948,10.37259822,10.35765919,10.40703662,10.28834684,10.36242759,10.12564408,9.817398994,10.00527759,10.22562913,9.916417154
"ispU",11.57224407,11.64796909,11.6816473,11.61052381,11.49435674,11.51539846,11.55167583,11.37239601,11.48510068,11.55459344,11.58947992,11.65883269,11.62089939,11.51153471,11.49305492,11.34199067,11.67305789,10.97984461
"preT",7.134521436,7.545382779,7.451177816,7.200787218,8.080153721,7.730545099,7.591470896,8.407477461,7.355196402,7.126094802,7.060713524,7.538935888,7.43436637,7.031380067,8.090109172,7.782143578,7.816387472,7.660825529
"aes",5.695100152,5.02493932,5.977463398,5.207735527,5.906184716,5.778455181,6.152098701,6.834449669,5.286775133,5.458419212,5.56356421,5.378940094,5.525004774,5.698818198,6.126910569,6.288155594,6.549951782,6.277347178
"yfeN",6.585335374,6.104833503,6.259829189,6.657943538,6.302339039,6.456234435,6.679115932,6.283445762,6.090955829,6.15660189,6.502993445,6.45615449,6.733976205,6.768869592,5.933753131,6.229043914,6.293461678,6.294299171
"allD",4.684184061,4.863864128,4.62843893,5.073721579,5.317606374,5.100220172,4.914996946,5.309547396,5.216704502,5.282660073,5.282071711,5.030984248,4.973842071,5.021233994,5.105571289,5.291292225,5.237590366,5.641652748
"metJ",10.99674284,10.68749809,10.8393124,10.98062458,10.40223895,10.86467649,10.42675877,10.07149096,10.72743667,10.56397276,10.93019685,10.69506661,10.9303293,10.8006747,10.2313681,10.28693189,10.60037881,9.703560955
"rbsC",9.20327767,10.24014382,10.82116099,9.522638288,9.502885131,9.078515644,9.377019954,9.755382283,9.532331655,9.946834729,9.059014448,10.5187025,10.6782814,9.560849855,9.47303355,9.401523887,8.851220106,8.806247842
"ycfJ",6.791271448,6.571888789,6.860890226,6.452473162,5.167147259,5.10195542,5.103936143,4.994082112,6.256922038,6.84790482,6.690726658,7.156776897,7.307702654,6.62180639,6.633697095,6.322447245,6.558714406,9.517753951
"glsB",9.800943273,9.801212801,9.78542157,9.722284112,9.22805456,9.604499971,9.699567183,9.461486965,9.631448738,9.794972937,9.793556592,9.507187082,9.505460102,9.547723541,9.317822063,9.476001253,9.656454865,9.178643213
"ymfQ",5.50228753,5.68336175,5.24119421,5.700315832,5.556071425,5.351393614,5.504542783,4.788004403,5.657238836,5.317134447,5.572740791,5.352726797,4.999368519,5.576100284,5.315984971,5.468923393,5.720899487,6.049451769
"yidR",8.750443665,8.093343931,8.501927707,8.49132945,7.897914311,8.155232681,8.773807975,8.268856247,8.354074135,8.535683306,8.766521408,8.08608734,8.22995492,8.620536463,8.394036896,8.517215538,8.770110072,8.278809282
"rbn",8.215188545,7.573215687,7.905194403,7.981237633,7.733355329,7.94316235,8.227076443,8.127080652,8.183228444,8.106104356,8.267823307,7.761584417,7.985587853,8.216084803,7.884277079,8.140068292,8.241758485,8.211807063
"ycfP",10.03248448,9.933639588,10.17081612,10.0473483,9.849330125,10.34968253,10.3211305,10.23141167,9.835040037,9.831640754,10.08435406,9.855184391,10.26990971,10.12921514,9.8458954,10.03571945,10.02647906,10.1339388
"yidX",5.840204393,5.394183352,5.595913559,5.725824728,5.462135901,5.560447762,5.217739284,5.543330852,4.840474338,5.385491857,5.841956547,5.97129959,6.127872846,6.097632659,5.72043047,5.209270772,5.362594175,5.248710542
"caiA",7.368270785,6.90225192,7.00401392,7.267174783,6.84341328,6.904961862,6.981747656,6.960870767,7.037766186,6.981089184,7.324339707,6.797214344,6.947461729,7.240771025,6.940779619,7.031587347,6.943956198,6.564730967
"rpmG",12.87826897,13.30238096,13.07010307,12.79207067,13.04650539,13.09922178,12.35661434,12.49849197,12.83383318,12.87239799,12.9109499,13.43117461,13.22519683,12.93621032,13.00891885,12.49945511,12.44884629,12.25266339
"mngA",5.287413355,5.850180485,5.811880452,5.857943201,5.910561982,5.386379165,5.606049318,5.69626142,5.620028837,5.589937422,5.812532558,5.765006849,5.809882206,5.660411732,6.041644551,5.756478951,5.753662592,6.041369982
"fumE",8.830121472,8.846590127,8.782753972,8.906303164,8.6242981,8.787910648,8.885789959,8.850017795,8.643352695,8.752506614,9.010865801,8.947634131,8.906968511,8.962748726,8.541498976,8.656242225,8.854563389,8.195869167
"tsaD",10.34524578,10.25725533,10.29849813,10.0985859,9.317400391,9.829437613,10.18141892,9.762485821,10.43415249,10.4858393,10.41534455,10.05421241,10.14605893,10.15281176,9.40779681,9.7458577,9.789212814,9.515489135
"rzpR",5.223742087,4.943029411,4.983755445,5.240073604,4.997849944,5.228025174,4.652467684,5.188186199,4.859090375,4.990185184,4.968330204,4.676772323,4.864214079,5.097482806,5.177140926,4.915838331,4.80528876,4.586897348
"lolD",9.584566325,9.995734698,9.698299958,9.157714589,9.502905996,9.511695857,9.56164524,9.406659779,9.682404507,9.702772392,9.623809974,9.588674431,9.536191375,9.263332159,9.458190214,9.399683126,9.492574565,9.354025589
"fxsA",9.125835943,8.573847834,9.179382979,9.58014821,9.197696814,8.579509488,8.516495797,7.852663522,8.647469752,8.669924707,9.143922287,9.12963945,9.717760538,9.631748804,8.524351745,8.46761077,8.819819113,8.581902837
"nuoM",8.175600776,9.093708453,9.293593011,7.421597752,10.93371043,10.11510937,9.375696618,9.468791766,7.840895628,8.599838047,8.67901629,9.008083085,8.98584241,8.173366281,10.707574,9.926156916,9.411685993,8.678716068
"hemN",9.69126325,9.295393298,9.438901807,9.407914803,9.693436573,9.742976339,9.826131581,9.083586431,9.421707414,9.346080627,9.585940773,9.323318887,9.426087985,9.474187913,9.579115674,9.891512564,9.874096012,9.031037972
"rrsH",14.0037982,14.1185956,14.13356157,14.10232425,14.0919113,14.15870084,14.14174915,14.19351037,14.10027698,14.0842799,14.10591602,14.07463193,14.11079153,14.12919572,14.1021526,14.17773043,14.15544407,14.20029671
"ortT",8.45666051,7.660043245,7.838463601,7.633983811,7.296322269,7.746963701,7.328691452,6.604405366,8.1126278,8.057064588,8.278502427,7.904594426,8.114674404,8.016847989,6.658630238,7.121058381,7.38181411,7.075320304
"dsdA",6.949487206,6.196378463,6.73878096,6.382574379,8.559144982,7.28068237,7.681216142,11.26660759,6.695645148,6.709081291,7.072764462,6.595664918,6.79810004,6.915764843,9.35814165,8.63362623,8.231838124,9.530187781
"yihP",4.470276531,4.597614993,4.534447686,5.016944593,4.684330912,4.702449895,4.529644302,4.039934919,4.673503994,4.434199064,4.892286313,4.302582885,4.709501344,4.555071965,5.04051589,4.786856412,4.707507658,4.065788759
"napB",7.805796821,7.408043884,7.855623541,8.121555092,8.139404322,8.165079061,8.858927749,7.896312389,8.021125432,8.22754509,7.941591119,7.364520334,7.844572666,8.035404798,7.823978714,8.304067108,8.487715579,7.324344241
