"","0","300","600","900","0 | 1","300 | 1","600 | 1","900 | 1","0 | 2","300 | 2","600 | 2","900 | 2","0 | 3","300 | 3","600 | 3","900 | 3"
"gmhA",-0.32,-0.13,-0.06,-0.22,-0.02,-0.33,-0.13,1.08,-0.51,-0.77,-0.87,-0.56,-0.23,-0.17,-0.01,-0.2
"yafJ",-0.54,-0.64,-0.54,-0.21,-0.41,-0.3,-0.88,-0.62,-0.75,-0.89,-0.71,-0.48,-0.16,-0.05,0.17,-0.18
"dpaA",-0.65,-0.67,-0.8,-0.74,-0.62,-0.41,-1.21,-0.13,-1.53,-1.67,-1.14,-1.3,-0.38,-0.39,-0.04,-0.23
"yafQ",0.4,0.4,0.25,0.05,-0.3,0.34,-0.72,-0.09,0.31,0.43,0.59,0.48,-0.08,0.3,0.33,0.17
"dinJ",0.16,0.52,0.07,-0.03,-0.2,0.03,-0.45,0.26,0.47,0.73,0.54,0.37,-0.11,-0.3,-0.64,0.4
"yafL",0.82,0.87,-0.17,0.12,-0.06,-0.04,-0.17,0.37,-0.25,-0.26,-0.18,-0.15,0.07,0.08,-0.17,0.05
"rayT",-0.02,0.1,0.16,-0.06,0.12,-0.14,-0.34,0.04,-0.26,-0.2,-0.3,-0.09,0.3,-0.02,-0.29,-0.1
"lfhA",0.24,0.14,0.22,0.34,0.12,0.06,0.07,0.37,0.01,-0.25,-0.45,-0.12,0.03,0.13,0.17,0.06
"lafU",0.11,0.14,0.17,0.26,0.12,-0.26,0.1,0.74,0.04,0.01,-0.23,-0.06,0.36,0.11,0.01,0.07
"dinB",3.06,3.17,2.85,2.05,0.24,0.17,0.47,0.79,1.28,1.56,1.78,1.81,0.07,0.14,0.21,1.02
"yafN",1.46,1.32,1.41,0.33,0.18,0.35,0.22,0.2,0.62,0.94,1.03,1.04,0.19,0.39,0.2,0.41
"yafO",0.08,1,0.03,0.26,0.17,0.15,-0.01,0.4,0.69,1,1.09,0.89,0,0.05,0.15,0.34
"yafP",0.52,1.13,1.42,0.14,0.22,0.34,0.27,0.31,0.47,0.96,0.95,0.9,0.31,0.32,0.1,0.22
"ykfJ",0.25,0.3,0.21,0.09,0.16,0.21,-0.2,0.29,-0.16,-0.16,0.19,0.29,-0.04,-0.14,0.25,0.29
"prfH",0.26,0.32,-0.04,0.4,0.18,0.01,-0.2,0.28,0.08,-0.52,0.27,0.17,-0.12,0.2,-0.04,0.14
"pepD",-0.43,0.01,0.27,0.34,0.41,-0.1,0.77,0.75,-0.14,-0.92,-1.12,-0.96,0.06,-0.08,0.19,0.18
"gpt",0.06,0.33,0.28,-0.09,-0.31,-0.96,0.04,0.24,-0.41,-0.24,0.22,0.37,-0.08,0.46,-0.27,-0.32
"frsA",0.68,0.31,0.5,0.06,-0.01,0.48,0.61,-0.05,0.07,-0.06,0.32,0.48,-0.22,-0.08,0.02,0.02
"crl",-0.32,-0.27,0.49,-0.42,0.33,-0.04,0.58,-0.54,-0.41,-0.9,-0.86,-0.74,-0.26,0.02,0.1,-0.29
"phoE",-0.36,0.16,-0.1,0.04,-0.04,0.08,-0.24,0.19,-0.56,-0.39,-0.34,-0.45,-0.01,-0.26,-0.18,0.06
"proB",-1.63,-0.98,-0.9,-0.67,-0.49,-1.06,-0.77,-0.31,-0.64,-0.64,-0.58,-0.38,-0.45,-0.33,-0.03,-0.38
"proA",-0.39,-0.79,-0.44,-1.17,-0.02,-0.74,-0.12,-0.22,-0.72,-0.81,-0.89,-1.03,-0.43,-0.23,0,-0.21
"ykfI",-0.15,0,0.16,0.24,-0.2,0.3,0.29,0.2,0.16,0.01,-0.01,0.03,0.19,0.01,0.11,0.27
"yafW",0.22,0.04,0.08,0.22,-0.38,0.05,0,1.78,0.2,0.02,0.06,0.03,0.23,-0.07,0.13,-0.07
"yafX",-0.15,-0.45,-0.8,-0.18,0.05,-0.31,-0.31,-0.28,-0.19,-0.28,-0.23,-0.27,-0.21,-0.24,-0.13,0.01
"ykfF",0.1,-0.1,0.05,-0.09,-0.05,0.21,0.08,-0.08,-0.03,-0.01,-0.02,0,0.21,0.11,-0.1,0.03
"ykfB",-0.03,-0.09,-0.18,0.09,0.24,0.17,0.46,0.42,-0.28,-0.21,-0.23,-0.01,-0.12,-0.25,-0.05,0.04
"yafY",-0.09,-0.57,-0.21,0.17,-0.14,0.03,0.22,0.07,0.1,-0.01,0.1,0.28,0.34,-0.04,-0.61,-0.02
