"","0","300","600","900","0 | 1","300 | 1","600 | 1","900 | 1","0 | 2","300 | 2","600 | 2","900 | 2","0 | 3","300 | 3","600 | 3","900 | 3"
"yehB",0.06,0.12,-0.01,0.16,-0.07,-0.06,-0.32,0.11,-0.25,0.2,-0.16,-0.02,0.2,0.18,0.02,-0.04
"yehC",-0.14,-0.24,0.05,-0.35,0.03,-0.19,-0.27,0.17,0.13,0.07,0.39,-0.14,0.17,0.46,0.33,-0.13
"yehD",-0.17,-0.12,0.06,0.36,0.17,0.17,-0.07,0.13,0.17,0,-0.11,0.44,-0.21,-0.04,0.23,0.11
"yehE",0.51,0.02,-0.2,0.12,0.18,0.24,0.78,0.57,0.49,0.39,0.04,-0.1,0.07,-0.2,-0.04,0.17
"mrp",1.1,1.3,1.47,1.13,0.66,0.83,0.87,0.01,0.19,0.49,0.52,0.46,0.52,0.38,0.68,0.58
"metG",0.68,0.86,0.78,0.39,0.04,-0.05,0.49,-0.07,0.43,0.49,0.82,0.97,-0.17,-0.24,0.02,0.05
"yehF",0.37,0.21,0.39,0.14,0.23,0.03,0,0.5,0.14,0.01,0.13,0.29,-0.13,-0.02,-0.15,0.16
"yehI",-0.12,-0.31,0.23,0.09,-0.23,-0.05,-0.34,-0.3,0.19,0.15,0.1,0.17,0.25,0.24,0.03,0.07
"yehL",0.02,0.23,0.33,0.13,0.29,0.17,0.03,0.13,-0.02,0.01,0.14,0.15,-0.12,-0.12,-0.12,0.1
"yehM",-0.09,-0.06,0.06,0.1,-0.15,-0.14,-0.09,-0.1,0.01,-0.07,0.05,-0.27,0.63,0.46,0.03,0.09
"yehP",0.11,0.31,-0.07,0.24,0,0.04,0.1,0.29,0.03,-0.02,-0.08,0.03,0.16,-0.15,-0.02,0.4
"yehQ",-0.08,-0.25,-0.03,0.5,0.02,-0.2,-0.17,0.7,-0.04,-0.04,0.04,0.07,0.14,0.05,-0.2,-0.24
"yehR",0.55,0.52,0.17,0.17,0.3,0.24,0.25,0.78,-0.04,0.11,0,-0.21,0.11,0.07,0.14,0.18
"yehS",0.87,0.7,0.68,0.07,-0.02,0.35,0.56,-0.48,0.34,0.5,0.31,0.15,0.18,0.17,-0.06,0.19
"btsR",-1.32,-0.63,-0.96,-0.31,0.01,-0.58,-1.08,0.14,-0.5,-0.47,-0.44,-0.46,-0.05,-0.39,-0.12,-0.26
"btsS",-0.82,-0.59,-0.56,-0.19,-0.58,-0.74,-1.58,-0.27,-0.36,-0.33,-0.25,0.09,0.11,-0.03,-0.18,-0.07
"mlrA",-0.57,-0.31,-1.11,-0.34,0.19,0.06,-0.13,0.33,0.17,-0.13,-0.19,-0.35,-0.12,-0.36,-0.26,-0.21
"yehW",0.03,-0.25,-0.06,0.02,-0.01,0.75,-0.02,0.01,0,0.07,0.14,0.16,0.46,0.33,0.06,-0.05
"yehX",-0.14,-0.23,-0.2,-0.37,0.35,0.69,0.61,0.45,-0.39,-0.49,-0.4,-0.62,-0.22,-0.21,-0.03,-0.25
"yehY",0.37,0.33,0.36,-0.12,0.39,0.57,0.5,-0.11,0.31,0.24,-0.03,0.07,0.18,0.04,-0.04,-0.18
"osmF",0.52,-0.17,-0.74,-0.32,0.55,0.92,1.3,0.31,-0.46,-0.17,-0.08,-0.42,0.2,0.01,0.49,0.03
"bglX",-0.11,-0.24,-0.17,-0.13,-0.28,-0.6,-0.13,-0.59,-0.09,-0.04,-0.1,0.15,0.12,0.11,-0.02,0.09
"dld",-0.15,-0.94,-0.12,-0.01,-0.61,-0.35,-0.15,-1.08,-0.13,-0.57,-1.21,-0.87,0.26,0.27,0.17,0.09
"pbpG",-0.25,-0.27,-0.07,-0.11,-0.59,-0.79,-0.55,0.15,-0.26,-0.36,-0.52,-0.57,-0.2,0.24,0.07,0.1
"yohC",0.27,0.67,-0.29,0.19,0.16,-0.1,-0.08,0.08,0.11,0.16,-0.08,-0.14,0.15,0.17,0.4,0.41
"yohD",-0.21,0.1,0.07,-0.07,0.46,0.62,-0.03,-0.09,0.11,0.22,0.06,0.11,0.04,-0.31,-0.25,-0.09
"yohF",0.55,0.05,-0.53,-0.01,0.9,1.02,1.68,0.43,0.53,0.48,-0.26,-0.62,-0.02,-0.14,0.04,0.3
"dusC",0.02,-0.16,0,-0.15,-0.44,-0.17,0.01,0.01,-0.26,0.05,0.19,-0.21,0.07,-0.01,-0.06,-0.06
"yohJ",0.41,0.13,0.19,0.07,0.11,-0.11,0.13,0.44,0,0.19,0.05,0.2,0.59,0.2,0.03,-0.03
"yohK",0.05,0.08,-0.08,0.08,0.15,0.02,0.09,-0.03,-0.24,-0.47,-0.14,-0.12,0.13,0.28,0.41,-0.24
"cdd",0.46,0.48,0.41,0.37,-0.35,-0.03,0.59,-0.04,0.21,0.1,0,-0.29,-0.08,0.03,0.3,0.1
"sanA",-0.34,-0.36,-0.25,0.36,0.07,-0.16,0.28,0.17,-0.34,-0.33,-0.14,-0.16,0.03,0.03,0.06,0.15
"yeiS",0.12,-0.14,-0.07,0.65,0.13,0.21,-0.07,0.54,-0.15,-0.27,-0.23,-0.01,0.12,0,-0.04,0.24
"preT",0.12,0.69,0.32,0.37,0.12,0.03,0.31,0.31,-0.18,-0.31,-0.13,-0.07,-0.03,0.39,0.13,0.05
"preA",-0.03,0.44,0.2,0.43,0.02,-0.12,-0.01,0.21,-0.11,-0.22,-0.18,-0.27,0.75,0.33,0.29,0.33
"mglC",-0.42,0.13,-0.07,0.04,-0.05,-0.36,-0.72,-0.08,-0.24,-0.22,-0.05,-0.11,0.28,0.04,0.03,0
"mglA",-0.42,-0.69,-0.21,-0.27,-0.3,-0.61,-1.16,0.35,-0.03,-0.16,0,0.22,-0.24,-0.01,-0.1,-0.03
"mglB",-0.99,-1.02,-1.1,0.02,-0.25,-0.72,-1.14,-0.78,-0.42,-0.53,-0.06,-0.06,-0.4,0.28,0.01,-0.23
"galS",-0.23,-0.23,-0.04,0.23,-0.49,-0.13,-0.92,-0.27,0.14,-0.12,-0.01,-0.09,0.51,0.28,0.42,0.13
"yeiB",-0.41,-0.49,-0.23,-0.12,-1.1,-0.43,-1.58,-0.97,-0.1,0.07,0.13,0.14,0.09,0,0.06,0.03
"folE",-1.01,-0.37,-0.67,-0.38,-0.39,-0.55,-1.1,-1.19,0.19,0.17,0.29,0.76,-0.14,0,0.15,0.2
"yeiG",-0.12,-0.18,0.42,0.51,0.16,0.22,0.06,1.36,0.34,0.26,0.11,0.05,-0.02,-0.44,0.11,0.19
"cirA",-2.65,-2.9,-2.59,-2.28,-1.42,-2.76,-3.67,-2.35,0.02,-0.36,-0.08,0.86,0.08,-0.15,-0.57,-0.26
"lysP",1.26,1.27,0.79,0.51,0.36,0.14,1.22,0.12,0.17,0.89,0.08,0.16,-0.24,-0.03,0.25,0.14
"yeiE",1.04,0.51,0.19,-0.03,-0.02,0.55,0.45,0.14,-0.06,-0.17,-0.23,0.07,0.18,0.09,-0.12,0.36
"yeiH",1.16,0.61,0.25,0.31,0.13,0.41,0.82,-0.15,0.14,0.2,0.17,-0.04,-0.03,-0.25,0.02,0.12
"nfo",1.61,1.15,0.33,0.66,0.94,1.94,2.62,1.3,0.44,0.37,0.53,0.61,-0.11,-0.14,-0.11,0.01
"yeiI",1.59,1.03,0.83,0.45,-0.02,1.32,1.71,0.56,0.21,0.29,-0.01,0.21,0.09,-0.17,-0.12,-0.07
"nupX",0.22,-0.24,-0.03,0.3,0.18,0.71,0.39,0.05,0.11,0.21,-0.07,0.36,-0.19,-0.47,-0.14,-0.02
"rihB",0.11,-0.3,-0.04,0.19,-0.14,-0.11,0.08,0,-0.07,0,0.02,-0.15,0.61,0.34,0.03,-0.04
"yeiL",-0.03,-0.09,0.21,0.03,0.16,0.34,0.07,0.19,-0.07,0.01,0.21,0.19,0.09,-0.04,0.07,-0.11
"psuT",0.19,0.21,0.14,0.24,-0.04,0.4,0.19,-0.06,-0.43,-0.45,-0.33,-0.28,0.35,0.1,0.06,-0.11
"psuG",0.17,0.2,0,0.28,-0.03,0.16,0.21,0.34,-0.38,-0.15,-0.27,-0.11,0.1,-0.18,-0.04,0.18
"psuK",0.25,0.03,0.35,0.31,0.26,-0.15,0.13,0.31,-0.11,-0.17,-0.06,0.36,0.59,-0.01,0.06,0.12
"fruA",0.34,-0.19,0.13,0.19,-0.33,-0.44,-0.44,-0.72,0.22,-0.14,-0.45,-0.58,-0.06,-0.39,-0.3,-0.48
"fruK",-0.35,-0.38,0.02,-0.24,-0.41,-0.38,-0.7,-0.15,0.32,0,-0.34,-0.32,0.03,0,0,-0.04
"fruB",-0.31,-0.49,-0.16,-0.33,-1.11,-0.54,-1.18,-0.66,0.15,0.29,0.02,-0.07,0.56,0.09,-0.17,-0.06
"setB",0.07,0.51,0.17,0,-0.22,0.69,-0.25,0.41,0,0,0.07,-0.36,0.15,-0.09,-0.17,-0.1
"yeiP",-0.46,-0.82,-0.47,-0.2,-0.43,-0.48,-0.34,-1.01,0,-0.23,-0.19,0.32,-0.43,-0.2,-0.52,-0.04
"yeiQ",-1.04,-0.45,-1.06,-0.35,-0.25,-0.72,-1.11,0.25,-0.02,-0.28,-0.33,-0.02,-0.23,-0.02,-0.09,-0.09
"lpxT",-0.41,-0.5,-0.42,-0.04,-0.91,-0.87,-1.16,-0.83,-0.29,-0.47,-0.26,-0.11,-0.13,0.38,0.18,0.13
"mepS",-1.88,-1.25,-1.12,-1.19,-1.35,-0.91,-1.66,-1.04,-1.12,-1.36,-1.58,-1.19,-0.1,-0.14,-0.25,0.03
"pdeN",-1.07,-0.5,-0.52,-0.04,-0.34,-0.58,-1.6,-0.17,-0.61,-0.35,-0.49,-0.21,0.18,-0.19,-0.05,-0.11
"yejA",0.3,-0.2,0.21,0.15,-0.36,0.04,-0.6,-0.22,0.06,0.34,0.28,0.19,0.06,0.05,0.09,0.11
"yejB",-0.13,0.62,-0.14,0.19,0.07,0.26,-0.29,0.17,-0.09,-0.13,0.01,-0.06,0.09,0.02,-0.15,-0.02
"yejE",0.17,-0.02,0.27,-0.04,-0.24,0.17,0.17,0.25,0.05,-0.08,-0.18,-0.13,0.3,0.17,0.21,0.02
"yejF",-0.08,-0.4,-0.12,0.24,-0.23,0.9,-0.35,-0.13,0.15,0.03,0.04,-0.01,-0.27,-0.2,-0.02,0.05
"yejG",0.28,0.16,0.36,-0.05,0.83,0.72,0.57,0.13,-0.05,0.1,0.19,-0.03,0.15,0.2,0.33,-0.03
"bcr",0.49,0.27,0.19,0.04,-0.11,0.66,0.44,-0.93,0.4,0.45,0.2,0.12,-0.33,-0.02,0.11,-0.05
"rsuA",0.86,0.77,0.68,0.1,0.38,0.51,0.78,0.3,0.17,0.32,0.49,0.28,0.17,0.08,-0.04,-0.02
"radD",0.37,0.51,0.52,0.2,-0.17,0.58,0.36,-0.16,0.17,0.2,0.29,0.25,0.32,0.08,0.42,0.36
"rplY",0.09,0.4,0.16,-0.16,0.13,0.63,0.34,0.29,0.31,0.17,0.25,0.28,-0.38,-0.19,-0.35,-0.3
"yejL",0.82,0.68,0.5,0.82,0.16,0.24,0.95,0.59,0.22,0.6,0.57,0.35,0.13,-0.19,-0.19,0.19
"lapC",1.07,0.79,0.81,0.64,-0.34,0.65,0.5,-0.14,0.39,0.42,0.42,0.24,0.12,0.25,0.42,0.32
"yejO",0.15,0.36,0.24,-0.01,0.47,0.93,0.34,0.14,0.18,0.26,0.18,0.31,-0.07,0.16,-0.04,0.25
"insH8",-0.14,0.17,0.22,0.25,-0.05,0.37,0.57,-0.26,0.64,0.64,0.64,0.75,0.66,0.27,0.53,0.36
"narP",-0.03,-0.55,-0.33,-0.05,-0.01,-0.02,-0.21,-0.73,-0.07,-0.08,-0.12,0.03,0.41,0,-0.01,-0.08
"ccmH",-0.2,-0.45,-0.14,-0.13,-0.24,0.03,-0.37,1.14,0.14,0.15,0.2,0.13,-0.09,-0.33,0.1,0.2
"ccmG",-0.05,-0.21,0.16,0.06,0.08,0.47,-0.02,1.69,-0.11,-0.39,-0.18,-0.03,0.06,0.27,0.09,-0.09
"ccmF",-0.27,0.19,-0.02,-0.19,0.16,-0.19,-0.17,0,0.08,0.2,0.01,0.19,-0.09,-0.03,-0.06,-0.02
"ccmE",0.25,0.19,0.03,-0.11,0.05,0.17,0.19,0.33,0.1,0.03,0,-0.16,0.04,-0.03,0.01,-0.12
"ccmD",0.48,1.76,-0.33,0,0.13,0.11,-0.02,0.44,-0.13,-0.01,0.08,-0.01,-0.04,-0.03,-0.13,-0.06
"ccmC",0.4,0.18,0.04,-0.07,0.11,0.12,1.23,0.09,-0.23,-0.04,-0.29,-0.08,0.13,-0.16,0.03,-0.03
"ccmB",-0.2,0.24,0.23,-0.1,0.15,-0.13,0.18,0.58,0.14,0.01,0.02,0.03,0.12,-0.19,-0.12,-0.01
"ccmA",0.1,0.33,0.27,-0.23,0.11,0.05,0.13,0.11,-0.15,-0.11,0,0.11,0.22,0.07,0.11,-0.11
"napC",-0.32,0.2,0.08,-0.03,0.12,-0.23,-0.01,0,0.09,-0.02,-0.03,0.28,-0.14,-0.31,-0.41,-0.01
"napB",-0.04,-0.15,-0.03,0,-0.23,-0.26,-0.26,-0.1,-0.01,-0.18,-0.17,-0.12,-0.02,0.09,0,-0.07
"napH",0.01,-0.01,0.11,0.08,-0.04,0.06,0.01,1.2,0.17,0.04,-0.13,-0.16,-0.32,-0.28,0.13,0.03
"napG",0.47,0.16,0.14,0.2,0,-0.1,-0.04,0.07,-0.1,-0.1,-0.18,-0.46,0.33,0.19,-0.07,-0.13
"napA",0.16,-0.14,0.35,0.15,-0.57,-0.23,-0.8,-0.33,-0.17,-0.4,-0.34,-0.31,0.04,-0.42,0.06,-0.22
"napD",0.15,0.95,-0.43,0.45,0.16,0.38,0.26,0.63,0.02,-0.18,-0.17,0.17,-0.01,-0.04,0.05,0.16
"napF",0.07,0.09,0.07,0.33,-0.44,-0.29,-1.16,-0.37,-0.24,-0.31,0.01,-0.07,0.41,0.07,0.26,-0.02
"eco",0.2,0.29,0.43,-0.05,0.33,0.27,0.44,0.54,0.32,0.19,0.31,0.08,-0.14,0.07,-0.01,-0.18
"mqo",-1.34,-1.45,-1.09,-0.58,-0.75,-1.48,-1.6,-1.29,-0.5,-0.73,-0.59,-0.47,0.13,0.1,-0.08,-0.09
"yojI",-0.51,-0.96,-0.69,-0.1,-1.43,-1.67,-1.97,-1.2,-0.14,-0.03,0.1,0.07,0.41,0.55,2.11,0.02
"alkB",0.12,0.28,-0.12,0.25,0.43,-0.23,0.28,0.48,-0.11,-0.21,-0.16,-0.44,0.04,-0.22,-0.04,-0.08
"ada",-0.07,0.08,0.16,-0.05,-0.01,0.25,-0.04,0.27,-0.56,0.07,0.11,-0.1,-0.01,0.32,-0.01,-0.1
"ftp",-0.18,-0.42,-0.1,0.16,-0.05,0.16,-0.21,-0.16,-0.04,0.36,0.01,0.17,0.28,-0.18,0.16,0.3
"ompC",-0.17,-0.47,-0.18,-0.26,0.16,-0.44,-0.21,-0.15,-0.3,-0.39,-0.04,-0.39,-0.22,-0.68,-0.46,-0.71
"rcsD",-0.27,-0.17,0.17,0.12,-0.89,-0.26,-0.61,-0.7,-0.44,-0.42,-0.4,-0.3,0.13,0.11,0.31,0.37
"rcsB",-0.01,0.26,0.04,0.46,-0.18,0.12,0.32,-0.47,-0.29,-0.48,-0.54,-0.27,0.37,0.28,0.31,0.46
"rcsC",-0.82,-1,-1.07,-0.07,-0.72,-0.64,-1.18,-0.13,-0.72,-0.44,-0.57,-0.5,-0.15,-0.14,0.11,0.13
"atoS",-0.01,-0.18,0.31,0.14,0.19,0.23,0.03,0.49,-0.07,-0.01,0.16,0.47,0.05,-0.1,-0.03,0.06
"atoC",-0.17,-0.11,-0.1,0.12,-0.07,-0.22,-0.27,0.12,0.03,0.24,0.14,0.21,0.17,0.14,0.08,0
"atoD",0.34,0.07,0.08,0.03,0.15,-0.34,-0.18,0.69,-0.01,-0.15,-0.06,-0.21,0.07,0.28,0.24,0.22
"atoA",-0.03,0.27,0.24,0.48,0.31,0.06,0.18,0.29,-0.09,0.04,0.23,0.11,0.24,0.04,-0.09,0.15
"atoB",0.37,0.24,0.58,0.5,0,-0.11,0.09,0.51,-0.1,-0.21,-0.28,-0.29,0.14,0.01,0.2,0.33
"yfaP",0.11,-0.24,0.02,0.26,0.06,0.42,-0.11,-0.02,-0.08,0.28,0.07,0.08,0.3,-0.16,-0.05,0.25
"yfaT",0.36,0.38,-0.11,0.27,0.12,0.31,0.55,0.16,-0.07,-0.11,0.02,-0.12,0.25,-0.24,-0.14,-0.09
"yfaA",0.01,0.23,0.08,0.16,0.25,0.28,-0.11,0.22,-0.36,-0.12,-0.15,0,0.13,-0.04,-0.16,-0.21
"gyrA",1.85,1.45,1.26,1.19,1.5,1.58,1.81,0.8,0.81,1.25,1.28,1.05,0.16,0.6,0.73,0.55
"ubiG",1.03,0.67,1.15,0.48,0.38,1.29,1.13,0.13,0.11,0.12,0.45,0.5,-0.03,0.13,0.03,0.04
"yfaL",0.08,0.07,0.37,0.39,-0.3,0.59,0.5,-0.44,-0.57,-0.53,-0.2,-0.11,0.21,-0.07,-0.08,-0.1
"nrdA",1.07,1.51,2.33,2.43,0.03,0.85,1.69,1.06,-0.76,-0.68,-0.24,0.26,0.14,0.1,0.25,0.33
"nrdB",0.51,1.17,1.41,2.38,0.26,0.39,1.38,1.2,-0.58,-0.69,-0.4,0.16,-0.2,-0.28,0.07,0.05
"yfaE",0.57,0.5,0.54,0.48,-0.08,0.13,0.44,-0.28,-0.3,-0.3,0.04,0.27,-0.16,0.01,0.06,-0.21
"inaA",0.11,-0.2,-0.62,-0.02,-0.05,0.09,0.35,0.16,-0.2,-0.14,-0.01,-0.24,-0.4,-0.34,-0.26,0.09
"yfaH",0.3,0.68,-0.07,0.09,0.09,-0.17,0.11,0.59,0,-0.13,0.04,-0.19,0.17,-0.04,0.01,0.03
"glpQ",-0.28,-0.78,-0.5,-0.29,-0.41,-0.33,-0.82,-0.39,-0.05,-0.23,-0.2,-0.12,-0.36,-0.26,-0.05,-0.24
"glpT",-0.03,0.09,0.12,0.18,-0.13,-0.13,-0.17,0.29,-0.17,-0.26,-0.21,-0.06,0.1,-0.2,-0.05,0.08
"glpA",0.13,0.09,0.29,0.12,-0.03,0.14,-0.02,0.31,0.04,0.01,-0.18,-0.09,0.31,0.1,0.12,0.04
"glpB",0.21,0.31,0.19,0.35,0.1,-0.05,0.05,-0.1,-0.15,-0.22,-0.13,0.09,0.15,0.33,0.27,0.22
"glpC",0.09,0.17,0.2,0.04,0.1,0.13,0.12,0.54,0.06,0.09,0.02,0.09,-0.05,-0.14,-0.1,0.07
"yfaU",-0.02,0.14,-0.33,0.02,0.05,-0.15,-0.2,0.15,-0.05,-0.11,-0.18,-0.24,-0.07,-0.3,-0.37,-0.14
"yfaV",-0.17,0.46,0.43,0.11,0.08,0.09,0.01,0.5,0.02,0.03,0.24,0.29,0.45,0.03,0,0.04
"rhmD",0.02,-0.01,0.27,0.6,0.14,0.02,-0.14,0.17,0.12,-0.04,0.11,0.38,-0.02,0.01,-0.07,0.2
"yfaX",0.05,-0.08,0.15,-0.1,0.05,-0.06,-0.26,0.2,-0.19,-0.24,-0.13,0.17,0.36,0.25,0.31,0.09
"yfaZ",-0.13,0.42,0.07,0.36,0.14,0.26,0.13,0.28,-0.03,0.13,-0.26,-0.08,-0.1,-0.05,0.07,0.04
"nudI",-0.13,-0.54,-0.05,-0.04,-0.37,0.25,-0.43,-0.11,-0.22,-0.23,-0.13,-0.02,0.29,0.08,0.07,-0.17
"ais",0.32,0.37,-0.07,-0.08,0.3,-0.22,-0.17,0.75,0.04,0.12,-0.05,0.15,0.31,0.02,-0.5,-0.06
"arnB",0.46,0.06,0.25,0.06,0.54,1.06,0.9,-0.6,-0.07,0.14,0.18,0.27,0,0.2,0.31,0.15
"arnC",0.28,0.44,0.22,0,0.56,0.67,0.77,0.06,0.89,1.11,0.81,0.49,0.19,0.03,-0.18,-0.16
"arnA",-0.06,0.27,0.17,-0.28,0.55,0.87,0.65,0.17,0.63,1.01,0.53,0.46,-0.11,-0.06,-0.1,0.06
"arnD",0.31,-0.16,-0.11,0.18,0.03,0.14,0,0.54,0.09,0.15,-0.11,-0.27,0.46,-0.06,0.11,0.22
"arnT",0.13,0.13,-0.14,0.68,0.14,0,0.24,0.56,-0.15,0.09,-0.18,-0.13,0.56,0.07,-0.28,-0.1
"arnF",-0.33,-0.88,-0.74,0.27,-0.07,-0.36,-1.12,0.05,-0.51,-0.33,-0.24,-0.02,-0.39,0,-0.11,0.17
"pmrD",-0.73,-0.5,-0.61,-0.14,-0.29,-0.48,-1.09,0.87,0.23,0.23,0.05,0.11,-0.07,0.21,-0.17,-0.22
"menE",0.14,0.09,-0.08,-0.07,0.05,-0.2,-0.08,-0.03,-0.12,-0.2,-0.35,-0.26,-0.21,-0.16,0.06,0.1
"menC",0.33,-0.24,-0.04,-0.38,-0.02,0.41,0.36,-0.59,0.02,-0.16,-0.07,0.21,0.14,0.43,-0.27,-0.11
"menB",0.28,0.18,-1.17,-0.13,0.45,-0.07,0.42,-0.32,-0.06,-0.09,0.04,0.04,-0.1,-0.33,-0.22,-0.09
"menH",0.39,0.07,-0.03,0.06,-0.06,0.29,0.23,0.17,-0.16,-0.45,-0.07,-0.22,-0.13,-0.32,-0.22,-0.21
"menD",0.48,-0.04,0.15,-0.02,-0.58,0.65,0.2,-0.4,-0.11,-0.14,0.15,0.31,0.16,0.18,0.26,-0.09
"menF",0.67,0.42,-0.1,0.13,-0.04,0.52,0.11,0.43,-0.45,-0.22,-0.14,0.05,-0.31,0.01,-0.05,-0.01
"elaB",0.38,0.06,-0.39,-0.73,0.4,0.37,0.95,-0.3,0.34,-0.19,-0.39,-0.97,-0.03,-0.2,0.06,0.02
"elaA",-0.29,-1.03,-0.6,-0.03,-0.04,-0.49,-0.65,-1.06,-0.49,-0.75,-0.59,-0.42,-0.22,-0.23,-0.19,0
"elaD",-0.37,0.19,0.2,-0.07,0.54,0.65,0.55,0.67,0.27,0.41,0.29,0.24,0.17,-0.06,0.16,-0.05
"yfbK",0.01,0.01,-0.1,-0.11,-0.11,-0.03,-0.02,-0.19,-0.05,-0.06,0.08,-0.05,0.44,0.37,0.1,-0.3
"yfbL",0.61,1.25,0.27,0.05,0.52,0.26,1.06,0.53,0.17,0.15,0.22,0.16,0.19,-0.02,-0.02,-0.02
"yfbM",0.37,0.63,0.46,0.22,0.46,0.04,0.46,0.83,0.14,0.27,0.12,-0.08,0.18,-0.23,-0.18,-0.12
"yfbN",0.13,0.01,0.04,-0.08,0.15,0.4,0.37,0.12,0.08,0.08,0.28,0.08,0.21,-0.05,0.19,0.1
"yfbO",0.5,0.37,0.34,0.23,0.32,0.15,0.83,0.72,0.13,0.13,0.12,0.03,0.09,-0.13,-0.14,0.02
"yfbP",0.03,-0.03,-0.16,-0.12,0.09,0.38,0.03,0.01,0.31,0.41,0.29,0.17,0.21,0.09,-0.02,-0.12
"nuoN",-0.31,-1.09,-0.51,-0.8,-0.29,-0.2,-1.16,-0.34,-0.07,-0.09,-0.07,-0.33,0.32,0.11,-0.05,-0.15
"nuoL",-0.07,-0.41,-0.19,-0.43,-0.09,0.15,-0.39,1.16,0.14,0.3,0.24,-0.09,-0.02,0.05,-0.12,-0.09
"nuoK",-0.03,-0.15,0.03,-0.59,0.15,-0.37,-0.22,0.05,0.38,0.56,0.41,0.07,-0.17,-0.1,-0.03,-0.16
"nuoJ",0.13,-0.3,-0.27,-0.45,-0.17,-0.02,0.04,-0.18,0.05,0.08,0.02,0.14,0.06,-0.09,0.36,0.09
"nuoI",-0.64,-0.03,-0.14,-0.65,0.28,-0.35,-0.06,-0.09,0.24,0.38,0.35,0.21,0.04,-0.51,-0.63,-0.59
"nuoH",0.08,-0.09,0.13,-0.73,0.01,0.02,-0.15,-0.08,0.31,0.18,0.28,0.42,0.07,0.01,0.1,-0.21
"nuoG",-0.76,-0.18,-0.14,0.27,-0.31,0.03,0.06,-0.44,0.74,0.74,0.65,0.39,-0.25,-0.24,-0.02,0.18
"nuoF",-0.01,-0.21,0.55,-0.11,-0.05,0.71,-0.05,-0.78,0.61,0.47,0.55,0.42,-0.09,0.18,0.16,0.02
"nuoE",-0.33,-0.14,-0.12,-0.03,0.08,0.25,0.33,0.63,0.83,0.87,0.93,0.23,-0.29,-0.23,0.18,0.22
"nuoC",-0.22,0.07,-0.41,-0.05,-0.46,-0.23,-0.09,-0.01,0.63,0.82,0.7,0.57,-0.15,-0.18,-0.43,-0.03
"nuoB",-0.09,0.59,0.06,0.05,-0.25,-0.41,0.57,-0.89,0.18,0.18,0.48,0.56,0,0.06,0.33,0.11
"nuoA",0.07,0.24,0.23,0.21,-0.72,0.46,-0.23,-0.65,0.64,0.51,0.46,0.3,-0.36,-0.3,-0.15,-0.07
"lrhA",0.72,0.1,0.17,0.32,0.1,0.13,0.13,-0.32,-0.18,-0.15,-0.19,-0.21,0.13,0.07,0.21,0.1
"alaA",-0.64,0.02,-0.14,-0.36,-0.28,-0.44,-0.62,-0.1,-0.08,-0.03,0.16,0.06,-0.15,0.03,0.07,0.06
"yfbR",-0.38,-0.03,0.19,-0.1,-0.09,0.01,-0.09,-0.07,0.05,-0.21,0.18,-0.2,-0.07,0.05,0.05,0.13
"yfbS",-0.07,0.41,0.28,0.46,-0.79,-0.28,-0.89,0.05,-0.15,-0.07,-0.26,0.03,-0.04,0.37,0.26,0.07
"hxpA",-0.28,-0.15,0.07,-0.45,0.68,-0.39,0.01,0.1,0.12,0.05,-0.09,-0.24,-0.45,-0.3,-0.09,-0.28
"yfbU",-0.18,-0.81,-0.05,0.13,0.19,-0.13,-0.45,-0.37,0.02,-0.15,-0.44,-0.31,-0.24,-0.37,-0.54,-0.68
"yfbV",0.53,0.41,0.4,0.09,0.1,0.18,0.51,0.5,0.05,0.24,0.44,0.23,-0.15,-0.2,-0.35,0.09
"ackA",-0.35,0.1,-0.58,0.12,0.03,-0.42,0.1,0.1,0.43,0.73,0.82,0.51,-0.2,-0.1,-0.16,-0.08
"pta",0.08,0.14,0.35,0.02,0.17,0.25,0.26,-0.87,0.33,1.01,0.94,0.6,-0.23,0.12,0.16,0.12
"yfcC",-0.07,0.49,-0.08,-0.1,0.15,0.11,-0.3,0.32,-0.04,-0.08,-0.09,-0.05,0.02,-0.14,-0.02,-0.16
"yfcD",0.75,0.58,0.7,0.25,1.21,1.4,1.4,0.45,0.56,1,0.83,0.71,0.09,0.05,0.22,0.34
"yfcE",1.31,0.82,0.83,0.09,0.81,1.02,1.46,-0.35,0.59,0.69,0.81,0.95,0.18,0.24,0.22,0.02
"yfcF",-0.3,-0.63,-0.67,-0.28,0.18,-0.1,0.24,0.65,0.21,0.11,-0.47,-0.98,-0.21,-0.33,-0.3,-0.06
"yfcG",-0.11,0.39,0.31,-0.13,0.35,-0.02,0.23,0.35,0.39,0.25,-0.15,-0.02,0.02,0.1,0.14,0.07
"folX",-0.56,-0.21,-0.12,-0.15,-0.01,0.18,0.03,-0.28,-0.34,-0.36,-0.23,0.33,0.21,-0.06,0.05,-0.26
"yfcH",-0.67,0.01,-0.08,-0.52,0.17,-0.11,-0.24,0.02,0.16,0.06,0.11,-0.09,-0.33,-0.11,-0.22,-0.15
"rpnB",0.04,-0.16,-0.08,-0.1,-0.14,0.02,0.22,-0.08,-0.25,-0.2,-0.05,-0.2,0.26,0.06,0.07,0.08
"hisP",-0.32,-0.46,-0.29,-0.86,-0.35,-0.53,-0.63,0.16,0.18,0,0.15,0.3,0.19,0.01,-0.11,0.16
