"","0","0 | 1","0 | 2","1800","1800 | 1","1800 | 2","4800","4800 | 1","4800 | 2","11700","11700 | 1","11700 | 2"
"yaaU",0.895493978900197,1.31680945244676,1.221364959914,0.900975505094921,1.62955528115397,1.12157525963604,1.17053189096955,0.986071101345462,1.0774286009861,1.02160228570267,NA,1.18350214677141
"kefF",0.996890666822129,1.03603461731247,1.0402433149248,0.775132444804923,0.500423105442095,0.630682739394306,0.913715157973386,1.01032183473289,1.36206656836647,1.40212770773792,1.7964049729277,1.77246689993442
"kefC",1.11064207161011,0.896027660945979,1.02495780305668,0.676481939399408,0.62911364300547,0.566337003002747,0.864702705287266,1.00981389985345,0.975663624744024,0.745088319209042,0.925788533419166,1.1412869252605
"folA",0.440472666592263,0.990367615453828,1.25318360966668,0.704059924503949,0.883129225852004,0.762951898993817,0.876113550185694,1.22333847586668,1.3039098304268,1.91100789556458,0.753417932418108,0.950997662409234
"apaH",0.790134811688917,0.943210979957566,1.04547066447536,1.06723160999841,1.02321698379295,1.14960783624432,0.907833854704078,0.805319759935691,0.972092761488954,1.02159051467935,0.824483477661746,0.809844897600574
"apaG",1.25664467030627,1.08631260875033,0.89158459950219,0.770823564820197,0.895175356083575,0.813978728210797,0.702556532392994,0.763200042608544,1.05720221737309,0.554443294539116,1.10812190141905,1.01143919951263
"rsmA",0.786515475205641,0.939236937667807,0.937604506464016,0.920429170693983,0.943859424390616,1.04504631720078,0.787670962585434,0.777402199712794,0.984647216174073,0.827482379239546,1.1377735168947,1.12306685622387
"pdxA",1.40209799473899,1.15263504055812,0.738860900879757,1.00698363809283,1.32229956198472,1.25043943559282,0.999114145706081,1.10137914734828,1.01154664234679,0.541140420647275,1.31969486271973,0.78870602242189
"surA",1.04734299809676,0.971670437170769,1.0692768200866,1.25423459285605,1.30959034169134,1.35891097844947,2.45258362428871,2.02462562518668,1.6747795300554,1.01364256030216,1.08101355922055,1.3096521274861
"lptD",0.73757179766951,1.183006035429,0.957302583567118,1.08162503398959,1.16139501197639,1.20598048838839,2.27493554580949,2.72152402140542,1.89220576518759,1.00852249535804,1.15392788001864,0.934534433464566
"djlA",1.28491100009826,1.0009096395814,0.90626446478229,1.17118579599242,1.08867655191851,1.08936494264168,1.05320561425632,1.1284205659397,1.28890911557095,1.07168105536426,2.18768715544525,1.67568218728171
"yabP",0.791690299822681,1.12203865139524,1.25563267726629,1.03305563332324,1.12560492413792,1.00498116766129,0.907004148782426,0.670966095618356,0.849349675649604,1.3875680261756,0.724014347997069,0.715909773294344
"yabQ",1.11089135478613,0.938651026037263,1.0438320821902,0.804067425195401,0.775955934968523,0.59746532327179,0.388359767434326,0.187315607259416,0.337810436418406,0.533252159077917,0.20982314319204,0.304681037160833
