"","0","0 | 1","0 | 2","0 | 3","0 | 4","21600","21600 | 1","21600 | 2","21600 | 3","21600 | 4"
"bioA",2.0388,2.1287,2.4165,1.0074,1.6799,2.0677,2.1709,1.9902,2.2987,2.1509
"yeeN",4.318,4.3928,4.8221,4.1805,4.0518,4.4852,4.1082,4.1616,3.8798,4.112
"skp",6.0285,5.9154,6.2858,5.9464,6.0047,6.0325,6.1155,6.0733,6.1874,6.1497
"yjeI",6.2977,6.1497,6.3689,6.5102,6.3566,5.9623,6.3774,6.2459,6.4133,6.3515
"ugpA",1.5034,1.4185,1.2999,1.3287,1.2717,1.3151,1.4077,1.4306,1.4621,1.2421
"ybdK",0.4019,0.4154,0.3911,0.4075,0.3937,0.3384,0.347,0.4656,0.4049,0.3669
"ybcF",1.1604,1.1251,1.0718,1.0931,1.0611,1.1699,1.0922,1.1588,1.0089,1.0455
"ynfE",1.4418,1.3156,1.2298,1.3462,1.2721,1.6072,1.4939,1.6058,1.3444,1.4482
"lsrG",0.3261,0.4183,0.3464,0.4228,0.3352,0.4524,0.3751,0.3748,0.3134,0.3269
"fimE",2.272,2.3254,2.0146,1.8915,2.2902,2.2625,2.007,2.2997,1.864,1.7892
"ubiK",0.3563,0.2974,0.3218,0.2933,0.3669,0.3405,0.3957,0.329,0.355,0.3807
"pqiA",2.3042,2.3392,2.3625,2.3294,2.2214,2.469,2.186,2.4031,2.3482,2.4515
"cmoM",3.961,3.51,3.2261,3.4081,3.9269,3.2945,4.1243,3.7905,4.0306,4.237
"yfaX",1.4515,1.5073,1.0754,1.4077,1.4826,1.5934,1.5727,1.5373,1.6072,1.5534
"yhdJ",1.2322,0.8147,1.4174,1.1322,1.0892,1.369,1.2596,1.2003,1.2064,1.3233
"pphA",2.0654,2.1297,2.0905,2.0911,2.1546,2.3042,2.1367,2.3415,2.1274,2.1958
"astE",4.0667,4.1134,2.7895,4.0466,4.0381,4.3339,4.1554,4.1752,4.0991,4.2575
"mdtC",0.8589,0.9279,0.726,0.8971,0.6722,0.95,0.7674,0.7894,0.6572,0.8993
