"","0","0 | 1","14400","14400 | 1","0 | 2","0 | 3","14400 | 2","14400 | 3","14400 | 4","14400 | 5"
"rihC",0.890489168334318,0.94372234233343,1.02522088393457,1.17942633903249,1.00765946259173,0.848260566891859,0.929972995468046,0.807362499521408,0.915676864511191,0.826251135843311
"dapB",1.09808547033348,0.944278536306151,0.707426997647855,0.678943969637419,0.83601481174786,0.820737796655752,0.92455613722576,0.924584654363688,1.00074921773433,1.05266098963412
"carA",0.936790356079141,1.05149400959529,1.13580101804714,0.887276702002286,NA,NA,NA,NA,0.797578122284764,NA
"carB",1.04055950154762,0.92539920781375,1.26571901826443,1.26419458112634,1.08158270982319,1.09791448328681,1.06823266756816,1.18150538191865,1.1730377775935,1.12531061596008
"caiF",0.914763450541749,0.855901433474931,0.834432990438243,0.902046175091767,0.974747717851813,1.05019009217329,0.838946884152519,1.09566594237379,1.06696361276875,1.00901060103046
"caiE",0.82401292100424,0.785835941799529,1.04345770630652,1.35120461524048,1.05038282444075,1.024039933624,0.973415159673129,1.04664385346781,1.18787127718485,1.26250087784255
"caiD",NA,NA,2.25356437896194,2.14286330462126,NA,NA,NA,NA,NA,NA
"caiC",NA,NA,NA,NA,NA,NA,NA,NA,0.858124799328598,NA
"caiB",0.907222587360745,0.969891537132647,1.36639102508806,1.31831442150529,1.04674341775791,1.03223092025411,0.974557308320903,1.09167454611678,0.995720096992882,1.10543643543246
"caiA",1.23548162671746,1.15321709240036,1.21504581020887,1.06729774335131,1.07914220883195,0.98664476270247,1.16763977548994,1.17004300165463,1.13583626893407,1.11649778497963
"caiT",0.685266187876348,0.820973751254041,0.643346189572074,0.704884889483845,1.07334616433781,1.2886228632877,0.938844146996519,0.815919946450477,0.978152516360774,NA
"fixA",0.879606811322029,0.941017416537304,1.04766397657101,0.910045558428879,0.706979282663782,NA,0.688609615289,NA,0.813668419891398,1.16179901836492
"fixB",0.892034651187687,0.911647689511825,1.04825760948682,1.11183243505967,1.01963014085462,1.12038151583811,1.03064586448291,1.22733563541932,1.10828272995749,NA
"fixC",0.967855482187308,0.947320419346604,1.38216354956262,1.58900637312144,1.35772945336419,NA,NA,1.13837312194596,NA,NA
"fixX",0.749822485195302,0.876077576522793,0.915175677862986,0.876192517795413,0.954879324348718,0.862907460490388,0.891580012722803,0.88166363633753,0.950216038488055,1.02857210694679
"yaaU",0.847263411084442,0.871380270670339,0.907770728028754,0.954595866833633,0.869287038747572,0.966749934048274,0.989231713133457,0.840730662460398,0.993130957567304,NA
"kefF",0.993415089567643,1.06367854287639,0.874241544725625,0.832686390655291,0.928998204250498,0.872960828617962,0.926566511042849,0.968892353885297,0.940219728609754,0.983744275786571
