"","0","1200","3000","6600","0 | 1","1200 | 1","3000 | 1","4800","6600 | 1","0 | 2","1200 | 2","3000 | 2","4800 | 1","6600 | 2","0 | 3","1200 | 3","3000 | 3","6600 | 3","0 | 4","1200 | 4","3000 | 4","6600 | 4","0 | 5","1200 | 5","3000 | 5","6600 | 5"
"yaaW",0.90250072746243,1.06732533803996,1.17364817828135,1.09505247079357,1.17121018121881,0.931740429304773,1.12116607802851,0.929160674250913,0.871758239537062,0.963261894020148,0.66803703919505,1.08748839085488,1.29683955465101,1.4896774631227,0.964598184584138,0.869947352708651,0.955945317593742,1.54863805570644,1.02384690042844,0.820741608810498,1.05628562535186,1.40347172603908,1.34257250278026,1.01747969210269,1.15508578455358,1.84420623582526
"mbiA",0.978741650397436,1.07103082319145,0.906261938267334,0.952637998043937,1.2736774753265,1.46003201065452,1.01395947979003,0.337743521133909,1.31039340385836,1.09353545748463,1.05409142329074,1.11651296198257,0.871758239537062,1.00695555005672,0.990342871933025,1.35848628454894,1.02597814533714,0.792234810924969,1.05117290908771,1.06437018245336,1.15668818390529,1.23541863712693,1.09885421757688,0.955282936382437,1.04318859352986,1.19997138237322
"yaaI",0.954621014139717,1.05995278339728,1.02242853060992,0.618566239343586,0.845572287377517,0.903752726751086,1.01747969210269,0.922103117912631,1.05409142329074,0.990342871933025,1.07549439045738,1.00486382042379,1.147902413855,1.0747491728555,1.04318859352986,1.07922823650443,0.890075733252496,0.813379198132126,1.04318859352986,0.845572287377517,0.925304428037852,1.31494276020507,1.06363267289318,1.02242853060992,1.00695555005672,1.05921833468388
"dnaK",0.089003137224817,0.194521294138855,0.890075733252496,0.428390977384285,0.587230985606827,0.478304079045937,0.519789717587639,1.04971668362307,0.978063473447339,0.784584097896751,1.13681697323601,1.05921833468388,1.17364817828135,0.906261938267334,0.716977624007914,1.2217931016735,0.826450318154212,1.12583858613676,0.9246632781137,2.68514500556053,3.26934131395313,1.18345102175257,0.75471298426028,1.08899701533611,1.06584673606794,1.01536610086943
"dnaJ",0.160428237195363,0.389312345530831,1.04971668362307,0.682546858942583,0.684441906545919,0.685866644295299,0.821310700752066,0.900001929793512,1.18099266142953,0.798851916449148,1.19250887233063,1.07028869842662,1.11342161822869,0.950000382874886,0.749499800877774,0.911301280637142,1.04971668362307,1.16231410751812,0.683967651951245,2.79529394370213,1.7987566242955,0.944747040997206,0.682546858942583,0.856188284546457,1.19168257457405,1.06880599121101
"insL1",0.680657058249737,0.648869383469592,0.654289035727505,0.707597080163328,0.911933165519769,1.12896440480613,0.925946022527324,1.09505247079357,0.879649075922436,0.929804942613162,1.51992485640152,1.34630006927678,1.21335356024869,1.28877463048502,1.18591449941095,1.23627526092095,1.05336103595484,1.11110872865509,0.865736565519658,1.94800853708648,1.90791910109512,1.03025395362007,1.03096831879479,1.05190177920387,1.01677467329196,0.879039560911787
"mokC",1.57461595313841,0.924022572446823,1.17364817828135,0.907519155317161,1.75807912182357,1.60325065879879,1.63807339571966,1.12896440480613,2.24077842838835,1.8493265562274,1.06510820339342,1.57898777340111,1.88295692908241,1.18427161185363,0.891928519420093,0.969289816935065,1.12505848468881,1.22348804113187,0.936272247434492,0.843815796130018,1.21756601866299,1.19333574303172,1.37458869557203,1.41323364388273,1.147902413855,1.0747491728555
"nhaA",1.49796093442418,1.3764956015907,1.30405073525856,1.20246924889818,0.637722195839272,0.403600537252382,0.299992845593304,0.610473256334567,0.680185426202978,0.767905134851049,0.557483109363849,0.441351498145327,0.590905773467183,0.689202576487815,1.16554119813456,0.886381699194867,0.769503610080431,0.84909624644684,0.721464343430814,0.397217200048052,0.327825503553912,0.303969820795774,1.18920711500272,0.688247800795349,0.574349177498517,0.503128911748891
"nhaR",1.62675839626425,1.55186170854971,1.2158792831831,1.15108949132776,0.622005826649234,0.41208104247662,0.382359069470692,0.429580377473592,0.61089655083675,0.734075318017052,0.680185426202978,0.363241262392842,0.642603168734686,0.732042847972813,1.17039864147459,1.14234624684855,0.880869374126979,1.01395947979003,0.718968266423479,0.445964259710046,0.381036207584942,0.359982829628671,1.25527199128264,0.546767728742316,0.607939641591549,0.524494663787473
"insB1",1.92919636916828,2.21606469572985,1.32960710818171,1.59438495308107,0.834509281155409,0.893785162356787,1.21419488439505,1.16070391438372,0.891310495896971,1.03598276356002,1.26575659397028,1.03885910329766,1.07549439045738,1.24573741556947,0.906890328933143,1.55509207176512,1.58117823320789,1.35284823105027,1.38895513576511,1.38319062901096,1.45598954899909,1.06142320894979,1.21419488439505,1.24228828178444,1.65748980897598,0.959929261038908
