
tf,tg,kd
lrp,pqqL,2.646517844146564
lrp,yddB,1.8550053609654933
lrp,yddA,2.589539812879853
lrp,ydeM,1.430658145666751
lrp,ynfE,1.7886335912542972
lrp,astE,2.218918499123527
lrp,yeaG,3.122833534235624
lrp,flhE,2.7453898041713454
lrp,psuK,1.4418882969136382
lrp,nuoF,3.2646878305496427
lrp,yfcF,1.5733685348320192
lrp,yfcS,1.845556453726363
lrp,evgA,1.7110367000261788
lrp,eutR,2.391514905116646
lrp,yphH,1.7575279315126517
lrp,cas3,1.375841326971443
lrp,gcvA,2.845970390524057
lrp,ttdB,1.7110337723845992
lrp,glgA,2.4331255444118405
lrp,livG,2.142566365993187
lrp,rpoH,1.2420956140361772
lrp,ccp,3.1307233536308563
lrp,yiaV,1.7110337723845992
lrp,waaB,2.4919696278741754
lrp,ilvX,1.1214293061376521
lrp,mobB,1.8741156516768651
lrp,aceA,2.935866007075437
lrp,lamB,2.407463135720734
lrp,nrfG,1.2168899456902016
lrp,mdtP,2.4825045491895863
lrp,ridA,1.5542672407093676
lrp,argI,3.2503201565354187
lrp,fimI,2.43311962432633
matP,abgB,1.0002260510875458
matP,tynA,1.0283780934898525
matP,ddpX,1.0054424600361758
matP,marB,2.8210097522307134
matP,menI,1.0042762080940646
torR,torC,2.7327257573066253
torR,ynfT,2.7327257573066253
torR,ygbE,1.8351216593904092
csgD,mog,1.8469223449489287
csgD,fkpB,2.1995385117152804
csgD,sgrT,2.8141533982717437
csgD,yabR,1.8424033448120898
csgD,rsmH,3.132240198884111
csgD,secA,1.6142429970751209
csgD,folK,2.5227105753433525
csgD,yaeI,1.6461876500769774
csgD,yafD,2.675034173561567
csgD,ykfM,2.2778582800967233
csgD,dinJ,3.2718488292506103
csgD,crl,1.8635517821657177
csgD,yagK,1.499345212402418
csgD,ykgR,1.6224082161258904
csgD,yahC,1.845871035501659
csgD,codB,1.682104282715088
csgD,yaiP,2.9307008308009035
csgD,phoA,3.2049151825209865
csgD,thiI,2.8606738330132453
csgD,clpP,3.063582518436899
csgD,decR,2.9527099876358793
csgD,ybaY,2.474068667870523
