"","0","120","300","300 | 1","900","0 | 1","1500","2100","2700","3300","3300 | 1"
"yabI",0.887973489325767,0.139379852311282,0.977687358967421,1.08918085762265,1.80675805669422,1.26357201852265,0.140863994636126,1.15691113213155,1.04616455102201,0.859409202953283,0.837143674435155
"setA",NA,NA,1.34524070514863,1.62143670477361,1.41156213518796,0.977687358967421,0.275867157507639,1.06733315426184,1.12227683834508,0.398841186909053,NA
"leuO",1.53073495635073,1.26182753459067,NA,NA,NA,NA,1.29330215133957,NA,NA,0.756658647868493,3.54731699836691
"ilvI",0.839459986519397,NA,0.978362954784595,1.23936720482068,1.86766938564439,NA,0.962498364017518,1.38739460060306,1.67571439336082,1.11326870288385,NA
"ilvH",0.851138038202376,NA,2.82487997491571,1.16439411019742,1.72424906834164,1.43548943335366,NA,2.02115676696075,1.472651553948,0.942974611459899,NA
"cra",0.688810882652681,0.624740987901554,0.825277490767583,0.574380913496318,0.782708409590612,1.01671680046638,0.966941054609122,1.16493045699045,1.32342702836741,1.04520144145844,0.864768775480223
"mraZ",1.48149435155883,0.710558763369474,0.571215521623043,0.724269171733695,0.978588257118012,1.01788801301542,0.791224998134313,1.02730641483868,1.09572103738189,0.829850767514422,0.766831597863027
"rsmH",1.06905487922266,0.984691071376939,0.666192900223455,1.25487364993048,2.07730372557256,1.30406728515981,1.0299117193407,1.37056614531154,1.44012437117557,1.25776643245125,1.15851056852473
"ftsL",1.31764979865722,0.850158693187437,0.726105957435155,0.997240711741549,1.62442625419354,1.51181969936082,1.08717635911574,1.34493098768813,1.59294213512763,1.37182906488828,1.35518941235104
"ftsI",1.60103195466733,0.819596320481846,0.746276902018144,0.964050979010747,1.44843829990071,2.1632165654073,2.1183611352485,2.31579440322508,2.23151597387177,1.29658203538263,1.31099187464978
"murE",1.20281822535565,0.614893638512626,1.09320094892763,0.9349750030886,1.48970405525771,1.31250207900028,0.565067071335312,1.03705072632576,1.09698325929919,1.12875581323824,1.18822859619
"murF",0.860993752184601,0.75214227608716,1.12098551287531,1.31977531170712,1.75711424659509,0.87801108709653,0.70745692162786,1.32068729514642,1.2407949007361,1.4955467727444,1.76075933676303
"mraY",1.02517970482556,0.776783514384352,0.679672971950456,1.29568669751702,1.55167227390723,0.883690121141457,0.609677264457244,1.59220872705117,1.44777142297908,1.54846003176182,1.77705144231456
"murD",0.901778755934155,1.10306219406665,0.654184123569238,2.0691882329489,2.77268159761239,0.978813611335182,0.987643022777106,1.31916767264015,1.45713570473042,1.24968339721122,1.59918975916768
"ftsW",1.08342786215014,0.523721013923193,1.35082783165087,0.667421203858477,1.61027481300942,0.791589454624261,0.558341617025927,1.40345987292118,1.09194307905035,1.76766515092823,NA
"murG",0.846837341322241,0.752315483186872,0.849571627156121,0.852511016826366,1.37088176616485,0.82489752393533,0.94689102465083,1.04857620938077,0.99747036133962,1.15691113213155,1.13396591334766
"murC",0.596073754509684,0.396734528931655,0.19133745805423,0.358921934645005,0.408695635628158,0.340800324800365,0.409072231621668,0.91033239967991,1.05196187382322,1.41971117232527,1.26269947529497
"ddlB",1.30196707006414,1.19206517313275,0.698071648633029,1.16332215731754,2.18122265608352,1.93909907861485,2.03095359322822,1.50695401522635,1.25834578869028,NA,1.22151836278326
"ftsQ",1.41905752168909,1.14024978756117,0.609115989461338,0.775711089275527,1.92087896175202,2.36428594240174,2.22484622928627,1.17760597352081,1.09370450250796,NA,1.32038323066665
"ftsA",1.31401402303904,0.802971257669863,0.961833723287218,0.4905688861018,1.20670190959328,1.36332688768635,1.10535046938284,1.1048415538713,1.0700399687349,1.1297959146728,1.17598017406585
"ftsZ",1.04039917705135,0.656145266302905,0.275994228285426,0.833873168908596,1.08243044760913,0.999079389984462,0.906984781505793,1.68538839812662,1.35706296962399,1.21255096057149,1.13657997475015
"lpxC",1.39444053887146,0.479071130003074,0.550300617323457,0.784332118881962,2.90937699189655,3.44349930763339,3.46736850452532,6.3988215683256,7.99097919581098,3.7514572346201,2.55211358913023
"secM",1.01882595439313,0.804266538015677,0.38886602433123,0.697268426407638,1.03561897704499,1.05998568450917,0.953015578708126,1.45780689505628,1.43119892054185,1.10179297754425,1.07497904882008
"secA",1.33413568290311,0.673131632727625,0.595799315598138,0.892483097758035,0.914955558721381,1.22292549762624,0.700809531646793,1.77500671350065,1.42331163646664,1.44977297542214,1.37246096100756
"mutT",1.0670874200131,0.78559733226099,0.58465544675275,1.24365522838814,1.23225332871988,1.19811912319003,1.0526887943825,1.11583505228867,1.39508285035737,1.08193208472766,1.32556186071986
"guaC",1.417751123122,0.93003651475396,0.573323838653841,0.83888030834086,0.530029448835796,0.317175767906771,0.218222737756591,0.514635807013727,0.47522578856219,0.291809885374184,0.177092431134506
"ampD",0.739434994255187,0.956973694587658,1.13893778187571,2.52057717963911,2.1988722577531,1.76481830623216,0.702263343735764,1.8840828656596,2.23460105773122,2.53162863912695,NA
"ampE",1.13187899365542,1.33567254789169,0.89084059640082,1.55202960078914,1.53461698279929,2.69773943244492,1.7934942968627,2.63329794367551,2.61938900372149,2.6983606814263,4.11339106152455
"pdhR",1.3143166207857,1.23168598573636,0.861985578705759,1.47944900467418,1.04857620938077,0.512035414938307,0.757879220916049,0.673907050439862,0.883079900418563,0.448125853325155,0.55911352757056
"aceE",0.9057326008982,0.867760744991146,0.352046474889421,0.908238693260384,0.579829089865608,0.164172344397712,0.191205332460453,0.163493315112983,0.229773531936064,0.126240876146705,0.142856498139461
"aceF",0.70761983835979,0.413809064816725,0.622300285169159,0.682181597938182,0.406817849752194,0.183147080466135,0.172186857498601,0.127291674619356,0.210911373541071,0.25304630494614,0.166188129602427
"lpd",0.985144642804035,1.02235093850323,0.381856335045978,0.565848279859785,0.271769052344228,0.164892157315083,0.180800655211001,0.106120674088882,0.117760597352081,0.120226443461741,0.0942106499588191
"acnB",0.843917514030476,0.587489352529777,0.322775081904805,1.16949939101987,0.438833728700365,0.0961169541515931,0.106733315426184,0.183950088029815,0.13369033144728,0.0575837574486839,0.0702101660240315
"yacL",1.02801629812647,0.563767453135264,0.341821991417658,1.08918085762265,1.11096403539271,0.813579505605396,0.573455866545964,0.798913941667404,1.04063876539751,0.980392544604421,1.1068786228588
"cueO",1.1023004888112,0.689445593170923,0.93454453031534,1.73340482058893,1.4876473740795,1.55238700995808,0.391832089394111,1.18304155572516,1.33721118328042,1.28056020070379,1.13579512422707
"yadG",1.07028638291138,1.60657128371135,0.594155333542215,1.00415325412088,0.788860117618554,0.93583654358353,0.331970887874679,0.788133885093416,0.920661537501971,0.719780372802699,0.622157011728757
"yadH",1.17084660232024,NA,0.971851702940169,0.821296552834554,0.69919771445146,1.05414414278539,0.622443591603289,1.37720946889395,1.54170045294956,0.935405674147552,NA
"yadI",1.56242795227648,NA,1.23452531517069,1.30827788444524,2.20902179094387,5.10387465387311,NA,5.74513184816943,4.74569693191243,2.45697082763684,5.8708366939627
"yadE",0.957414498751486,1.18032063565173,1.01227846999511,1.42495122818881,1.55991164440754,1.28528665994362,1.97651447843403,2.05968117659736,2.45470891568503,1.0282530348811,NA
"rpnC",0.904065715519658,NA,0.691194064398049,1.53603106838503,2.14634731772398,1.49451404236646,0.782708409590612,1.82852120023909,1.53532386278954,0.890225438010211,NA
"hrpB",0.794694120636604,1.15425031036467,0.762781234069161,1.20420381847176,1.61659041695447,1.3143166207857,0.78487410348873,1.43449817479053,1.57979232648838,0.826418441715796,1.32038323066665
"mrcB",0.780189318265061,0.746276902018144,0.552458932613276,1.99756076844271,2.3911124459497,0.840620544850771,0.602420857574626,1.3430741797949,1.60509225809689,1.02188023688844,1.14103771631973
"fhuA",0.829468695095263,0.747652861790718,0.61887081141903,0.997700063822553,0.839073489910136,0.509213606791151,0.120115761793758,0.37127867027564,0.816018491019736,0.290201731938023,0.313906276913766
"fhuD",0.970286524792922,0.567022118160543,NA,0.611927541123909,0.567413938477908,0.431519076827765,0.588572545261201,0.933684179260766,1.2061463307641,0.980618314321971,0.751622894018205
"fhuB",0.802416776308585,0.855263621940466,NA,1.58306956670644,1.14683252142248,1.56783371729573,1.05487257132344,1.16493045699045,1.62742131564223,0.9754387404403,1.02612436519334
"clcA",0.953235043920515,0.953893742841545,0.700648182865412,1.03705072632576,0.874983775227436,0.82489752393533,1.04881768077499,1.41709837491403,1.79143064840603,1.01671680046638,0.998619402846525
"dgt",1.67378626600199,1.15851056852473,NA,1.04207745456498,0.760326276940182,1.57072443536465,1.03681196406103,0.719283337825269,0.837722152575059,0.600067353864116,0.759801243515852
"degP",1.18549574625455,1.49933956006056,0.513097619778,0.93389919274143,0.52735127456244,0.208545104769317,0.21983660069914,0.349220717263407,0.431419727326874,0.163305194789433,0.100023028502082
"cdaR",0.850942078987996,0.89970472234933,0.644317608047901,1.41840417200086,2.1512951592892,3.63915036127207,4.75663689318604,2.59179113461595,2.61095868658593,2.25735571102145,NA
"rpsB",0.65448545587044,0.901363567078142,0.224439865617831,0.426874291292974,0.244849938911193,0.260435390455169,0.287739841473567,0.174823576223745,0.209797350861925,0.185994456322258,NA
"tsf",1.14182618954822,1.01507936657269,0.274915989655104,0.489666056610403,0.392373799544861,0.214289060112006,0.118276918169953,0.119591413769408,0.159404288071222,0.104857620938077,NA
"pyrH",1.08218123748032,NA,1.27408968591911,NA,NA,0.48439538854784,NA,0.875588401413115,0.58465544675275,0.632411851376219,0.669113820045859
"frr",1.31795323366855,0.830806718701914,0.305632828036597,NA,NA,0.56156495835751,0.620440301191381,0.729121659995067,0.608835545761395,0.330826278855698,0.370680721782576
"dxr",0.862581222953479,0.751969108865265,0.780189318265061,0.504545108382737,0.680455924994638,0.567152694860832,0.501071844287176,0.541751347231347,0.797994687267977,0.578096047405718,0.449779854893288
"ispU",0.782888655613014,0.633869711256927,0.53370343745683,0.310098738853234,0.245414376313743,0.326663040458069,0.119784327782586,0.237684028662488,0.26736219619998,0.225423921215243,0.181551566277314
"cdsA",0.942323452603068,0.649381631576211,NA,0.408601540813823,0.446066902055135,0.437723637934766,0.265766354955431,0.579428696426881,0.661302249481767,0.494994074396935,0.342294562316041
"rseP",1.31977531170712,0.909494338555295,NA,0.449676301176907,0.581031931011907,0.353997341083435,0.531618395073963,0.552968000492802,0.59841159506032,0.449262324670293,0.354323534878385
"bamA",1.02801629812647,1.02305739748667,0.484953390498341,0.489327924081937,0.337675848642033,0.268843784306457,0.192486377778253,0.254272855369,0.278933065633998,0.352533181195886,0.197106070524103
"skp",0.792136454152851,0.816206407854934,0.336589062949252,0.398474009717775,0.337442670975413,0.448332270432733,0.369402644358283,0.311817151590146,0.397557544927053,0.464087637808009,0.252057717963911
"lpxD",1.13135786411956,0.614469031705761,0.281254836904023,0.327416076537575,0.401051366086576,0.491699764177874,0.45983285677,0.500264862421006,0.426972594048034,0.26127628960311,0.298950992781459
"fabZ",1.20809197654095,0.570558263871129,0.327566891936847,0.369743033498097,0.306407929380605,0.375577874655772,0.268163706676073,0.547772215655659,0.404669059465087,0.281578829971031,0.249976970217851
"lpxA",1.11403798733062,0.669267906935843,0.366944176733716,0.570164272280748,0.558213068917726,0.46719695117188,0.498081028356724,0.684069141889366,0.65328095883039,0.396917274009473,NA
"lpxB",1.16680961706096,0.469785923943937,0.994031163465777,0.58398272461893,0.248313310529557,0.404669059465087,NA,0.503616557436085,0.651628394060843,0.316082171275835,0.195659076793494
"dnaE",0.809282221844374,0.641061949620743,0.878415519261456,1.56027086869306,0.824138115013002,0.366268862758784,0.357026128039015,0.901778755934155,0.954992586021436,0.523841619027791,0.316154960265229
"accA",0.770725982415519,0.521434785414458,0.401420918204321,0.437119317926224,0.252464314594825,0.356861749283481,0.27561319143948,0.362076217756673,0.429042189238885,0.269463533235047,0.184374136777174
"ldcC",1.1476249989434,1.46656055527827,1.09723587811191,0.978362954784595,1.03062340293082,NA,1.23965261252325,2.31472818601524,2.04267841627554,2.64606190285294,3.75664364614459
"yaeR",0.919178801694491,1.00925288607668,0.807792841091855,1.0195299775626,1.12512299296577,0.779830110523259,0.52360043658575,1.07919518749823,1.37372562657799,1.44843829990071,1.43747400587436
"tilS",1.02023448722206,1.45881426027535,0.697107892902004,1.58379876507478,1.62629752101341,1.57398286446622,1.10103214872977,1.31371149496006,1.43681217703428,0.998159627491724,0.918544074724686
"yaeQ",0.883893621739406,0.7445605127728,1.02565192625141,0.926403100736399,0.912220861791043,1.38611735123824,0.646546849775043,0.957194071294844,0.926616437493744,0.686910254871884,0.561823628134228
"arfB",0.956312868845997,0.826608753503856,1.31643675705561,0.731307453862483,0.707782792609003,1.05365880322972,0.223357222283053,0.58438626495566,0.706968396449402,0.921297727668556,0.868560350348777
"nlpE",1.02282185693405,1.0587660331137,0.848203382452404,1.38102010144455,1.55202960078914,1.64134546670214,0.991973339239081,2.03095359322822,1.66763115461013,1.39476165763999,NA
"dkgB",1.24537458900072,1.10153930954141,0.551569191260803,0.899911910870052,1.0174193661806,1.08968255945617,0.977687358967421,0.724769651992996,0.56689157152319,0.348899221173461,NA
"yafD",0.852511016826366,0.653130552647472,0.944495732507707,0.69887579613471,0.936698877952116,1.32984186213316,0.763132588705103,1.66724721255106,1.7852539390862,1.67957731398808,1.88625324535107
"yafE",NA,NA,2.3474697253406,0.607715061560915,NA,2.23614519872252,NA,1.18768152267747,1.24910802923248,NA,0.979264475468573
"yafS",1.51774915586125,1.19784327782586,1.03014889258244,0.783610054877811,1.05852227129041,1.4876473740795,0.872971368388112,1.41416472507015,1.32068729514642,0.765067934129092,1.05075145486555
"dnaQ",1.26881995421561,0.83598791626118,0.768599327261757,0.689763167718605,0.741310241300917,1.26124657531754,0.778753479292476,1.36867394559267,1.04930079039795,0.674217467576244,0.828895916273106
"yafT",NA,1.18059244581389,1.20837018202693,0.7445605127728,NA,NA,NA,1.07176606008313,0.871966901287074,0.507925480365021,NA
"ivy",2.59896242110866,1.75630525187313,1.04978412255236,2.83465363348967,2.37848271693862,2.03938865960861,1.21004076085695,1.27291674619356,1.02447178031038,0.802232034287862,NA
"yafJ",1.13579512422707,0.732824533138904,1.02164496735586,0.951699848112944,0.563767453135264,0.62863708841305,NA,0.8046370017398,1.21338885046498,0.784332118881962,NA
"yafL",NA,1.16896094063936,1.52791783381961,1.17570942579625,1.86939036513748,NA,NA,1.30436759232173,1.373409350977,NA,NA
"rayT",1.4876473740795,NA,1.04087840891727,1.03038612044162,1.14524920770789,2.88934898155908,NA,1.59661424599341,1.55453319406079,1.12201845430196,NA
"lafU",NA,NA,NA,1.37625845480249,0.909913272632252,4.56772553308867,NA,0.659933234263564,0.83483375372365,NA,NA
"dinB",1.08467592287615,1.05147753900818,0.84547350021675,0.877808940846307,1.38867302689993,1.74622418961135,1.31583065509592,1.52580839480749,1.92264897165168,2.05636403679285,3.62910889640948
"yafO",1.15292219525677,0.643724442804745,0.964050979010747,0.850746164889698,1.03968074292752,1.08817814681639,1.11712044465683,1.09774129027371,1.30617088813184,0.964272985510525,1.39540411704062
"yafP",NA,0.697589604332805,1.66609591666697,1.06194004978222,0.905107159027519,2.34909186018037,0.407943483416096,0.685014871471007,0.732824533138904,NA,NA
"prfH",0.783790508535617,NA,0.632411851376219,1.11096403539271,1.62929603263972,1.10179297754425,1.24508786391605,1.17057703596314,1.21983193800868,0.956092695019814,NA
"frsA",1.22151836278326,0.517726029050642,1.17625098468472,0.623878472271997,0.800202677119333,1.08218123748032,0.692149644226647,0.789405231136603,0.711541115007434,0.899083442951803,0.919813967269625
"crl",1.32312233311337,0.761202139005718,0.421405306391286,0.336511569375491,0.387703748510383,0.307609681474071,0.229456307251929,0.273086354512083,0.34205819525675,0.119261426585582,0.132739445772974
"proB",0.869360692509416,0.697910930199934,0.590744925867226,0.865167107930881,1.33505758956237,0.808909619409831,0.637382301438347,0.799097919581098,1.10280823384955,0.648485097144138,NA
"proA",1.05511549267549,0.591425437756224,0.870562588741355,0.767184818189986,0.813017698856441,0.72011192024979,0.407943483416096,0.981070009743198,NA,0.798178453491152,NA
"ykfC",0.729793515214449,1.00762747290145,NA,1.21534617921719,2.31046822389757,1.15053543786717,0.892072188725269,1.56170859326537,1.98609491735737,1.0013825058371,1.23140241220622
"mmuP",1.27908674963875,1.33106725598037,0.817146641346752,1.25660852007633,1.93597613764143,1.75145909941338,1.38643655330134,1.34369283075065,1.89147236283301,1.04688746554909,1.15904420522272
