"","0","0 | 1","0 | 2","17700","17700 | 1","17700 | 2"
"ybdL",1.23694181979945,1.68332461020875,1.5027301122867,1.29080160338509,1.01318822524705,1.95421875845948
"ybgA",0.711555467560562,1.4293532234614,1.10001372535293,0.876924949587289,1.00646542614357,1.24874930406858
"sbcD",0.797869694772901,1.42784475671253,0.97073509581997,1.15405783684264,0.932131991779773,1.2581254106152
"ybbP",1.10450871105055,0.812666235047329,1.14585395270966,0.906587267090561,1.01216752858191,1.18201538121536
"entA",0.77266597062553,1.14438922647666,1.59577049620035,1.87836324004741,3.03256478895036,1.01350072301468
"mak",1.2453915408031,0.679447127334221,0.876916584559854,0.822672944475901,0.820169801504662,0.985718002005234
"cnoX",1.42354442655703,1.57338610070179,1.8373090644604,0.963608710547761,1.07607894198278,1.58686908688463
"fepB",1.07632300628399,1.81239678025391,3.0830940935322,1.39993222443504,1.08946675848155,1.73885236174958
"kdpB",0.619328539050873,1.09934420708294,1.2835322121984,0.496247387395495,0.124446212593715,1.28101335558201
"ybiW",1.16695136327179,1.60652760735666,2.51874406469528,14.5131997318292,1.18050504493987,3.05495716610964
"elyC",0.88680950654161,0.33435229681941,0.680169032494018,0.486971648794181,0.583648251860459,0.662791190870013
"efeB",1.07278580360397,0.921631275825779,0.510298531797753,1.78607087285931,1.02236798659478,0.869292251370133
"cobB",1.3490824788282,1.05996952153964,0.773791350807686,1.51736486371478,1.0172676479101,1.07206427623047
"ldtB",1.42777268414051,1.65275240382772,1.73394679727808,0.856357793003425,0.952368344375571,1.59631820779563
"ycaQ",1.1853943793738,0.74308045438938,1.79532278667067,1.03303049062849,0.782910629997923,1.22479639788189
"putP",0.566174172661013,0.644288465065188,0.421061363118605,1.18857695722038,1.35284465645516,1.2045063155219
"lolC",1.31116368490044,1.15521050126762,1.06867562097844,1.0004915621281,0.973146061873753,1.1333703029915
"opgE",1.66406193109357,2.35539330655981,4.56549900462502,1.58316324826827,0.889083000805528,1.37899463592201
"ihfB",0.885494481449643,2.08894827804893,1.55000677235786,1.16158159141882,0.961789015807462,1.39216038630404
"rutB",0.989648723800632,1.85560083564637,1.11250046107264,2.2752141523666,0.844317403445484,1.66606257690983
"bhsA",1.53740922469762,8.29916302940376,14.6300611654023,1.33275893948318,1.23513284452453,1.19268052075134
"glnH",0.529907827011506,1.29969624944044,0.868163980160573,1.00633047822704,0.899244695953702,1.07988206288632
"rutF",0.779398267661246,0.624546647015593,0.517019519128613,0.560335221374296,0.694202656962011,1.52074547662701
"ycfP",0.605430923303783,2.08288501635819,1.12336870909529,0.77342347769531,0.684389499962308,1.34148020758453
"rlmF",1.11245455377135,1.0560168816296,2.49179668968711,1.09189723881398,0.846340466085867,0.810467465454635
"ycaP",0.923559218686088,0.578246484095072,0.552624591173467,0.875253094806914,0.827091285750722,0.713892340404171
"yccJ",0.876896010287109,0.935716893953449,1.5387342267355,0.591702926239535,0.796480357998162,1.50704193920408
"ycfL",0.819448406837081,0.635590346956397,0.74414235061092,0.785806831393664,0.77926041875235,1.14982754249477
"ybiI",1.35556783407845,0.781265773711755,1.05680133706776,1.01316534424178,0.929135917487024,0.934289731558155
"pflA",0.980919791408152,0.547166780754094,0.670157788081917,0.695978076204023,0.974746406428405,0.942663257571404
"cbpM",0.905618486818972,0.49792655908429,0.853800078889223,0.634172130112765,0.952781191573814,1.09125696352161
"ycfH",0.530441059637651,1.81703654254313,1.24741782967362,0.713803904476172,0.92622167319349,1.22072597440667
"chaB",0.946174309187723,0.82650580471464,1.14896167583101,0.940466547532446,0.95672819592496,0.788030981184143
"ycjQ",1.08620565850244,1.4750979591763,1.38229280707205,2.61278008026032,1.15762538220604,1.75051375977344
"hrpA",1.222999427904,0.731877182026799,2.63235809749839,0.651219542356116,1.01732373933498,0.889436526381397
"ychQ",0.99914368891464,2.10736091062033,1.60747270645119,1.03155496620772,1.34212402554425,1.08776286818819
"ycjM",0.989002582985873,1.48851790862268,0.562371994615743,0.881873141852157,0.961127166254765,1.29406497243073
"ynbB",0.969905388838908,1.26207360347754,1.13913176002839,1.13525149607611,0.516904227670948,1.19630831521374
"ydeT",1.89552422576004,1.54848841012173,1.56304633578707,3.64185365771665,1.42199135192884,0.778396062819515
"lolB",0.857546250417546,1.42079687436992,0.946747435283011,1.24215905976997,0.80808965531548,1.03021748642083
"pspB",1.00800972176566,2.4122667714029,1.84342474651792,0.771015320668579,0.851338479416354,0.963656474213041
"ydeR",1.2285048378143,0.84535897989134,1.17571414995351,1.03354262062297,0.680148639916499,1.50531598203612
"ychH",0.389475990967206,0.481945984039178,0.636067374030908,0.916314363941921,0.710518222239826,1.17635742098024
"puuB",1.29051449427737,1.22883802123059,1.25961901200028,1.18539399237541,0.758026423364268,1.54770102737932
"paaY",0.989139300386542,0.901107912526593,0.768215125129926,1.32348347915432,0.831454715176545,0.805939326724886
"ydeO",1.188128690417,1.41396597280213,1.31161421904126,3.01573334227209,0.891138755265466,0.413540763295307
"dhaR",0.973034373638725,1.24173318709055,1.20343887968172,1.407833709707,0.92046116148913,0.759694565485791
