"","0","0 | 1","0 | 2","3600","3600 | 1","3600 | 2","7200","7200 | 1","7200 | 2","10800","10800 | 1","10800 | 2","14400","14400 | 1","14400 | 2","18000","18000 | 1","18000 | 2","0 | 3","0 | 4","0 | 5","3600 | 3","3600 | 4","3600 | 5","7200 | 3","7200 | 4","7200 | 5","10800 | 3","10800 | 4","10800 | 5","14400 | 3","14400 | 4","14400 | 5","18000 | 3","18000 | 4","18000 | 5"
"yjfJ",8.109561,8.298385,8.06956,7.642788,7.52647,7.699355,7.332763,7.133976,7.048122,7.324814,7.36715,7.302956,7.300693,7.642501,7.134262,7.148373,7.434871,7.932268,8.728266,8.509069,8.247449,7.678083,7.60342,7.605853,7.602545,7.397929,7.521848,7.876686,7.696121,7.46197,7.768997,7.605453,7.927228,7.675249,8.360707,8.99635
"ruvA",11.871845,11.914005,11.833447,11.480357,11.786621,11.750453,11.673094,11.950176,11.977361,11.994407,11.766246,11.789177,11.779661,11.888951,11.929798,11.60251,11.751363,11.634449,11.977624,11.792768,11.71111,11.61025,11.67904,11.738289,11.508392,11.762345,11.873671,11.545639,11.505002,11.54309,11.717884,11.756678,11.852275,11.612043,11.596436,11.061704
"intR",7.241946,7.791683,7.622009,6.994494,7.583028,7.700134,7.551265,7.361918,7.014467,7.595874,7.358572,7.363447,7.582356,7.443075,7.085949,7.314584,7.399648,7.680505,7.71074,7.789838,7.745601,7.333666,7.527742,7.1726,7.275043,7.395908,7.393115,7.949431,7.763659,7.757767,7.992286,7.953098,8.017647,7.822412,8.75919,8.837106
"yabQ",12.576326,12.438867,12.330038,11.708802,11.943608,12.038499,12.160427,11.824184,11.81484,11.981305,11.810061,11.755814,12.078409,11.650604,11.471246,11.613556,11.437295,11.638594,12.437288,12.563844,12.405195,11.697099,11.991459,11.656653,11.942668,11.655032,11.541454,11.956005,11.72329,11.790771,11.520608,11.788932,11.452896,11.795352,11.59751,10.496046
"sapB",9.39424,9.432882,9.712655,10.344602,10.22075,10.158357,10.074709,9.976259,9.849658,9.902331,9.774527,9.767977,10.024726,9.891604,9.925204,9.80677,9.931763,9.79272,9.91168,9.666494,9.786764,10.530662,10.247327,10.399256,10.190454,9.995557,10.074764,9.975575,10.191223,10.159758,10.318583,10.186656,9.974222,10.152828,9.950964,9.843476
"moaC",10.607532,10.681243,10.643434,11.258464,11.070593,10.828268,10.650708,11.08865,11.141394,11.17679,11.471114,11.654148,11.331606,11.523563,11.526559,11.662565,11.86965,11.700998,11.033546,10.382095,10.140533,11.262196,10.744898,10.885159,10.999385,10.945053,11.074027,10.778817,11.047396,11.271764,11.487964,11.482296,11.436853,11.348497,11.036567,10.364452
"dsbD",11.420441,11.56251,11.660459,11.46138,11.657161,11.599776,11.506269,11.505589,11.506053,11.476425,11.431859,11.43136,11.48194,11.604423,11.636697,11.581124,11.491333,11.341988,11.344974,11.359744,11.571517,11.638454,11.16971,11.565584,11.470454,11.44881,11.462627,11.289962,11.336719,11.366893,11.471843,11.380503,11.400839,11.196685,11.282135,11.539859
"paoA",5.584951,5.777338,5.725188,5.689982,5.396188,5.433016,5.66597,5.703113,5.849969,6.03233,5.451005,5.69728,6.018553,5.587095,5.74256,5.94149,5.977162,5.564232,5.406649,5.620801,5.706796,5.423574,5.44261,5.774468,5.571771,5.477942,5.437027,5.472782,5.65236,5.947996,5.477829,5.593558,5.719379,5.821322,5.589653,5.264395
"clsA",11.241196,11.217536,11.224587,11.230714,11.180718,11.213735,11.344708,11.294327,11.211073,11.014128,11.00547,10.912459,11.031121,11.217675,11.365174,10.847769,10.77523,10.811759,11.109208,11.120953,11.307609,11.338461,11.326153,11.408582,11.212483,11.330708,11.570163,11.306068,11.097298,11.162364,11.185182,11.161845,11.30064,11.06212,10.740436,10.108662
"ygaH",12.343762,12.461049,12.414204,12.402911,12.419424,12.534475,12.604605,12.307114,12.285253,12.362219,12.258201,12.282676,12.285001,11.977519,11.833669,12.240953,12.137625,12.221658,12.356453,12.414536,12.519669,12.735451,12.646236,12.587246,12.719617,12.356672,12.365138,12.373561,12.423785,12.535163,12.409935,12.560667,12.161051,12.381464,12.231443,11.819956
"gloB",11.702555,11.826257,11.934179,11.187581,11.386653,11.525651,11.376453,11.395516,11.400914,11.589384,11.514787,11.472824,11.673841,11.706565,11.686023,11.424052,11.46722,11.398652,11.658047,11.683758,11.625705,11.024483,11.203991,11.20113,11.130819,11.173243,10.943393,11.118247,11.107555,11.112307,11.131394,11.159023,11.028853,11.116802,11.218917,10.954215
