"","0","216000","540000","972000","0 | 1","216000 | 1","540000 | 1","972000 | 1","0 | 2","216000 | 2","540000 | 2","972000 | 2","0 | 3","216000 | 3","540000 | 3","972000 | 3","0 | 4","216000 | 4","540000 | 4","972000 | 4","0 | 5","216000 | 5","540000 | 5","972000 | 5"
"pepE",184.9,1002.4,1284.7,606.9,157.4,902.7,573.6,319.9,122.4,198.9,336.7,95.4,162.5,576.3,756,322.4,446.4,627.4,438.3,260.6,314,242.6,211,123.5
"rluF",371.4,263.4,311.9,358.5,361.9,407,481,583.4,126.9,99.5,232.3,114.7,354.8,263.1,263.9,215.5,300.5,680.8,495.2,471,274.5,245.4,200.7,149.9
"yjbD",816.2,911.9,1668.5,1269.4,652.6,1183.4,1009.1,1334.2,369.5,138.9,1012.4,560.7,965.7,792.3,653.8,1047.5,852.6,823,930.1,659.7,580.2,719,819.9,540.2
"lysC",150.6,174.2,133.9,137.5,168.9,289.6,114.2,131.2,39.3,27.9,44.6,21,105.5,144.7,126.7,65.5,215.3,188,24,129.2,133,108.6,50.3,25.6
"pgi",1052,1298.3,3440.6,1214.8,547.7,573.1,1069.1,2509.1,498.8,224.4,1129.2,537.2,829.2,1258.4,783.2,2438.6,497.8,748.2,1349.6,2318.1,452.6,790.8,901.5,1034.7
"yjbE",130.6,79.5,21.7,38.9,67.3,55.6,66,27.5,26.6,16.2,47.9,51.9,38.4,20.5,22.6,33.3,107.2,35.6,39.1,69.2,89.7,19.6,100,79.4
"yjbF",185.1,296.7,269.2,100.4,243.5,339.9,104.4,172.3,32.7,32.6,15.3,6.4,143.8,292.7,154.7,300.1,298.3,376.9,65.8,683,25.9,10.2,14.3,23.8
"yjbG",144.7,100.9,129.8,155.2,216.2,467.4,309.9,98.2,7.5,14,7.1,11.7,179,139.1,101.4,149.6,181.5,220.4,380.9,118.7,42,23.5,58.3,39.8
"yjbH",117.2,175.6,176.9,188.6,55.7,220.5,187.8,203.4,54,26.6,113,63,114.1,150.2,95.7,153.8,18.9,173.1,51.1,107.7,51.3,132.3,70.5,57.7
"psiE",246.9,177.3,257.9,255.3,172.2,239.7,38.7,105.5,54,21.7,94,71.6,154,154.6,178.6,194.7,135.8,46.3,130.2,154.5,91.9,97.5,87.5,77.4
"xylE",406.3,422.7,409.6,607.2,146.7,351.7,511.2,395.2,134.3,95.5,255.4,154.3,281.2,279.8,230.7,353.7,207.1,55.3,375.1,486.3,125.4,194.4,110.5,113.2
"malG",281.7,361.1,1653.7,415.6,307.4,278.1,1003.7,259.5,165.8,274.1,551.5,61.7,189.3,228.7,1285.8,794,3394.3,809.6,700.2,248.5,2809.6,423.7,278.1,86.7
"malF",174.8,207.6,1612.4,359.7,315,386.5,798,202.7,210.2,222.4,514.8,68.4,240.3,222.8,1179.6,538.4,4163.3,760.2,486.5,290.5,2028.5,232,278.9,78.2
"malE",109.4,324.2,12779.6,843.9,138.6,634.4,7294.5,181.1,503.4,1101.5,3222.8,56,109,183.8,9730.2,1895.8,13566.8,5289.7,5358.4,221.5,6739.9,977.8,1761.2,84.4
"malK",12.9,114.2,2717.7,52.4,31.9,347.8,1612.7,31.2,590.9,406.4,1046.4,8.6,21.3,31.9,2069.6,308.7,13874,2012.4,618.3,47.4,5385.9,492.5,346.1,6.7
"lamB",198,296.7,8164.5,395.3,198.4,440.4,3288.6,148.7,485,544.1,2142.2,134.8,145.4,179.2,6917.2,1851.1,13309.3,3515.4,2526.2,476.3,7450.5,1389.4,784.8,78
"malM",201,318.2,3576,691.8,143.3,339.5,1231.4,258.6,218,306.6,814.2,112.3,212.1,294.8,2145.8,835.7,5725.2,1195.6,796.2,306.3,3489.8,520.1,350.7,108
"yjbI",55.3,87.5,59.9,80.2,37.3,53.4,31.5,1.9,4,0.9,14.2,11.2,41.2,64.7,43,29.8,76.1,13.3,8.7,4.9,43.3,8.9,18.9,7.9
"ubiC",1214.1,2812,1849.8,2014.4,781.9,2326.6,1469.1,1341.5,951.3,639.3,1129.4,678.8,1481.3,1621.7,1851.2,1398.8,924.5,1182.5,1187.3,1208.6,1430.3,1078,937.5,1008
"ubiA",760.4,2220.9,1432.6,1176.2,537.5,1233.5,794.5,550.6,281.9,211.8,397.3,323.2,799.9,1039.4,1007.5,701.5,1011.5,584.2,544.5,423.3,692,474.9,394.3,393.6
"plsB",676.7,775,873.9,560.1,731.9,1024.5,787,574.6,282.3,141.1,433.5,200,588.2,614,598.4,306.1,1017.7,871.9,803.7,756,222.1,296.7,271.7,200.5
"dgkA",861.1,684.9,1076.4,784,500.5,506.6,520,772.4,213.6,147.1,327.3,235.6,817.7,772.4,711.6,1287.1,420.6,455.4,608.1,960.5,358.7,315.1,398.3,385.5
"lexA",1876.4,1730.6,650.4,1942.5,1940,1536.7,821.7,1189.7,519.2,422.5,677,401.9,2476.6,2438,1620,2567.5,1593.9,1379.2,1174.9,861.4,1060.8,816.9,428.2,655.8
"dinF",393.2,306,52.3,389.3,351.6,494.5,106.2,143.8,195,66.9,107.7,114.6,499.1,431.3,325,275.2,438.6,170.6,143.2,133.1,225,99.1,113,103.7
