"","0","216000","540000","972000","0 | 1","216000 | 1","540000 | 1","972000 | 1","0 | 2","216000 | 2","540000 | 2","972000 | 2","0 | 3","216000 | 3","540000 | 3","972000 | 3","0 | 4","216000 | 4","540000 | 4","972000 | 4","0 | 5","216000 | 5","540000 | 5","972000 | 5"
"gfcE",141.2,220.1,254,133.2,92.4,156.3,67.6,63.3,14.5,53.6,106.9,44.9,93.9,208.9,219.3,153,41.9,93.1,68.7,107.5,64.5,70,85.9,61.5
"gfcD",103.1,67.7,56.6,220.2,24.3,97,28.5,27.6,12.3,35.2,22.7,5.8,88.5,100.7,82.4,136.7,9,97.6,72.9,46,34.9,10.9,33.8,38.3
"gfcC",105.9,24.4,87.1,135.9,89.4,251,111.8,57.4,27.3,15.8,34.7,20.6,68.4,77.3,72.1,120.6,122.3,137.7,70.5,19.2,39.3,29.1,44.2,19.9
"gfcB",162.7,222.2,110.5,224.7,96.1,171.3,151.3,163.6,52.4,36.4,67.4,28.4,121.2,168.1,163.8,112.9,171,218.7,168.8,156.9,74.6,59.1,53.8,40
"gfcA",353.8,348.7,303.8,342.1,275.8,445.6,402.5,411.3,69.9,59.5,107.8,34.3,302.1,270.7,267.2,306.2,352.4,428.8,515,471.1,116.8,90.5,126.9,78.6
"cspH",1288.2,348.2,177.3,270.7,3894.9,433.1,42.6,117.4,359.4,129,88.4,42.2,2206.5,1102.7,253,217.7,3123,318,116.5,147.5,467.9,499.9,62.4,60.3
"cspG",5633.8,1900.6,380.8,1299.3,16852.4,12288.9,1505.8,689.7,2838.7,2337.8,1183.2,2793.1,7842.9,4264.2,1836.6,576.7,33552.8,13321.3,3220.4,552.2,6572.4,4877.3,1328,2817.5
"ymcE",161.4,83,95.4,230,209.7,214.4,285.3,340.1,113.8,54.4,50.2,101,373.2,169.5,181.2,244.2,341.5,206,555.8,471,242.9,178.7,53.1,71.8
"yccM",78.9,113.8,128.2,129.9,130.5,102.7,84.6,124.1,31.8,31.6,31.4,24,40.6,69.1,59,90.4,111.1,41.7,159.1,158.5,26.8,35.9,55.1,25.7
"torS",201.9,187.5,204.9,236.6,174.9,182.1,122.1,273.3,38.6,54.8,99.3,32.4,146.7,185.5,157.3,150.5,178.2,137.1,193.5,263.5,70.5,65.7,84.5,49.3
"torT",33.8,118.4,238.2,56.1,27.8,54.9,64.8,31.3,5.3,5.4,9,10.4,44.1,33,73.9,68.1,23.5,36.9,39.1,44.4,9.9,12.7,22.9,15
"torR",181.3,260.7,360.1,270.4,296.4,384.8,307.2,352.5,18.6,43.9,68.1,39.1,167.6,121.8,198.7,258.7,285.3,314.7,454.3,419.1,47.5,103.3,104.4,89.2
"torC",247.3,253.9,172.7,308.3,127.6,237.6,165.2,199.3,86,67.7,153.8,66.2,200,234.3,193.1,114.4,95.2,193,40.5,211.8,98.2,70.8,77.2,51.1
"torA",401.6,465.1,504.7,623.6,344.4,438,283.2,537.3,373.5,97.9,487.5,282,328.2,392.6,322.5,383.1,312.1,339.9,686.2,664,212.5,366.7,125.7,142.1
"torD",144.5,144.7,154.4,146.8,92.7,167.8,99.9,85.8,35.4,29,78.8,45.8,74,150.5,77.7,116.3,186.9,62,44.5,37.8,30.2,57.7,64.4,36.8
"cbpM",128,180,730.9,214.4,176.4,262.4,396,264.4,39.2,44.1,275.8,81.1,129.6,156.1,233.3,692.4,168.8,202.8,579.6,259.1,81.9,112.3,231.7,167.8
"cbpA",515.4,692.9,3031.7,1125.8,530.9,956.1,1656.1,1707.8,137.2,199.3,941.1,237.6,525.6,739.3,757.8,2376.8,700.5,1076.3,1337.5,1448.3,367.2,356.2,811.6,603.1
"yccE",73.6,117,77.8,150.3,114.4,199.5,65.3,106.2,52.9,46,68.7,31.2,106.6,89,53.9,83.2,136.1,149,159.6,73,50.6,55.4,40.8,18.6
"agp",261.7,953,5508.2,4318.2,257.8,1641.8,4972.6,5361.2,238.8,207.3,2420.5,814.5,291.8,476.1,1163.7,4466.9,758.2,1934.2,6889.4,5478.9,274.4,557.7,1699.9,888.5
"yccJ",112.1,272.8,13022.7,2903.2,99.4,863,9874.2,5903.2,47.9,131.1,3532.7,1439.7,89.5,93.4,394.3,10613.3,30.9,1377.9,8929.2,7326.5,70.6,371.3,3066.9,2036.6
"wrbA",143.3,566.2,14053.8,4178.6,182,1358.4,15170.5,9200.9,131.2,364.2,6145.2,2464.1,165.1,250.8,831.1,11109.9,350.3,2801.9,11820.3,9897.2,202.6,982,5025.7,3161.9
"rutG",59.6,91.9,158.1,92.5,148.1,137.6,208.3,195.2,18.1,26.3,109.5,91.2,33.7,63,49.3,230,38.6,152.8,119.9,255.1,37.7,31.4,104.5,99.1
"rutF",NA,NA,NA,NA,NA,NA,NA,NA,4.8,5.9,124.7,19,NA,NA,NA,NA,NA,NA,NA,NA,37.6,12.7,87.1,84
"rutE",NA,NA,NA,NA,NA,NA,NA,NA,31.6,15.9,44,26.4,NA,NA,NA,NA,NA,NA,NA,NA,54.5,12.9,64.4,16.9
"rutD",NA,NA,NA,NA,NA,NA,NA,NA,2.1,3.4,1.9,1.4,NA,NA,NA,NA,NA,NA,NA,NA,2.2,1.7,4.4,3.1
"rutC",NA,NA,NA,NA,NA,NA,NA,NA,73.3,40.7,84.3,47.6,NA,NA,NA,NA,NA,NA,NA,NA,61.7,77.4,64.4,19.8
"rutB",NA,NA,NA,NA,NA,NA,NA,NA,6.9,5.1,13.9,7.9,NA,NA,NA,NA,NA,NA,NA,NA,26.3,4.7,8.9,23.5
"rutA",NA,NA,NA,NA,NA,NA,NA,NA,88.3,43.4,21.2,43.1,NA,NA,NA,NA,NA,NA,NA,NA,28,30.1,25.3,15.1
"rutR",233.9,443.9,422.5,363.5,267.7,390.7,336.7,314.1,26.7,64.7,125.1,94.9,247.7,236,354.3,436.3,148.7,74.8,328.4,67.7,179.7,128.5,156.4,142.9
"putA",169.4,811,1003.9,171.1,194.4,712.4,3532.6,313.8,131.1,549.9,55.5,51.3,180.1,377.8,2958.6,249.2,422,1710.8,387.3,419.7,1049.2,1017.8,51.3,153
"putP",721,2020.5,1547,907.8,694.6,1618.6,5195.7,483.1,266.2,579.2,320.5,121.2,506.3,519.7,4473.9,561.1,465.1,2128.5,691.8,994.2,1421.3,818.5,287.8,449.8
"efeO",470.5,213.1,112.2,246.4,354.2,494.1,45.8,281.6,167.5,109.2,67.6,59.5,293.9,189.9,374.6,81.3,288.2,418.4,488,310.4,154.7,291.7,98.8,59.6
"efeB",380.5,295.2,201.4,475.6,178.4,151.9,157,236.1,114.4,91,131.5,77.7,334.2,285.3,297.4,171.6,212,302.9,44.6,167.2,209.8,181.3,109.5,104.5
"phoH",97,346.4,178.2,1119.4,97.6,564.6,482.8,835.6,31.6,27.9,654.7,243.1,45.2,68.4,129.2,1244.5,105.5,140.5,989.5,682,54.7,34.5,757.1,312.1
"pgaD",127.8,199.9,176.7,229.6,146.9,178.7,189.9,147.9,28.1,42.4,25.2,24.8,224.1,179.7,199.6,142.6,179,53.1,118.7,228.2,85.4,77.5,69.4,48.1
"pgaC",93.9,135.3,139,271.7,117.6,183.5,99.2,50,41.3,25.5,60.3,16.3,134.1,119.1,134.2,137.7,147.3,97.7,93.1,179,67,44.9,54.2,32.1
"pgaB",42.8,69.2,7,21.4,55.8,62.7,3.8,2.3,3.9,5.3,0.6,0.2,44.3,68.4,38.8,8.5,96.6,7.5,15.4,53.3,36.1,17.5,10.6,0.6
"pgaA",171.5,124.7,130.3,281.7,154.5,69.9,18,2.4,44.4,21,28.9,19.3,110.6,123.5,124.7,89,111.6,20.9,18.6,37.2,172.5,74.8,62.7,28.1
"dgcT",307.5,205.6,139.5,196.7,218.5,242,188.8,294,101.8,60.8,138.3,83.1,382,228.9,153.6,269.2,253,208.9,257.4,356.5,147.5,129.6,123.1,99.3
"insF4",NA,NA,NA,NA,NA,NA,NA,NA,9.5,70.5,14.1,6.7,NA,NA,NA,NA,NA,NA,NA,NA,133.3,11.5,198.7,189.9
"ymdE",NA,NA,NA,NA,NA,NA,NA,NA,9.2,10,7.3,8.6,NA,NA,NA,NA,NA,NA,NA,NA,4.8,13.5,12.3,6.8
"ycdU",74.6,82.1,61.7,124.2,174.8,103.1,94.3,66.9,14.2,6.9,21.7,19.6,91,42.5,69.6,75.3,38.7,117.5,46.5,114.8,22.6,26.9,35.4,15.9
"ghrA",602.9,803,1244.7,918.3,657.1,845,1430.6,1325,287.3,285.2,723.8,285.6,317.8,603.9,856.2,677.8,348,1006.2,1330.6,1381.1,273.6,460.2,660.8,370.4
"ycdX",912.9,571.8,471.6,299.2,785.1,717.6,964.8,1110.6,284.9,214.1,469.1,249,463.4,468.3,435.3,235.5,329.8,817.2,704.2,932.5,296.9,401.6,390.8,268
"ycdY",1093.6,771.9,531.1,527,963.7,744.3,670.6,817.5,282.2,182.7,288.5,173.6,529.3,732.5,613.7,303.7,515.8,625.2,615.1,556.5,301.3,325.6,276.4,201.5
"ycdZ",3944.5,6777.7,3661.1,8549.4,5775,5286.6,5042,11412.4,2923.8,3224.7,2020.5,3495.1,1546.5,6531.6,7009.9,9252.9,5858.1,7239.8,7589.3,9456.1,4175.7,2597.3,2638.9,4496.6
"csgG",119.8,133.9,63,257.8,75.2,35.2,12.5,68.3,35.4,18.1,16.5,63.7,27.1,95.6,73.9,125.4,72.2,13.1,30.5,49.3,33.3,20.5,51.2,55.3
"csgF",63.6,87.7,48.4,163.9,94.6,167.6,86.2,81.5,3.7,3,12.3,19.6,13.3,15.9,28.4,96.4,80.2,34.7,140.8,147.9,12.7,19.3,37,37.1
"csgE",4.8,5.8,5.8,79.6,53.1,38.3,7.2,59.3,3,1.8,1.8,2.8,3.3,3.2,12.7,5.7,19,23.1,35.7,25.8,2.9,3.5,5,2.8
"csgD",17.6,21.8,12,200.6,87.2,98.5,89.1,77.3,3.8,1.4,28.2,54,7.9,6,6.9,11.6,68.6,28.1,158.6,26.1,19.1,6.4,48.3,50.4
"csgB",89.9,115.4,133.9,240.5,123.6,146.4,93.3,141.7,31.2,26.9,89,83.5,76.5,76.1,47.4,120.1,99.9,20.2,183.4,204.1,33.9,26.1,66.7,62.6
"csgA",135,172.8,381.3,512,176.2,164.7,335.5,390.4,6.5,51.5,158.5,187.6,131.3,31.1,142.2,534,24.9,31.1,267.2,394.5,43.8,88.6,234.7,232.9
"csgC",128.1,250.1,35.3,43.5,99.1,147.5,114.7,68.9,19.5,81.5,24.6,16.9,227.9,328.3,311.5,68.8,167.7,394.8,164.7,156.3,105.4,61.8,48.2,23.8
"ymdA",NA,NA,NA,NA,NA,NA,NA,NA,44.5,662.4,40.2,50.9,NA,NA,NA,NA,NA,NA,NA,NA,360.1,112.3,106.2,40.9
"ymdB",NA,NA,NA,NA,NA,NA,NA,NA,123.9,150.2,482.9,182.8,NA,NA,NA,NA,NA,NA,NA,NA,120.9,161,376,370.7
"clsC",127.3,128.7,151.4,179.7,19.2,140.9,124.7,235,22.3,41.4,118,70.8,61.5,104.8,97.1,208.1,118.7,153.7,243.7,238.4,70,71.5,144.8,132
"opgC",276.4,163.7,75.8,58,194.4,138.4,101.2,159.8,125.7,46,27.4,54.9,378.8,135.4,128.1,99.3,216.9,129.4,75.8,219,116.3,81.1,58.8,39
"opgG",906.9,1630.5,1237.6,895.2,816.4,922.5,1540.3,2506.6,726,743.1,1241.8,750.8,1052.4,882.2,1252.8,1217.5,905.3,1076,1657.7,2229.4,814.4,879.6,1080.4,1020.4
"opgH",961.1,1254.8,723.9,597.2,824,730.8,560.7,810.5,224.1,385.9,156.8,148.2,1105,1055.7,865.3,574.4,976.6,597.4,647.7,737.9,518.9,234.2,137.8,308.3
"yceK",160.2,520.6,2913.7,1246.9,243,554.2,1350.2,1081.8,64,58,890.3,398.8,215.1,256.1,369.7,5480,318.7,341.6,2032.5,1611.8,68.7,307.3,595,561.6
"msyB",1088.7,2786.8,20928.3,7296.4,1186.4,4430.5,35975.8,16084.9,310.9,499.3,7005.8,3092.7,779.5,1221.8,2115.9,24547.9,859,4497.9,24167.7,17997.4,409.2,2544.5,5310.8,4393.8
"mdtG",59.3,81.3,186.9,158,9.7,186.6,112.7,133.5,44.8,46,91.5,45.6,18.8,40.9,51.6,157.7,7,32,155.1,167.3,47.5,80,144.5,114.3
"lpxL",800.8,632.4,647,833.9,903.1,801.4,542.3,468.6,336.3,335.6,230.8,195.8,519.3,550.8,641.5,414.6,984.7,739.7,585.8,506.5,328.8,466.4,235.4,266.4
"trhO",2347.3,1289.4,360.8,959.3,2041.1,531.3,466.5,644.1,762.8,315.8,326.2,283,1864.2,1379.4,951.9,394.5,634.4,468.4,342.5,604.5,350.9,834,282,181.6
"yceI",372.8,397.3,268.8,571.4,327.9,450.5,481.7,380.8,111.9,189.7,358.9,172.9,350.1,328.9,855.6,357.1,205.4,507.7,616.2,271.9,178.9,319,243.8,169.6
"yceJ",NA,NA,NA,NA,NA,NA,NA,NA,5.4,37.6,27.4,32.7,NA,NA,NA,NA,NA,NA,NA,NA,94.2,105.4,85.9,78.2
"yceO",1.7,3.5,3.7,6.3,6.8,11.2,9,13.6,0.4,0.6,1.2,1.1,1.5,2.6,1.7,2.8,5.2,9.7,14.8,10,1.7,0.4,1.6,2
"solA",339.7,350.1,606.5,557.7,146.9,218.7,176.4,288.5,70.9,73.4,193.9,81.2,349.8,259.2,482.2,331.8,31.5,42.8,164,171.2,219.6,179.5,180,123.1
"bssS",353.8,295.3,3895.1,2798,369.9,233.3,970.3,1784.8,57.8,185.1,1142.9,815.4,2460.4,1407,833.1,16149.1,1095.9,612,1767.7,1806.1,1336.9,211.5,1248.2,1518.1
"dinI",1333,831.9,923.6,1111.7,1877,823.5,796.6,671.6,268.7,221.9,448.9,452.4,2228,2316.7,1649.6,2453.1,1337.6,925.6,761,359,596.1,521.7,467.6,450.9
"pyrC",645.5,520.1,374.9,580.8,354.8,257.5,266.2,262.6,242.9,223.9,239.2,97.2,730.9,1227.1,817.1,296,437.9,377.1,172.9,296,359,273.3,206.5,137.9
"yceB",588.9,500.5,622.8,1022.3,764.9,914.7,622,917.4,317.8,175.9,379.8,238.7,301.6,340.2,601.2,388.4,402.5,657,666.6,468.2,393.9,493.3,303.7,228.4
"grxB",533.5,1003.2,8394.6,5675.7,478.1,888.8,8508.2,12885.2,256.1,265.1,4164.1,1692.5,397.2,572.8,1078.1,6970.1,372.8,1157.7,6366.5,8453.9,283.5,596.5,3682.5,3013.1
"mdtH",135.6,189.4,212.6,272.4,195,209.7,227.6,322.4,35.1,14.4,66.5,84.8,20.9,107,157.8,181.5,250.5,335.7,190,233.1,24,59.4,46.3,48.2
"rimJ",999.8,1936.3,2613.8,1328.9,1036,1358.5,2215.6,1968.7,429.7,573.1,1258.7,348.5,821.9,1263.7,1147.9,1794.4,1015.4,1611.8,2384.2,1765,956.4,627.5,957.4,654.8
"yceH",690,1498.8,2377.2,1036.1,883.3,783.1,1917.6,1105.4,320.8,228.5,739.3,299.9,524.6,751.3,547.1,886.5,618.5,984.6,1771.3,1215.9,400.2,505.7,486.9,344.4
"yceM",237.4,399.3,523.9,421.8,180.3,242.3,636,551.3,62.8,48.2,246.9,108.3,199.1,207.5,230.6,404.9,240.7,412.1,491.6,474.4,132.9,125,212.4,181
"murJ",757.4,557.2,368,297.8,544.9,292.5,356.1,211.5,210.9,141.5,187.4,106,575.1,611.8,504.3,310.6,255.5,391.7,397.2,559.9,169.5,246.2,135.5,135.7
"flgN",984.4,4063.8,4149.7,950,457.6,739.9,2641.1,614.4,262.5,2327.8,1128.9,202.2,1719,6036.5,6917.9,5232.4,1317.8,5707.9,6465.8,5989.7,1299.9,498.5,2580.4,934.8
"flgM",853.5,4690.1,6715.1,1071.8,399.6,835.9,2954.1,640,333.9,2310,1362.6,219.4,1518.2,6245.9,7595.7,6517.6,1288.9,7562.2,6760.5,8515.2,1467.7,644.1,2793.8,936.5
"flgA",1617.5,2144.3,2706.6,641.7,473.2,1030.6,968.7,378.3,386.8,1139.7,302.5,140.9,1945,2635.4,2751.8,223.1,895.1,2728.5,874.8,907.9,856.4,579.7,422.9,162.5
"flgB",1541.6,5014.1,4156,251.8,233,1274.7,1341.9,229.4,414.2,3013,181.1,72.1,3374.7,6204,8563.7,62.2,2321.7,7459.4,1749.7,1814.3,2586.2,431.5,852,202.2
"flgC",2758.2,7264.9,5759,798.1,642.7,2036.4,2223.6,360.4,979.3,4178.3,438.4,226.4,4334.4,7801,9830.4,134.9,3584.9,11393.6,3060.9,3089.8,3260.7,1160.7,1564.3,521.8
"flgD",1180.3,4784.7,4469.6,501,494.8,1585,1475.8,686.9,679.3,2947.7,476.3,171.9,2099.2,5205.6,5886.2,79.9,3126.5,7209.4,1660.2,1919.5,2255.5,1010.3,1169.5,392.7
"flgE",1071.8,4854.9,4990.5,448.7,235.8,909.3,1107.1,448,462.1,1926.8,324.4,84.9,2029.8,5348.8,5323.7,22.7,1705.6,3856.7,1104.2,1321.2,1603.9,996.1,968.3,263.1
"flgF",516.6,1523.3,1584.3,453.1,156.4,889.6,1052.7,358.4,330.3,1483.5,236,85.3,1057.1,2252.7,2783.7,25,2241,4085.4,890.2,1288.6,926.8,388,495.4,151.6
"flgG",705.5,2118.9,2387.9,490.7,112.7,1318.1,1026.3,177.2,451,1318.8,295.7,118.9,1295.1,3217.6,3778,96,2953.6,4382.2,1433,1213,1209,558.9,682.8,201.7
"flgH",319,902.5,934.1,159.7,82.1,582.7,375.9,75.8,188.4,757.7,102.2,30.7,670.2,1238.6,1835.9,73.2,1300.6,1740.5,518.6,398.5,712.8,263.9,298.2,58.8
"flgI",225,1082.6,941,43.7,23.5,67.9,276.3,28.5,89.8,900.3,4.8,6.3,419.6,1367.6,1841.9,6.6,920.5,1439.8,409.9,74,733.4,193.6,180.3,4.5
"flgJ",358.7,716.4,542.5,311.2,556.4,592.7,428.2,301.4,176.2,537.3,148.7,79.9,559.2,1040.1,1376,184.5,962,1496.4,724.2,696,587.4,226.9,200.3,106.3
"flgK",269.9,1994.5,4092.8,493.2,139.2,387,2124.5,678,160.5,1276.2,757.9,125.7,663.1,2804.1,4047.7,2739.7,1124.8,4161.3,4276.7,4248.8,942.4,226,1527.4,653.4
"flgL",194.9,1459,3498.1,307.1,37.7,131.8,1748.3,273.7,55.3,869.8,564.1,113.1,543.2,1665.2,4317.9,3525.4,608.8,3631.4,6438.5,3534.9,498.3,131.4,1395,456.6
"rne",687.6,428.8,502.6,617,404.9,241.9,451.8,408.2,327.9,180.8,382.9,214.6,787.7,507,883.4,295.2,601,537.4,439.8,383,690.1,457.5,243.5,213.6
"yceQ",NA,NA,NA,NA,NA,NA,NA,NA,43.7,16.3,168.4,208.7,NA,NA,NA,NA,NA,NA,NA,NA,52,80,114.4,118.6
"rluC",756,450.2,115,93.8,754.4,202,54,55.8,257.5,179.7,33.8,45.2,1241.4,743.8,419.5,104.4,447.4,147.9,76.1,20.2,363.8,201.3,63.9,49.9
"yceF",427.4,342.5,1191.6,834.1,273,252.9,1066.5,961.5,65.6,84.8,523.7,396.1,211.9,209.8,405.8,1339,146.1,333.4,623.3,991.4,68.7,278.6,519.4,343.1
"yceD",22952,18107.9,3639,3710.7,42105.4,10959.6,5825.6,2998.2,4799.2,7003.9,1802.9,1383,26965.3,25473,20237.6,2151.3,48744.3,16647,2611.8,1790.2,8017.8,4563.2,1418.5,1270.1
"rpmF",19928.9,12809,3691.3,2508.3,31602.2,9806.5,4577,2615.5,2711.8,5100.5,1490.9,828.8,26009.2,19735.7,20210,2094.6,26428.6,14588.9,2899.1,1702.3,5383.1,2671.1,1327.8,1088.5
"plsX",3205.1,1966.4,1516.8,1821.8,3708.6,1523.8,1965.3,2794.2,1423.4,808.7,1410,723.3,3136.7,2802.8,1837,1785.6,2904.7,2322.6,1624.5,2006.6,1431.4,1572.5,832,676.3
"fabH",2565.2,1651,2347.4,1718.3,3001.2,1560.8,2110.4,2779.6,905.8,985.5,1148.8,499.5,2342.5,3148,2137.6,1424.8,2691.9,2243.3,1833.2,2261.8,1468.7,1311.7,893.7,877.6
"fabD",2893,2185.9,2982.7,1443.6,3642.4,1208.8,3004.8,2100.8,819.6,820.5,1122.5,391.3,2745.4,3236.7,2310.4,1473.9,2255.2,2600.7,1421.5,1684.9,1532.1,1061.8,764.6,641
"fabG",9784.4,7414.6,6990.8,8670.5,32466.8,18143.9,29073.9,14060.5,1933.1,3527.1,3621.6,1969.3,13137.4,10637.7,10531,9564.8,27218.9,25721.7,19284.5,14488.3,4766.9,3129.3,3814.4,2519.7
"acpP",18428.8,19427.8,17455.1,19145.7,45405.3,35309.9,35430.4,18191.4,5832.3,7406.3,6719.7,4642.9,20446.8,20421,20599.7,21587.9,36032.1,40540.5,31694.5,21289.1,8436.8,6387.3,6496.6,6146
"fabF",1016.6,698.9,592.4,693,2284.2,1362.7,1078.4,1403.4,246.9,315.2,184.5,114.3,915.2,891.8,813.8,448.6,4279.6,1514.8,1054,906.5,472.9,268.9,239,243.4
"pabC",377.7,230.4,368,179.7,273.8,226.9,279.4,408.7,98.2,65.8,57.9,55,281.1,182.5,183.4,229,87.1,332.6,210.9,334.2,135,103.7,93,114.9
"mltG",331.6,240.4,283.1,293.2,356.1,388.1,219,308.7,136,87.8,147.7,58.3,380.7,284.8,297.7,301,158,341.9,155.3,277.5,145.1,136.2,131.9,181.4
"tmk",691.3,314.1,441.3,701.9,972.8,832.5,534.2,923.3,400.5,185.8,339.1,170.8,470.5,474.1,462.6,331.7,920.8,711.2,853.7,592.4,312.2,433.9,280.7,347.1
"holB",350.5,199.4,283.7,164,306.2,243.3,104.5,367.8,114.6,86.2,155.3,60.1,254.6,244.9,206.9,143.8,198.3,89,54.5,169.9,134.2,185.2,138.5,136.6
"ycfH",503.4,335.4,2181.9,2886.5,382.8,273.1,1510.3,3231.8,137.7,68.7,962,720.9,466.5,415.6,359.1,5355.3,460.7,242.8,1830.2,2604.2,146.4,316.7,1238.5,1690.2
"ptsG",5142.1,3699,4282.2,2091.2,4673.7,2332.4,1397.9,1573,2158,500,1188.1,426.3,4962.6,1218.2,3254.2,2466.8,4884,2050.3,1460.7,1472.4,1565.8,1485.7,974.9,733.1
"fhuE",131.3,133.2,123,621.5,265.6,61,98.4,753.4,64.4,37.8,61.8,216,140.4,22.3,94.7,229.7,258.2,71.4,39.1,530.3,102,73,127.9,271.6
"hinT",609.5,1163,3513.6,1138.8,332.2,503.3,1099.4,999.3,248.5,223.3,1343.6,295.2,563.6,705.4,936.6,2181.1,341.7,554.2,1125.6,1013.1,403.5,663.1,849.1,576.4
"ycfL",464.6,820.9,1906.3,633.4,357.6,431.4,985.3,1328.4,165.9,152.3,669.8,134.1,359.4,467.3,495.2,1027.5,311.5,641,1046.3,1002.4,299.6,336.3,568.9,403.8
"lpoB",594.5,921.3,3163.3,1108,465.3,414.2,1544.2,1891.1,292.6,223.2,1006.7,242,530.7,591,570.9,1423.2,536.1,678.5,1080.2,1265.9,360.9,496.9,854.2,667.1
"thiK",672,727.5,979.6,872.9,766.8,837.1,1083.6,1302.2,500.9,247,736.9,335.3,714.1,780.5,723.2,1183.2,849.1,942.6,974.8,1162.7,634.1,619.7,538.8,353.7
"nagZ",1260.3,1421.9,2095.6,1372.8,844.3,1582.5,2818.6,1817,628.1,341,1257.7,429.7,1076,1328.3,1187.7,1290.8,1014.6,1482.1,1934.1,1800.9,669.6,859.2,871,576.9
"ycfP",1326.4,2321.9,5908.6,1524.9,1179.4,2217,7394.2,2779.9,539.3,694.4,2456.1,731.1,1151,1564.8,1557.1,2658.6,978.9,2654.3,3387.4,2807.7,880.8,927.9,1553.6,1030.2
"ndh",1198.3,85.8,429.1,125,1702.1,114.7,166.1,236.1,274.8,134.5,89.3,80.3,2325.9,1232.6,187.6,276.7,1373.2,193.1,247.6,212,52.3,123.6,122.9,91.5
"ycfJ",340.3,150.9,248.9,238.4,315.3,239.7,223,234.2,73.2,32.6,100.6,100.7,626.1,217.9,120.6,169.4,342.8,134.7,238.2,248,48.2,68.6,95.8,80.2
"comR",906,1273.6,1290.8,1110.8,497.2,635.5,1004.9,1170,168.1,266.3,519.9,365.2,710.3,1039,1335.2,1083.7,310.7,772.4,838.5,739.6,241.6,315.9,453.7,507.1
"bhsA",285.4,154.6,261.9,125.5,313,111.1,105,281.3,63.3,37.8,169.9,330.9,376.5,120.4,187.5,423.7,135.1,199.8,172.5,246.2,72.5,111.8,277.4,486.8
"ldtC",214.8,226.4,584.2,497.1,382.2,647,606.6,693.1,168.4,127.3,275.6,154,211.7,185.2,470.3,390,290.4,562.6,548.9,467.8,476.2,235.2,265.3,331.4
"mfd",527.8,740.6,874,672.3,445.8,785.1,538.1,749.9,228.1,129.5,246.6,178.4,578.7,675.1,703.9,565.2,519.8,652.8,575.6,755.6,271.7,304.4,225.4,224.4
"ycfT",76.2,111.5,83.9,137.3,109.7,173.1,53,47.2,13.7,3.1,6.4,11.8,50.2,45.9,43.9,56.5,145.2,90.1,112.5,171.6,18.7,22.6,46.5,29.2
"lolC",543.8,492,428.5,333.8,463.8,263.3,314.1,380.2,335.1,228.8,267.5,132.9,553.2,406.2,479.3,113.5,331,317.8,281.9,314.2,495.1,383.8,223.2,156.3
"lolD",581.7,449.5,500.6,458.5,596.6,616,470.3,488.2,282,241.6,197.2,105.2,559.3,570.4,506.7,215.7,470.9,531.5,270,337.2,498.7,335.7,224.5,140.8
"lolE",366.2,453.2,465.9,380.7,563.4,505,623.7,737.4,336.4,153.9,480.3,325.7,291.6,252.7,413,702,266.8,576.2,653.5,448.8,375,394.7,414.8,326.3
"nagK",492.7,640,694.9,607.3,816.7,1000.1,1058,1173.9,337.6,211.7,549.1,234.7,487.2,514.3,575.7,570.4,524.4,827.1,1059.6,868.5,448.1,361.6,383,321.4
"cobB",450,1015.2,769.2,456.5,504.8,1029.7,912.6,511.7,494.8,197.9,668.2,240.1,380.3,713.7,939.8,420.1,594.6,752.8,553.2,471,299.3,616.2,312.7,194.3
"ycfZ",NA,NA,NA,NA,NA,NA,NA,NA,23.4,12.5,3.4,1.9,NA,NA,NA,NA,NA,NA,NA,NA,21.7,21.7,16.5,8.6
"ymfA",141.7,153.5,77.1,21.9,54.1,17.4,7.2,13.9,88.1,25.4,6.7,6,186.5,58.6,89.6,60.2,121.7,20.4,15.1,14.1,66.4,49.4,35,8.9
"potD",3120.2,4126.6,3234,1566.5,2642.6,1628.9,1456.7,1243.3,781.4,999.8,520.3,267.4,2552.5,2686.2,3904.3,880.5,927.6,1366.6,1053,712.6,725.8,840.8,495,364.5
"potC",2278.1,1479.9,761.5,741,2067,835.7,807.7,964,829.5,838.7,335.7,182.6,1695.6,1378.2,1518.2,321.4,1146.3,1170.2,650.2,635.7,554,857.4,251.7,264.3
"potB",1226.8,404.1,159.7,241,1013.3,308.2,246.9,226.1,410.6,322.2,94.9,53.9,1015.1,520.8,692.4,109,601.3,358.3,221.3,202.4,268.9,339.9,68.8,57.5
"potA",1776.8,654.6,269.1,335.3,1180.6,397.5,345.8,452.9,780.9,476.2,171.7,77.4,1335.3,786.2,818.8,168.1,771.2,469.7,353.8,418.1,504.3,617.6,160.8,130.3
"pepT",212.3,323.8,1030.3,503.4,292,368,858.4,688.7,16.8,87.4,332.9,226.4,133.9,264.5,493.6,1209.9,361.2,588.2,644.5,615.7,117.5,133.4,333.5,272.6
"roxA",1531.5,1790.7,2010.5,2065.8,1742.5,1029.1,1095.3,2061.1,629.4,338.9,732.1,413.8,906.7,1486.7,1208.7,1922.2,698.2,1120.1,1526.2,1307.4,505.2,630.9,670.1,762.6
"phoQ",653.6,653.4,607,959.3,815.1,772.1,924.3,890,240.8,197.3,358.6,181.7,453.2,555.6,625.3,582.4,600.4,792.5,1115.4,863.6,264.6,495.2,451.1,322.9
