"","0","0 | 1","0 | 2","7200","7200 | 1"
"caiE",1.03686231908135,1.11309026236847,1.10140088893984,2.55594467925497,2.11124580145052
"caiD",NA,NA,NA,NA,NA
"caiC",1,0.659572333637879,1,NA,NA
"caiB",1.03458964494147,0.627693549831715,0.965830745514098,NA,0.958318893403673
"caiA",0.575111041792943,0.563132801534741,0.853765540424116,0.926895262355611,1.07902534396403
"caiT",0.880100716694265,0.802575809776904,0.868933581272159,0.927964590625266,0.982900334030334
"fixA",0.920409645128857,0.610801152744557,0.676174629720985,NA,0.866796882624589
"fixB",1.06009204453165,0.890382855698519,1.04265307820116,0.86893370173194,0.916905459584116
"fixC",0.711506571643693,0.895253207168487,1,NA,1.12882709877929
"fixX",0.707199920666087,0.648224497641961,0.707604489716113,1.08734854249546,1.06448265184532
"yaaU",1.04822503738464,0.866441823970013,0.986118153401591,NA,0.902207423541823
"kefF",1.29628488259094,0.909805111395026,1.2532092912917,0.968440237568339,1.02197712523206
"kefC",0.99636397162943,0.978273963846969,1.07127263613481,0.781573381201988,0.762881036940806
"folA",1.09295379510095,1.1486617614454,1.11739106327994,1.58478269615442,1.42705306553578
"apaH",0.96600022754099,1.0730784361159,1.02275573995103,1.09367239911943,1.12159056629847
"apaG",0.745999566373841,0.805788040338491,0.811129444420641,1.02606130321658,0.990247923508994
"rsmA",0.967029107181304,1.06496501612258,1.02601355714349,1.29237392757695,1.24066370265093
"pdxA",0.650786494596171,0.731150869875239,0.67079340684831,1.02327445724929,1.07200960119267
"surA",1.08258826891861,1.1642616884698,1.09147845284619,0.963654911197811,0.941348133131901
"lptD",1.05410432867286,1.19820490460269,1.05213211460971,1.04877326179387,1.13056326039372
"djlA",1.03542935133918,1.13460715421529,1.07566531482589,1.00568837607305,0.956861990519879
"yabP",1.10316076499559,0.968117731169994,0.942661163412695,0.78295743416905,0.722428614288913
"yabQ",1.10980566318963,1.03174839566278,1.01237379478613,0.904082834244677,0.99617083513497
"rluA",1.06590502291537,1.08661051727702,0.96340763604656,1.02401094466808,0.876039843384031
"rapA",0.893299364680117,0.833220782400858,0.832193219598828,1.1616675520936,1.03560768192088
