tf,tg,score
malT,1559,0.807
argR,1559,0.723
ompR,1559,0.801
pdhR,1559,0.707
ompR,1559,0.801
cytR,1559,0.808
crp,1559,0.806
tus,1559,0.708
metR,1559,0.813
cynR,1559,0.733
gcvA,1559,0.776
iclR,1559,0.792
fadR,1559,0.719
phoB,1559,0.722
tyrR,1559,0.706
soxS,1559,0.779
fis,1559,0.772
cynR,1559,0.733
fur,1559,0.758
dnaA,1559,0.733
arcA,1559,0.856
fis,1559,0.772
metR,1559,0.813
phoB,1559,0.722
argR,1559,0.723
hns,1559,0.821
tyrR,1559,0.706
lrp,1572,0.718
soxS,1572,0.796
fadR,1572,0.708
hns,1572,0.728
torR,1572,0.72
arcA,1572,0.715
cpxR,1572,0.731
galR,1572,0.721
nagC,1572,0.738
fis,1572,0.746
malT,1572,0.807
dnaA,1572,0.79
cpxR,1572,0.731
cytR,1572,0.723
cspA,1572,0.7
cytR,1572,0.723
malT,1572,0.807
ompR,1572,0.741
nagC,1572,0.738
galR,1572,0.721
cynR,1572,0.711
fadR,1572,0.708
soxS,1572,0.796
cynR,1572,0.711
torR,1572,0.72
dnaA,1572,0.79
fis,1572,0.746
arcA,1572,0.715
hns,1572,0.728
lrp,1571,0.738
soxS,1571,0.718
glpR,1571,0.75
pdhR,1571,0.707
hns,1571,0.702
torR,1571,0.707
crp,1571,0.718
gcvA,1571,0.913
arcA,1571,0.701
cpxR,1571,0.873
rpoE,1571,0.7
nagC,1571,0.859
malT,1571,0.807
dnaA,1571,0.709
cpxR,1571,0.873
cytR,1571,0.861
cspA,1571,0.808
cytR,1571,0.861
malT,1571,0.807
fur,1571,0.759
ompR,1571,0.701
nagC,1571,0.859
ompR,1571,0.701
pdhR,1571,0.707
narP,1571,0.718
crp,1571,0.718
narL,1571,0.741
gcvA,1571,0.913
cynR,1571,0.711
fur,1571,0.759
soxS,1571,0.718
narP,1571,0.718
cynR,1571,0.711
rpoE,1571,0.7
torR,1571,0.707
dnaA,1571,0.709
arcA,1571,0.701
narL,1571,0.741
glpR,1571,0.75
hns,1571,0.702
lrp,1570,0.732
soxS,1570,0.726
glpR,1570,0.72
pdhR,1570,0.707
metJ,1570,0.755
fnr,1570,0.783
hns,1570,0.723
crp,1570,0.71
torR,1570,0.707
arcA,1570,0.799
rpoE,1570,0.711
nagC,1570,0.798
malT,1570,0.826
dnaA,1570,0.762
cytR,1570,0.759
cspA,1570,0.754
cytR,1570,0.759
malT,1570,0.826
fnr,1570,0.783
ompR,1570,0.71
nagC,1570,0.798
ompR,1570,0.71
pdhR,1570,0.707
narP,1570,0.712
crp,1570,0.71
metR,1570,0.7
metJ,1570,0.755
soxS,1570,0.726
tyrR,1570,0.752
narP,1570,0.712
rpoE,1570,0.711
torR,1570,0.707
dnaA,1570,0.762
arcA,1570,0.799
metR,1570,0.7
glpR,1570,0.72
tyrR,1570,0.752
hns,1570,0.723
lrp,1569,0.719
soxS,1569,0.721
lrp,1569,0.719
metJ,1569,0.756
fnr,1569,0.715
hns,1569,0.805
cpxR,1569,0.852
galR,1569,0.764
fis,1569,0.729
malT,1569,0.719
cpxR,1569,0.852
purR,1569,0.749
dnaA,1569,0.747
cytR,1569,0.832
cspA,1569,0.7
cytR,1569,0.832
argR,1569,0.739
purR,1569,0.749
fnr,1569,0.715
malT,1569,0.719
ompR,1569,0.797
galR,1569,0.764
metR,1569,0.714
cynR,1569,0.711
metJ,1569,0.756
soxS,1569,0.721
cynR,1569,0.711
dnaA,1569,0.747
fis,1569,0.729
metR,1569,0.714
argR,1569,0.739
hns,1569,0.805
lrp,1568,0.726
soxS,1568,0.769
glpR,1568,0.713
lrp,1568,0.726
pdhR,1568,0.707
fnr,1568,0.751
hns,1568,0.731
arcA,1568,0.772
cpxR,1568,0.711
galR,1568,0.737
dnaA,1568,0.805
ada,1568,0.774
cpxR,1568,0.711
malT,1568,0.916
cytR,1568,0.719
cspA,1568,0.754
argR,1568,0.711
cytR,1568,0.719
fur,1568,0.756
malT,1568,0.916
fnr,1568,0.751
pdhR,1568,0.707
ompR,1568,0.76
narL,1568,0.723
galR,1568,0.737
metR,1568,0.78
phoB,1568,0.71
soxS,1568,0.769
tyrR,1568,0.714
fur,1568,0.756
dnaA,1568,0.805
arcA,1568,0.772
narL,1568,0.723
phoB,1568,0.71
metR,1568,0.78
glpR,1568,0.713
argR,1568,0.711
ada,1568,0.774
tyrR,1568,0.714
hns,1568,0.731
lrp,1567,0.718
soxS,1567,0.762
fadR,1567,0.713
glpR,1567,0.79
fhlA,1567,0.744
lrp,1567,0.718
metJ,1567,0.81
fnr,1567,0.732
hns,1567,0.836
iclR,1567,0.729
gcvA,1567,0.784
crp,1567,0.786
cpxR,1567,0.826
nagC,1567,0.79
fis,1567,0.701
cpxR,1567,0.826
purR,1567,0.729
cytR,1567,0.742
nagC,1567,0.79
cspA,1567,0.746
cysB,1567,0.73
cytR,1567,0.742
rpoN,1567,0.707
purR,1567,0.729
fnr,1567,0.732
ompR,1567,0.799
crp,1567,0.786
iclR,1567,0.729
gcvA,1567,0.784
metJ,1567,0.81
fadR,1567,0.713
soxS,1567,0.762
tyrR,1567,0.72
fhlA,1567,0.744
rpoN,1567,0.707
fis,1567,0.701
glpR,1567,0.79
cysB,1567,0.73
tyrR,1567,0.72
hns,1567,0.836
lrp,1566,0.719
soxS,1566,0.701
glpR,1566,0.803
lrp,1566,0.719
hns,1566,0.779
torR,1566,0.72
iclR,1566,0.771
crp,1566,0.754
cpxR,1566,0.716
dnaA,1566,0.733
cpxR,1566,0.716
malT,1566,0.807
cspA,1566,0.769
argR,1566,0.79
rpoN,1566,0.716
fur,1566,0.709
malT,1566,0.807
ompR,1566,0.741
narL,1566,0.702
crp,1566,0.754
iclR,1566,0.771
soxS,1566,0.701
tyrR,1566,0.701
fur,1566,0.709
torR,1566,0.72
dnaA,1566,0.733
rpoN,1566,0.716
narL,1566,0.702
glpR,1566,0.803
argR,1566,0.79
tyrR,1566,0.701
hns,1566,0.779
lrp,1565,0.712
soxS,1565,0.74
fadR,1565,0.71
lrp,1565,0.712
pdhR,1565,0.732
metJ,1565,0.731
hns,1565,0.881
fnr,1565,0.793
torR,1565,0.773
crp,1565,0.797
arcA,1565,0.713
cpxR,1565,0.854
dnaA,1565,0.816
nagC,1565,0.762
fis,1565,0.758
cpxR,1565,0.854
malT,1565,0.797
cytR,1565,0.749
nagC,1565,0.762
cspA,1565,0.785
argR,1565,0.803
cytR,1565,0.749
malT,1565,0.797
rpoN,1565,0.725
fur,1565,0.813
fnr,1565,0.793
pdhR,1565,0.732
ompR,1565,0.768
crp,1565,0.797
metR,1565,0.752
metJ,1565,0.731
fadR,1565,0.71
soxS,1565,0.74
tyrR,1565,0.718
fur,1565,0.813
torR,1565,0.773
dnaA,1565,0.816
rpoN,1565,0.725
deoR,1565,0.745
fis,1565,0.758
arcA,1565,0.713
metR,1565,0.752
argR,1565,0.803
tyrR,1565,0.718
hns,1565,0.881
soxS,1564,0.831
fadR,1564,0.714
lrp,1564,0.761
glpR,1564,0.762
lrp,1564,0.761
hns,1564,0.801
torR,1564,0.791
arcA,1564,0.757
cpxR,1564,0.815
galR,1564,0.778
dnaA,1564,0.793
fis,1564,0.821
cpxR,1564,0.815
cytR,1564,0.81
purR,1564,0.717
argR,1564,0.7
cytR,1564,0.81
purR,1564,0.717
ompR,1564,0.764
narL,1564,0.726
galR,1564,0.778
metR,1564,0.733
fadR,1564,0.714
soxS,1564,0.831
tyrR,1564,0.712
torR,1564,0.791
dnaA,1564,0.793
fis,1564,0.821
arcA,1564,0.757
narL,1564,0.726
glpR,1564,0.762
metR,1564,0.733
argR,1564,0.7
tyrR,1564,0.712
hns,1564,0.801
soxS,1563,0.709
lrp,1563,0.713
fhlA,1563,0.73
lrp,1563,0.713
metJ,1563,0.733
pdhR,1563,0.707
hns,1563,0.804
torR,1563,0.827
gcvA,1563,0.723
crp,1563,0.738
arcA,1563,0.84
ilvY,1563,0.702
cpxR,1563,0.7
ilvY,1563,0.702
dnaA,1563,0.718
nagC,1563,0.709
rpoE,1563,0.713
fis,1563,0.75
malT,1563,0.781
cpxR,1563,0.7
cytR,1563,0.839
nagC,1563,0.709
cspA,1563,0.754
fur,1563,0.775
cytR,1563,0.839
argR,1563,0.751
malT,1563,0.781
ompR,1563,0.742
pdhR,1563,0.707
narL,1563,0.813
crp,1563,0.738
cynR,1563,0.756
metR,1563,0.77
gcvA,1563,0.723
metJ,1563,0.733
soxS,1563,0.709
tyrR,1563,0.752
cynR,1563,0.756
fur,1563,0.775
dnaA,1563,0.718
fhlA,1563,0.73
rpoE,1563,0.713
torR,1563,0.827
fis,1563,0.75
arcA,1563,0.84
narL,1563,0.813
metR,1563,0.77
argR,1563,0.751
tyrR,1563,0.752
hns,1563,0.804
soxS,1562,0.716
lrp,1562,0.703
hns,1562,0.81
arcA,1562,0.744
galR,1562,0.702
ada,1562,0.708
rpoN,1562,0.772
cytR,1562,0.726
fur,1562,0.765
ompR,1562,0.742
galR,1562,0.702
metR,1562,0.713
soxS,1562,0.716
tyrR,1562,0.792
fis,1562,0.729
fur,1562,0.765
rpoN,1562,0.772
fis,1562,0.729
arcA,1562,0.744
metR,1562,0.713
ada,1562,0.708
tyrR,1562,0.792
hns,1562,0.81
lrp,1583,0.73
fadR,1583,0.842
hns,1583,0.834
soxS,1583,0.729
cspA,1583,0.777
crp,1583,0.716
lrp,1583,0.73
trpR,1583,0.743
malT,1583,0.807
dnaA,1583,0.764
ompR,1583,0.739
cspA,1583,0.777
ompR,1583,0.739
malT,1583,0.807
cynR,1583,0.711
crp,1583,0.716
metR,1583,0.716
fadR,1583,0.842
cynR,1583,0.711
soxS,1583,0.729
dnaA,1583,0.764
trpR,1583,0.743
metR,1583,0.716
hns,1583,0.834
lrp,1582,0.706
glpR,1582,0.807
metJ,1582,0.704
hns,1582,0.816
soxS,1582,0.726
cspA,1582,0.723
torR,1582,0.707
arcA,1582,0.778
cpxR,1582,0.762
lrp,1582,0.706
ada,1582,0.745
malT,1582,0.791
purR,1582,0.705
cytR,1582,0.924
cpxR,1582,0.762
cspA,1582,0.723
cytR,1582,0.924
ompR,1582,0.747
malT,1582,0.791
ompR,1582,0.747
purR,1582,0.705
cynR,1582,0.733
ada,1582,0.745
narL,1582,0.72
metR,1582,0.743
cynR,1582,0.733
metJ,1582,0.704
tyrR,1582,0.735
soxS,1582,0.726
torR,1582,0.707
narL,1582,0.72
arcA,1582,0.778
metR,1582,0.743
hns,1582,0.816
glpR,1582,0.807
tyrR,1582,0.735
fnr,1581,0.725
lrp,1581,0.718
fadR,1581,0.811
pdhR,1581,0.732
metJ,1581,0.703
hns,1581,0.949
soxS,1581,0.775
cspA,1581,0.746
crp,1581,0.715
ilvY,1581,0.719
arcA,1581,0.726
ilvY,1581,0.719
cpxR,1581,0.703
lrp,1581,0.718
galR,1581,1.0
fis,1581,0.772
purR,1581,0.832
cytR,1581,0.803
cpxR,1581,0.703
dnaA,1581,0.757
cspA,1581,0.746
fnr,1581,0.725
argR,1581,0.789
ompR,1581,0.815
cytR,1581,0.803
fur,1581,0.712
pdhR,1581,0.732
nagC,1581,0.733
ompR,1581,0.815
purR,1581,0.832
cynR,1581,0.711
galR,1581,1.0
narL,1581,0.713
crp,1581,0.715
metR,1581,0.766
fadR,1581,0.811
cynR,1581,0.711
metJ,1581,0.703
tyrR,1581,0.767
soxS,1581,0.775
fur,1581,0.712
nagC,1581,0.733
dnaA,1581,0.757
narL,1581,0.713
arcA,1581,0.726
argR,1581,0.789
fis,1581,0.772
metR,1581,0.766
hns,1581,0.949
tyrR,1581,0.767
fnr,1580,0.704
lrp,1580,0.7
fadR,1580,0.773
metJ,1580,0.735
pdhR,1580,0.732
hns,1580,0.867
soxS,1580,0.716
gcvA,1580,0.817
ilvY,1580,0.719
arcA,1580,0.817
ilvY,1580,0.719
cpxR,1580,0.823
lrp,1580,0.7
nagC,1580,0.743
fis,1580,0.714
malT,1580,0.702
cpxR,1580,0.823
fnr,1580,0.704
argR,1580,0.71
ompR,1580,0.746
malT,1580,0.702
rpoN,1580,0.748
nagC,1580,0.743
ompR,1580,0.746
pdhR,1580,0.732
cynR,1580,0.711
narL,1580,0.794
fadR,1580,0.773
cynR,1580,0.711
gcvA,1580,0.817
metJ,1580,0.735
tyrR,1580,0.758
soxS,1580,0.716
rpoN,1580,0.748
fis,1580,0.714
narL,1580,0.794
arcA,1580,0.817
argR,1580,0.71
hns,1580,0.867
tyrR,1580,0.758
lrp,1579,0.705
soxS,1579,0.735
fadR,1579,0.749
glpR,1579,0.727
metJ,1579,0.708
pdhR,1579,0.732
hns,1579,0.838
fnr,1579,0.736
gcvA,1579,0.712
torR,1579,0.84
crp,1579,0.723
arcA,1579,0.841
galR,1579,0.72
fis,1579,0.708
malT,1579,0.744
purR,1579,0.713
cytR,1579,0.758
dnaA,1579,0.706
cspA,1579,0.777
rpoN,1579,0.751
cytR,1579,0.758
fnr,1579,0.736
malT,1579,0.744
ompR,1579,0.839
pdhR,1579,0.732
purR,1579,0.713
galR,1579,0.72
crp,1579,0.723
metR,1579,0.733
fadR,1579,0.749
cynR,1579,0.733
gcvA,1579,0.712
metJ,1579,0.708
soxS,1579,0.735
tyrR,1579,0.793
cynR,1579,0.733
dnaA,1579,0.706
torR,1579,0.84
rpoN,1579,0.751
fis,1579,0.708
arcA,1579,0.841
metR,1579,0.733
glpR,1579,0.727
hns,1579,0.838
tyrR,1579,0.793
lrp,1578,0.754
soxS,1578,0.776
glpR,1578,0.785
metJ,1578,0.771
pdhR,1578,0.732
hns,1578,0.76
torR,1578,0.707
arcA,1578,0.726
cpxR,1578,0.74
nagC,1578,0.719
purR,1578,0.716
cytR,1578,0.718
dnaA,1578,0.738
cpxR,1578,0.74
cspA,1578,0.777
cytR,1578,0.718
argR,1578,0.739
ompR,1578,0.702
purR,1578,0.716
pdhR,1578,0.732
nagC,1578,0.719
narL,1578,0.766
metR,1578,0.787
metJ,1578,0.771
soxS,1578,0.776
dnaA,1578,0.738
torR,1578,0.707
arcA,1578,0.726
narL,1578,0.766
metR,1578,0.787
argR,1578,0.739
glpR,1578,0.785
hns,1578,0.76
lrp,1577,0.769
soxS,1577,0.738
glpR,1577,0.785
pdhR,1577,0.732
hns,1577,0.85
torR,1577,0.707
arcA,1577,0.726
cpxR,1577,0.74
galR,1577,0.793
nagC,1577,0.719
malT,1577,0.743
cytR,1577,0.718
dnaA,1577,0.738
purR,1577,0.814
cpxR,1577,0.74
cytR,1577,0.718
argR,1577,0.704
malT,1577,0.743
ompR,1577,0.702
purR,1577,0.814
pdhR,1577,0.732
nagC,1577,0.719
galR,1577,0.793
narL,1577,0.766
metR,1577,0.85
soxS,1577,0.738
torR,1577,0.707
dnaA,1577,0.738
arcA,1577,0.726
narL,1577,0.766
metR,1577,0.85
argR,1577,0.704
glpR,1577,0.785
hns,1577,0.85
lrp,1576,0.806
soxS,1576,0.701
fadR,1576,0.7
glpR,1576,0.716
pdhR,1576,0.732
hns,1576,0.795
lexA,1576,0.76
iclR,1576,0.792
nagC,1576,0.783
lexA,1576,0.76
malT,1576,0.807
rpoN,1576,0.855
fur,1576,0.761
malT,1576,0.807
ompR,1576,0.719
pdhR,1576,0.732
nagC,1576,0.783
narL,1576,0.743
metR,1576,0.809
fadR,1576,0.7
iclR,1576,0.792
soxS,1576,0.701
fur,1576,0.761
rpoN,1576,0.855
narL,1576,0.743
metR,1576,0.809
glpR,1576,0.716
hns,1576,0.795
lrp,1575,0.718
soxS,1575,0.816
glpR,1575,0.755
hns,1575,0.732
crp,1575,0.744
torR,1575,0.707
ilvY,1575,0.702
malT,1575,0.926
cytR,1575,0.727
cspA,1575,0.723
rpoN,1575,0.713
cytR,1575,0.727
fur,1575,0.714
malT,1575,0.926
ompR,1575,0.801
narP,1575,0.717
crp,1575,0.744
narL,1575,0.879
metR,1575,0.71
fur,1575,0.714
soxS,1575,0.816
narP,1575,0.717
torR,1575,0.707
rpoN,1575,0.713
narL,1575,0.879
metR,1575,0.71
glpR,1575,0.755
hns,1575,0.732
lrp,1574,0.736
soxS,1574,0.793
glpR,1574,0.839
pdhR,1574,0.707
fnr,1574,0.713
hns,1574,0.707
crp,1574,0.894
torR,1574,0.773
gcvA,1574,0.713
arcA,1574,0.724
ilvY,1574,0.719
cpxR,1574,0.774
ada,1574,0.745
nagC,1574,0.795
fis,1574,0.725
cytR,1574,0.834
dnaA,1574,0.749
cpxR,1574,0.774
cspA,1574,0.708
cytR,1574,0.834
fur,1574,0.7
fnr,1574,0.713
argR,1574,0.727
ompR,1574,0.739
pdhR,1574,0.707
ompR,1574,0.739
nagC,1574,0.795
crp,1574,0.894
narL,1574,0.738
cynR,1574,0.733
gcvA,1574,0.713
phoB,1574,0.709
fur,1574,0.7
soxS,1574,0.793
tyrR,1574,0.701
cynR,1574,0.733
torR,1574,0.773
dnaA,1574,0.749
fis,1574,0.725
arcA,1574,0.724
narL,1574,0.738
phoB,1574,0.709
ada,1574,0.745
argR,1574,0.727
glpR,1574,0.839
hns,1574,0.707
tyrR,1574,0.701
lrp,1573,0.865
soxS,1573,0.711
metJ,1573,0.716
hns,1573,0.74
fnr,1573,0.717
crp,1573,0.852
ilvY,1573,0.825
nagC,1573,0.704
fis,1573,0.724
malT,1573,0.8
dnaA,1573,0.719
cytR,1573,0.707
cspA,1573,0.769
rpoN,1573,0.713
cytR,1573,0.707
malT,1573,0.8
argR,1573,0.746
fnr,1573,0.717
ompR,1573,0.726
nagC,1573,0.704
crp,1573,0.852
narL,1573,0.73
cynR,1573,0.711
phoB,1573,0.701
metJ,1573,0.716
soxS,1573,0.711
tyrR,1573,0.873
cynR,1573,0.711
dnaA,1573,0.719
rpoN,1573,0.713
fis,1573,0.724
narL,1573,0.73
phoB,1573,0.701
argR,1573,0.746
hns,1573,0.74
tyrR,1573,0.873
fnr,1594,0.71
lrp,1594,0.722
hns,1594,0.882
pdhR,1594,0.78
soxS,1594,0.719
cpxR,1594,0.832
gcvA,1594,0.725
arcA,1594,0.79
lrp,1594,0.722
pdhR,1594,0.78
cpxR,1594,0.832
fis,1594,0.718
malT,1594,0.733
dnaA,1594,0.757
ompR,1594,0.712
argR,1594,0.729
fnr,1594,0.71
ompR,1594,0.712
cytR,1594,0.709
fur,1594,0.721
nagC,1594,0.721
malT,1594,0.733
cynR,1594,0.711
narL,1594,0.771
cytR,1594,0.709
tyrR,1594,0.701
soxS,1594,0.719
fur,1594,0.721
cynR,1594,0.711
nagC,1594,0.721
gcvA,1594,0.725
dnaA,1594,0.757
arcA,1594,0.79
narL,1594,0.771
fis,1594,0.718
argR,1594,0.729
hns,1594,0.882
tyrR,1594,0.701
crp,1110,0.714
cspA,1110,0.738
torR,1110,0.809
phoB,1110,0.711
pdhR,1110,0.707
hns,1110,0.774
galR,1110,0.84
torR,1110,0.809
soxS,1110,0.771
lrp,1110,0.712
hns,1110,0.774
fis,1110,0.807
cpxR,1110,0.856
metJ,1110,0.716
cynR,1110,0.711
metR,1110,0.917
cspA,1110,0.738
iclR,1110,0.813
phoB,1110,0.711
fur,1110,0.851
malT,1110,0.854
arcA,1110,0.706
soxS,1110,0.771
ompR,1110,0.712
cynR,1110,0.711
cpxR,1110,0.856
ompR,1110,0.712
cytR,1110,0.837
fur,1110,0.851
nagC,1110,0.757
dnaA,1110,0.813
lexA,1110,0.725
pdhR,1110,0.707
malT,1110,0.854
cytR,1110,0.837
purR,1110,0.845
iclR,1110,0.813
nagC,1110,0.757
metJ,1110,0.716
purR,1110,0.845
fis,1110,0.807
crp,1110,0.714
fhlA,1110,0.801
galR,1110,0.84
ada,1110,0.714
arcA,1110,0.706
metR,1110,0.917
lexA,1110,0.725
ada,1110,0.714
dnaA,1110,0.813
lrp,1110,0.712
fhlA,1110,0.801
fnr,1593,0.748
lrp,1593,0.847
glpR,1593,0.731
hns,1593,0.868
pdhR,1593,0.78
cspA,1593,0.731
soxS,1593,0.793
cpxR,1593,0.718
crp,1593,0.731
arcA,1593,0.738
lrp,1593,0.847
pdhR,1593,0.78
cpxR,1593,0.718
ada,1593,0.718
fis,1593,0.834
malT,1593,0.709
dnaA,1593,0.767
ompR,1593,0.746
cspA,1593,0.731
fnr,1593,0.748
rpoN,1593,0.702
ompR,1593,0.746
cytR,1593,0.718
fur,1593,0.748
malT,1593,0.709
crp,1593,0.731
narL,1593,0.753
ada,1593,0.718
metR,1593,0.787
cytR,1593,0.718
tyrR,1593,0.827
soxS,1593,0.793
fur,1593,0.748
dnaA,1593,0.767
rpoN,1593,0.702
arcA,1593,0.738
narL,1593,0.753
fis,1593,0.834
metR,1593,0.787
hns,1593,0.868
tyrR,1593,0.827
glpR,1593,0.731
lrp,1592,0.771
fadR,1592,0.708
glpR,1592,0.777
metJ,1592,0.71
hns,1592,0.756
soxS,1592,0.727
torR,1592,0.791
arcA,1592,0.794
crp,1592,0.757
lrp,1592,0.771
purR,1592,0.811
malT,1592,0.714
dnaA,1592,0.764
ompR,1592,0.709
cytR,1592,0.702
purR,1592,0.811
malT,1592,0.714
narP,1592,0.744
cynR,1592,0.778
crp,1592,0.757
narL,1592,0.712
metR,1592,0.732
metJ,1592,0.71
cytR,1592,0.702
fadR,1592,0.708
tyrR,1592,0.7
soxS,1592,0.727
narP,1592,0.744
lacI,1592,0.758
cynR,1592,0.778
dnaA,1592,0.764
torR,1592,0.791
arcA,1592,0.794
narL,1592,0.712
metR,1592,0.732
hns,1592,0.756
tyrR,1592,0.7
glpR,1592,0.777
fnr,1591,0.704
lrp,1591,0.763
glpR,1591,0.779
metJ,1591,0.702
hns,1591,0.759
pdhR,1591,0.707
soxS,1591,0.704
cpxR,1591,0.704
torR,1591,0.737
crp,1591,0.721
arcA,1591,0.707
lrp,1591,0.763
cpxR,1591,0.704
pdhR,1591,0.707
dnaA,1591,0.715
ompR,1591,0.767
fnr,1591,0.704
cytR,1591,0.767
ompR,1591,0.767
fur,1591,0.748
nagC,1591,0.707
crp,1591,0.721
metJ,1591,0.702
cytR,1591,0.767
soxS,1591,0.704
deoR,1591,0.802
fur,1591,0.748
nagC,1591,0.707
dnaA,1591,0.715
torR,1591,0.737
arcA,1591,0.707
deoR,1591,0.802
hns,1591,0.759
glpR,1591,0.779
fnr,1590,0.807
lrp,1590,0.77
glpR,1590,0.775
pdhR,1590,0.756
hns,1590,0.722
cspA,1590,0.792
soxS,1590,0.715
gcvA,1590,0.709
torR,1590,0.707
cpxR,1590,0.736
ilvY,1590,0.825
arcA,1590,0.78
iclR,1590,0.708
crp,1590,0.791
ilvY,1590,0.825
lrp,1590,0.77
cpxR,1590,0.736
pdhR,1590,0.756
galR,1590,0.753
fis,1590,0.702
malT,1590,0.99
dnaA,1590,0.741
ompR,1590,0.824
cspA,1590,0.792
argR,1590,0.786
fnr,1590,0.807
rpoN,1590,0.724
cytR,1590,0.867
ompR,1590,0.824
fur,1590,0.796
malT,1590,0.99
nagC,1590,0.713
galR,1590,0.753
crp,1590,0.791
narL,1590,0.793
metR,1590,0.712
cytR,1590,0.867
tyrR,1590,0.801
iclR,1590,0.708
soxS,1590,0.715
deoR,1590,0.802
fur,1590,0.796
gcvA,1590,0.709
nagC,1590,0.713
dnaA,1590,0.741
torR,1590,0.707
rpoN,1590,0.724
arcA,1590,0.78
narL,1590,0.793
fis,1590,0.702
deoR,1590,0.802
argR,1590,0.786
metR,1590,0.712
hns,1590,0.722
tyrR,1590,0.801
glpR,1590,0.775
tyrR,1107,0.791
cspA,1107,0.785
phoB,1107,0.714
torR,1107,0.707
hns,1107,0.716
pdhR,1107,0.707
crp,1107,0.705
torR,1107,0.707
galR,1107,0.706
soxS,1107,0.823
lrp,1107,0.751
hns,1107,0.716
narL,1107,0.781
cpxR,1107,0.73
fnr,1107,0.757
metJ,1107,0.728
cynR,1107,0.822
iclR,1107,0.854
cspA,1107,0.785
phoB,1107,0.714
pdhR,1107,0.707
fur,1107,0.711
malT,1107,0.916
cpxR,1107,0.73
soxS,1107,0.823
cynR,1107,0.822
ompR,1107,0.765
argR,1107,0.727
cytR,1107,0.783
ompR,1107,0.765
fur,1107,0.711
dnaA,1107,0.741
nagC,1107,0.78
cytR,1107,0.783
malT,1107,0.916
gcvA,1107,0.722
nagC,1107,0.78
iclR,1107,0.854
metJ,1107,0.728
tyrR,1107,0.791
crp,1107,0.705
fnr,1107,0.757
galR,1107,0.706
argR,1107,0.727
dnaA,1107,0.741
lrp,1107,0.751
narL,1107,0.781
gcvA,1107,0.722
tyrR,1106,0.703
phoB,1106,0.727
hns,1106,0.789
pdhR,1106,0.707
crp,1106,0.757
soxS,1106,0.701
galR,1106,0.712
lrp,1106,0.738
hns,1106,0.789
narL,1106,0.755
cpxR,1106,0.743
fnr,1106,0.739
metR,1106,0.726
phoB,1106,0.727
fur,1106,0.788
cynR,1106,0.733
pdhR,1106,0.707
malT,1106,0.714
cpxR,1106,0.743
soxS,1106,0.701
arcA,1106,0.78
cynR,1106,0.733
ompR,1106,0.741
cytR,1106,0.736
ompR,1106,0.741
argR,1106,0.826
fur,1106,0.788
dnaA,1106,0.735
nagC,1106,0.74
cytR,1106,0.736
malT,1106,0.714
gcvA,1106,0.733
nagC,1106,0.74
tyrR,1106,0.703
crp,1106,0.757
fnr,1106,0.739
galR,1106,0.712
narP,1106,0.716
arcA,1106,0.78
metR,1106,0.726
glpR,1106,0.71
argR,1106,0.826
glpR,1106,0.71
narP,1106,0.716
dnaA,1106,0.735
lrp,1106,0.738
narL,1106,0.755
gcvA,1106,0.733
tyrR,1105,0.813
cspA,1105,0.715
torR,1105,0.773
hns,1105,0.805
pdhR,1105,0.707
crp,1105,0.74
torR,1105,0.773
fadR,1105,0.721
soxS,1105,0.83
marR,1105,0.864
hns,1105,0.805
narL,1105,0.703
cpxR,1105,0.711
fnr,1105,0.704
metR,1105,0.75
marR,1105,0.864
cspA,1105,0.715
fur,1105,0.722
pdhR,1105,0.707
malT,1105,0.743
cpxR,1105,0.711
soxS,1105,0.83
ompR,1105,0.705
cytR,1105,0.73
ompR,1105,0.705
argR,1105,0.709
fur,1105,0.722
nagC,1105,0.704
dnaA,1105,0.708
cytR,1105,0.73
malT,1105,0.743
gcvA,1105,0.705
nagC,1105,0.704
fadR,1105,0.721
tyrR,1105,0.813
crp,1105,0.74
fnr,1105,0.704
ada,1105,0.705
rpoN,1105,0.718
deoR,1105,0.723
metR,1105,0.75
glpR,1105,0.744
argR,1105,0.709
glpR,1105,0.744
ada,1105,0.705
dnaA,1105,0.708
narL,1105,0.703
deoR,1105,0.723
gcvA,1105,0.705
fadR,1589,0.905
hns,1589,0.717
soxS,1589,0.71
cspA,1589,0.746
crp,1589,0.759
ilvY,1589,0.789
cpxR,1589,0.704
galR,1589,0.723
fis,1589,0.701
malT,1589,0.745
dnaA,1589,0.701
cytR,1589,0.786
cpxR,1589,0.704
ompR,1589,0.718
cspA,1589,0.746
cytR,1589,0.786
ompR,1589,0.718
fur,1589,0.723
malT,1589,0.745
galR,1589,0.723
crp,1589,0.759
narL,1589,0.79
fadR,1589,0.905
phoB,1589,0.734
tyrR,1589,0.712
soxS,1589,0.71
fur,1589,0.723
dnaA,1589,0.701
narL,1589,0.79
phoB,1589,0.734
fis,1589,0.701
hns,1589,0.717
tyrR,1589,0.712
lrp,1588,0.78
fadR,1588,0.707
metJ,1588,0.809
pdhR,1588,0.707
hns,1588,0.732
soxS,1588,0.795
cspA,1588,0.769
cpxR,1588,0.731
lrp,1588,0.78
pdhR,1588,0.707
fis,1588,0.709
malT,1588,0.807
dnaA,1588,0.728
purR,1588,0.792
cytR,1588,0.713
cpxR,1588,0.731
ompR,1588,0.775
cspA,1588,0.769
ompR,1588,0.775
cytR,1588,0.713
rpoN,1588,0.745
