"","0","1200","1200 | 1","4800","8400","12000","19200","0 | 1","0 | 2","1200 | 2","4800 | 1","8400 | 1","12000 | 1","19200 | 1"
"1.1.4.8",1.19386184995528,1.39695140368224,0.958370241106816,1.50113664590326,1.2098503254449,1.40142550630087,0.824126915164169,0.676191158224292,0.965907292252636,1.03449907843541,1.08593806474415,1.02456656517298,1.33092294359776,0.941988981002827
"malG",1.05415290555907,1.48161772893204,1.53111145126663,1.14968771739646,1.56011885874063,1.48367496168816,1.90280560487547,1.75523412282446,1.09388388029861,0.918084843808656,0.791142232185128,0.999045880890191,1.00463427692594,0.857014011759017
"1.1.4.10",1.10034831055925,1.33493793079664,1.47451873687106,1.16329896373121,0.982381012076447,1.7452034925602,1.92572258907776,1.7481131171826,0.882430270214281,0.937772089818724,0.747181245766717,1.03759226730226,0.984651866777136,0.957346608572985
"dtpC",0.792413808074163,0.733593987582916,0.70707924284065,0.890807916285084,0.969118032053679,0.751657386518844,0.641498561356062,0.677462092215775,0.951095858473022,0.768511017558766,0.759224194951479,0.808760395952428,0.789310998264729,0.882690754007099
"1.1.4.12",0.788416178354618,0.702005970650325,1.42693024610703,0.828749938914671,0.520103514206031,0.928105167132535,0.651549964462425,0.916005261979324,0.765572747782063,0.817332244284756,0.913287030516401,0.787916900713829,0.967697790468955,0.780067390078057
"yjfF",0.940053938262467,0.967687893500102,0.669246269426951,1.01700199340817,0.965508463641355,1.35734593141859,1.32469246631409,1.27536178502089,1.10715361300232,1.07415730402079,1.01588384539817,1.01509922050079,1.11607305034788,1.13710566641405
"1.1.4.14",0.891495518110207,0.947011084994111,0.983046331315568,1.03707551262981,0.628668742932301,1.34891215599415,1.31535096306295,1.17383696216511,1.02831675216509,1.1934327733554,0.954568643247785,0.977433325438012,1.0999188741865,1.12325749472065
"yjiK",1.20668672482933,1.08846983472812,0.913479537451497,1.37894893002379,0.878157859454575,1.18543696722363,1.39512128854371,3.28951402102138,2.38602511377705,1.21150465826702,1.14536006472699,1.25829967020588,1.86983825071016,1.41235226255046
"1.1.4.16",1.27351795505346,1.083527548373,0.780142001803496,1.54641649243923,0.924793589187335,1.17188676962035,1.49510244620772,3.53134886689599,2.7673741729545,1.17796953317043,1.11125861149558,1.23458430078639,1.96439486854945,1.48140646562857
"yjbB",0.637242439169254,0.929588235632476,1.23070573427411,0.769753618340685,0.937644213468105,0.931462919924781,0.84561198761645,0.948507151276469,0.666671707585267,0.81435514810044,0.806725271689843,0.684080655481292,0.438423007517599,0.686965108787063
"1.1.5.2",0.729997516009507,1.0653562821927,1.21661183273063,0.675910574832886,1.06873897693832,0.77781072235103,0.810426937337691,0.963288388016807,0.572649331365785,0.902156181540466,0.927084263668534,0.686739932078663,0.690708738437471,0.693230857917601
"melR",0.742728099149849,1.02133313402031,1.44332544863713,0.91611564488117,1.25746544806076,1.03324682675376,0.867602057230719,0.953253096863056,0.982880746324603,1.05848217914732,0.944571433434333,0.93582925716025,0.917191219615403,0.718646724151652
"1.1.5.4",0.731165631953799,0.88576714089861,1.36846462090383,0.994061789081691,1.58541910969883,1.03574502311299,1.05437741723696,0.828565105206018,0.856000446935433,0.769448006235098,0.907675451067438,0.92330386181803,0.875359847131083,0.958927444107384
"msrA",0.6540992557445,0.73783816903831,1.45953048043189,1.09467985454317,0.994068465815729,0.949873966457972,1.00481834715133,1.05674449366744,0.677117526244747,0.60667283821736,0.944783587502986,0.910873654743199,0.839896829269009,0.887985424308129
"1.1.5.6",0.761067899399886,0.900092639175119,1.35178378499378,1.05333201570927,0.724534474877979,0.665631914523241,0.983954378496746,0.751731512589245,0.707973568588568,0.881515715506639,0.952623177974338,0.829706841886885,0.861436168881117,0.849001358870098
"gntP",0.976600534713321,0.822251178538542,0.698478533619527,0.933340535424314,0.863279567120143,1.06816903509786,1.31842237511147,0.730130594386571,0.968530848707797,1.02775933801579,0.98227659425803,0.954748446824463,1.00397806395169,0.901069042607707
"1.1.5.8",1.01574403900895,0.889838641848193,0.696743756233193,0.950084810981851,0.584445749667004,0.968098483689371,1.2886896955348,0.671475376482149,1.04714650492241,0.941902910861416,1.00028970331063,1.04375584741909,1.05471331232157,0.936558140965144
"lysC",1.13063728295302,1.03331366468073,0.642368526327669,1.26411803662373,1.69919679020979,1.23659583024044,0.992006962871556,1.31288472037897,0.852130928329512,1.06620951938523,0.948288447771166,0.866854777560186,0.970313534188202,0.982067682320384
"1.1.5.10",1.10724358595659,1.13411817201965,0.821442426047815,1.29132557278093,1.96738764416689,1.43591920580812,0.925608389582821,1.16194272618678,0.7483908650046,1.18376772018219,0.916317958845436,0.873304486505381,0.919401153943551,0.979826999986693
"fumB",0.989121779545178,0.903512242056832,0.456620011317907,1.15672841828214,0.875500514141086,1.33664938746576,1.11238477265738,1.31410070079605,1.01953891998741,0.756320744463669,0.958176747840399,0.896159295896649,0.673324980393944,0.880117916311208
"1.1.5.12",1.02454131732732,0.9263007661706,0.494455147916986,1.11940803856496,0.601976497426063,1.30219829529672,1.06702404267887,1.38274046820332,1.00126249465908,0.697365499941907,1.01115749093699,0.901056781064842,0.897505318315127,0.906591488680896
"yjiC",0.986368934386584,0.692495677921923,1.39178283622694,0.785390175250767,0.802207777259116,0.995361177382793,0.987232066600452,1.16207975409664,1.09441057516348,0.821864899968643,0.888190848103327,0.976674198078481,1.03215452757047,1.08226234276615
"1.1.5.16",0.918962952933003,0.755064408728247,1.19519698176359,0.92637711892672,1.11828230996299,1.32892775963145,0.80491620453891,1.19941852209824,1.08170713652888,0.961020738290258,1.00746402273823,0.929858552331577,0.997704197308934,1.0490982904945
"yjaB",0.842801910128818,1.00151483963877,0.738845894837041,0.634808428318524,0.953485645907867,0.695097567345107,1.4810332178921,1.30172019296259,1.36874105268475,1.08762420205307,0.968102499840587,1.24416144521405,0.504157613360293,1.00945222505499
"1.1.6.2",0.831005329155832,0.999070460977299,0.71662384111964,0.553192234981367,1.00560804383445,0.890953571804149,1.51558444066557,1.1933694832552,1.35183599574987,1.08303348381717,1.01463556302637,1.2615431287486,0.790268330853474,1.07892802631954
"rdcB",0.588091721050748,0.99387644389827,1.15221035132981,0.756518150850529,1.12735718838586,0.917399571069447,0.942234357953909,0.972006075162021,1.05610180001393,0.974755679668893,1.00797702247962,0.875786694048947,0.819486498259917,0.82827392166842
