"","0","3600","0 | 1","3600 | 1","0 | 2","0 | 3","0 | 4","0 | 5","0 | 6","7200","7200 | 1","0 | 7","0 | 8","0 | 9","10800","0 | 10","0 | 11","10800 | 1","14400","0 | 12","14400 | 1","0 | 13","0 | 14","0 | 15","0 | 16","18000","0 | 17","18000 | 1"
"ygcQ",0.516115142808247,0.908734871786405,0.885447066527052,1.15098511573293,0.888509958306771,0.834985906472423,0.861263003406298,0.74258457917406,0.818541459597801,0.986060652168958,0.891647463376313,0.880844992487823,0.620059377012965,0.726644249275761,0.809043148656535,0.737545427059463,1.17714828119331,0.583864046939949,0.862151071128721,0.86800074918768,1.05303046261305,0.785713154232702,0.881109945523174,0.667754670175528,0.590507158868474,0.666981635371989,0.807318110481561,0.853396687634379
"ygcR",1.09489684299166,0.809640523721076,1.01846663475884,0.927071725870702,1.02786371321553,1.05337715525161,0.902495148683559,0.95264476170873,0.978971416164439,1.04147765748747,1.18268068064957,1.50759476658565,1.54559317748981,0.791831648328857,0.70659600227781,0.378570853741114,0.943668669180883,0.783204920585719,0.603796193985487,0.552990031883636,1.05644697602861,0.905487248677783,0.887689898956852,0.959272487934379,1.03797610346025,0.715222819901183,1.02648990047983,1.7155026030529
"ygcS",1.06947351774817,1.17938545331139,1.17071908783006,1.31612013244721,0.941928917283799,0.831733207017165,0.850431828086721,1.05293002881208,0.932441027691017,0.972839068077137,1.17743841110701,0.707652289008284,1.41754888086806,1.24788647959267,0.968343314153206,0.932196001628014,1.36450705983137,0.98104569856562,1.03576627459171,0.980094187054001,0.795138086056601,0.824263847353495,0.785567566029758,0.856552248200772,0.782287484948903,1.08186586058042,1.14249013882219,0.906006959185577
"ygcW",0.815931777896869,0.949173765426209,1.00363771506493,1.1379723657445,0.871120323523178,1.01167421003626,0.831033516058309,0.816487619326258,0.534623298248372,0.74849476958153,0.524537843181288,0.926933379886535,1.04275489523099,0.454045226614356,0.77994092700226,0.531127626133133,0.778392580616548,0.431077689311434,0.987575506621442,1.61473272966637,0.636358413209645,0.449566751634936,0.324147161801437,0.656892906176534,0.409424598458058,0.434746675070984,0.288550955413622,0.805408019792467
"yqcE",0.508551862916204,0.627028738739817,0.82915170707363,1.15885997733223,0.467110079605573,0.576446423813396,0.446626185085571,0.503581271694288,0.124518078908756,0.215632556689834,0.213357562771781,0.504488608731832,0.27236723465825,0.228449857697865,0.217567894425743,0.231103333514331,0.339529310430653,0.409603035198122,0.198401245823578,0.247292331025834,0.377474892027035,0.329228099356106,0.167465787298101,0.315135838759535,0.322916197596712,0.277291028854778,0.235189022704417,0.258512728323586
"ygcE",0.903138426758716,1.15215725741231,1.52837457148904,1.3896172508161,1.10785677871231,0.827440517358135,0.883674520021892,1.08503160697943,1.2681065860358,1.42765904540486,1.23913430318067,0.771912482106839,2.08719371933729,2.29553211688882,3.76524073183166,1.13529731640282,2.74681668857468,1.24847452195741,2.07471893236158,1.44526996507777,1.15571934807283,1.2773582753043,0.792547140474382,1.10280217361126,0.673252679182939,1.75216830371614,1.17786731837009,1.19271529321901
"queE",0.976242100840195,0.96302876558522,0.840440953892009,0.700487384190641,0.91378824252653,1.31006304575595,0.485212798780843,0.977379373804142,1.70819291485701,2.25878801406876,1.01147925839949,1.44141756686543,1.2652101895814,1.4038443120761,2.07958182411997,1.73452461697737,0.936156109624404,1.9775427447394,1.87264999123639,1.49729535493303,1.82782702687026,2.04748020502091,1.13870960322819,2.31015800302736,4.23857795774422,2.11059667082557,1.26693199575605,1.65481062524047
"eno",1.73746607538419,1.49054831504215,1.26801922589615,1.72552852092982,1.79323975065026,3.56737378618336,3.87753138344279,2.81690947577767,0.60586537646868,0.510278179969492,0.386274056619517,1.0401334260397,0.631355784680694,0.596890874257688,0.909896576094091,1.24247849962793,0.404310650996962,1.00596884195836,1.07637017858334,1.10227792690231,1.39457660043756,1.38071221815066,3.80284393397649,2.85696848677468,3.86584807284568,2.01944099458288,2.16350696612455,1.28252255596143
"pyrG",1.232644388718,1.54246345654525,1.20261057845606,1.00758298941637,1.6091059165105,1.69038036672426,1.58696398761364,1.27147313271169,0.211155480849673,0.172603690891511,0.194229519227752,0.202859690769816,0.22541828487019,0.146603646148907,0.223871606070321,0.22125331850898,0.173658931694519,0.168559799580399,0.205071961971822,0.273602787353611,0.210095183900108,0.204381297010097,0.45235130322887,0.281459708573759,0.295504557080806,0.263622033356069,0.367371326513122,0.283452774742621
"mazG",0.814473926468445,1.01350860164077,0.842972719402178,0.933748328206881,0.75120687988272,1.27573720827869,1.08397077076987,0.852851539647832,0.302186911060286,0.687993195338792,0.346674857889069,0.566543290083933,0.452005461913284,0.265666854936376,0.613160945744227,0.564621703211572,0.518050995175262,4.17000637723367,0.686895566552787,0.653242691124072,5.15937584031593,5.24836758891641,4.10085167125928,10.2287372676304,6.74650300192253,0.432657929834426,6.46740334468506,3.7086764894736
"mazF",0.85024910770004,0.826297775522591,0.810110566379177,0.875128198175505,0.783201825111273,1.02555067946717,0.894638089524171,0.922142842138178,0.813705456395055,0.817001196321549,0.488682642643101,0.537708888077407,0.938035238132156,0.70802598735075,0.929599989139436,0.868454323947049,1.00278813333026,0.969874417062782,1.14412327461829,0.950811822410908,0.869289747186442,0.904980292820863,0.992847806984754,1.03878982865366,1.41960556201288,0.887169308106822,0.842047375505141,0.97958480800581
"mazE",0.725429147204037,0.69174264237352,0.808874494153256,0.795412669506458,0.891659022090021,0.974637845471971,1.11855947959758,0.973188371555005,0.530347977965859,0.893460374243917,1.0493297009011,1.08411789533471,0.551187131454326,0.531603974877399,0.88457798094314,0.672227435304819,0.735691264396255,0.702794269526827,0.804719993820737,0.682506305076755,0.740106671842982,0.6497159987612,0.618131897259043,0.873902019960616,0.510076900855759,0.581803069096978,0.465755460667022,0.748218093060027
"relA",0.871762619805363,1.03776122139313,0.911701966799884,0.964543632352459,1.05708264709672,1.0232011040333,1.00977482172027,1.01651194123293,1.17750436833995,1.76003657432002,1.06906019766567,0.847459668725689,0.646998345462026,0.780025516573365,0.673282441286107,0.669249370049258,0.676475036266025,0.703104323508797,0.744852042485159,0.669267040252294,0.587658195721308,0.654229174917787,0.844763964857182,0.786626071459982,0.977892097283801,0.611955487541442,1.03619788572124,0.769510714191558
"rlmD",0.826036478585556,0.80839735193174,0.763141662773551,0.930646272514128,0.877764645633164,0.888204834481588,0.915091957452032,0.848158737288795,1.20578489516543,0.794111010474372,0.764464206038159,0.711790242960785,1.12901619047865,0.889553512610958,0.904239680784281,1.11140662329854,0.911603354799318,1.05190178722422,0.796114420370663,0.80221388324609,0.754193876491474,0.849809640953767,1.01817645270942,1.075026856565,0.982160739442294,0.676956629546115,0.960428985164725,0.8368580302647
"barA",0.944522101041223,0.852139561935732,0.893211626343491,0.931608892690342,0.922786299008505,0.851991048574987,0.923303578944496,1.00825734877809,0.858619697508215,0.808905551891565,1.0011421008315,0.800484274825735,1.07897113808318,0.720930506557207,0.643257484779623,0.753446853521531,0.80176523951602,0.696231041380591,0.950859035470386,0.958819764365094,0.719963616680652,0.71311391909587,0.896334630285516,0.595499310179766,0.810574168383951,1.15414589190969,0.962687089003035,1.23836434662982
